#ActionButtonParam=ACTIONBUTTON_PARAM_ST
ID,Name,regionType - regionType - u8,pad1 - pad1 - dummy8,dummyPoly1 - dummyPoly1 - s32,dummyPoly2 - dummyPoly2 - s32,Radius - Radius - f32,Angle - Angle - s32,depth - depth - f32,width - width - f32,height - height - f32,baseHeightOffset - baseHeightOffset - f32,angleCheckType - angleCheckType - u8,pad2 - pad2 - dummy8,AllowAngle - AllowAngle - s32,textBoxType - textBoxType - u8,pad3 - pad3 - dummy8,textId - textId - s32,InvalidFlag - InvalidFlag - s32,grayoutFlag - grayoutFlag - s32,priority - priority - s32,execInvalidTime - execInvalidTime - f32,execButtonCircle - execButtonCircle - u8,pad4 - pad4 - dummy8,Radius2 - Radius2 - f32,Height2 - Height2 - f32,BaseHeightOffset2 - BaseHeightOffset2 - f32,Radius3 - Radius3 - f32,Height3 - Height3 - f32,BaseHeightOffset3 - BaseHeightOffset3 - f32,Unk1 - Unk1 - f32,Unk2 - Unk2 - f32,Unk3 - Unk3 - f32,Unk4 - Unk4 - s32
0,,0,-,1,1,1,1,1,1,1,1,0,-,1,0,-,0,1,1,1,1,0,-,4,-1,0,-1,-1,1,0,0,0,-1
1,,0,-,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,-,0,0,0,-1,-1,0,0,0,0,0
1000,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,50000200,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
1010,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,50000205,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
1020,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,50000100,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
2000,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,50000000,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
2001,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,50000000,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
2010,,0,-,-1,-1,1.5,180,0,0,1,-0.25,0,-,180,0,-,50000400,-1,-1,10,3,0,-,4,-1,0,-1,-1,-0.25,0,0,0,-1
3000,,0,-,-1,-1,2,180,0,0,4,-2,0,-,180,0,-,50000210,-1,-1,5,3,0,-,8,12,-2,-1,-1,-2,0.06,0.41,0.01,-1
3010,,0,-,-1,-1,2,180,0,0,4,-2,0,-,180,0,-,50000500,-1,-1,5,3,0,-,8,12,-2,-1,-1,-2,0.06,0.41,0.01,-1
4000,,0,-,-1,-1,1.5,180,0,0,2.5,-1,0,-,180,0,-,10010103,-1,-1,10,3,0,-,12,4,-2,-1,-1,-1,0,0,0,-1
4050,,0,-,-1,-1,1.5,180,0,0,2.5,-2,0,-,180,0,-,10010103,-1,-1,10,3,0,-,12,4,-3,-1,-1,-2,0,0,0,-1
4100,,0,-,90,-1,1.5,180,0,0,2.5,-1,0,-,180,0,-,10010103,-1,-1,10,3,0,-,12,4,-2,-1,-1,-1,0,0,0,-1
4200,,0,-,90,-1,2,180,0,0,2.5,-1,0,-,180,0,-,10010103,-1,-1,10,3,1,-,12,4,-2,-1,-1,-1,0,0,0,-1
4201,,0,-,90,-1,2,90,0,0,2.5,-1,0,-,180,0,-,10010103,-1,-1,10,3,0,-,12,4,-2,-1,-1,-1,0,0,0,-1
4202,,0,-,90,-1,2,50,0,0,2.5,-1,0,-,180,0,-,10010103,-1,-1,10,3,0,-,12,4,-2,-1,-1,-1,0,0,0,-1
4210,,0,-,90,-1,3,180,0,0,4,-1,0,-,180,0,-,10010103,-1,-1,10,3,1,-,18,6,-2,-1,-1,-1,0,0,0,-1
4211,,0,-,90,-1,3,90,0,0,4,-1,0,-,180,0,-,10010103,-1,-1,10,3,0,-,18,6,-2,-1,-1,-1,0,0,0,-1
4215,,0,-,90,-1,3,180,0,0,4,-1,0,-,180,0,-,10010103,-1,-1,10,3,1,-,18,4.5,-2,-1,-1,-1,0,0,0,-1
