#ActionUnlockParam=ACTION_UNLOCK_PARAM_ST
ID,Name,UnlockSpAction0 - UnlockSpAction0 - u8,UnlockSpAction1 - UnlockSpAction1 - u8,UnlockSpAction2 - UnlockSpAction2 - u8,UnlockSpAction3 - UnlockSpAction3 - u8,UnlockSpAction4 - UnlockSpAction4 - u8,UnlockSpAction5 - UnlockSpAction5 - u8,UnlockSpAction6 - UnlockSpAction6 - u8,UnlockSpAction7 - UnlockSpAction7 - u8,UnlockSpAction8 - UnlockSpAction8 - u8,UnlockSpAction9 - UnlockSpAction9 - u8,UnlockSpAction10 - UnlockSpAction10 - u8,UnlockSpAction11 - UnlockSpAction11 - u8,UnlockSpAction12 - UnlockSpAction12 - u8,UnlockSpAction13 - UnlockSpAction13 - u8,UnlockSpAction14 - UnlockSpAction14 - u8,UnlockSpAction15 - UnlockSpAction15 - u8,UnlockSpAction16 - UnlockSpAction16 - u8,UnlockSpAction17 - UnlockSpAction17 - u8,UnlockSpAction18 - UnlockSpAction18 - u8,UnlockSpAction19 - UnlockSpAction19 - u8,UnlockSpAction20 - UnlockSpAction20 - u8,UnlockSpAction21 - UnlockSpAction21 - u8,UnlockSpAction22 - UnlockSpAction22 - u8,UnlockSpAction23 - UnlockSpAction23 - u8,UnlockSpAction24 - UnlockSpAction24 - u8,UnlockSpAction25 - UnlockSpAction25 - u8,UnlockSpAction26 - UnlockSpAction26 - u8,UnlockSpAction27 - UnlockSpAction27 - u8,UnlockSpAction28 - UnlockSpAction28 - u8,UnlockSpAction29 - UnlockSpAction29 - u8
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2301,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2310,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2390,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2420,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2440,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
