#AiSoundParam=AI_SOUND_PARAM_ST
ID,Name,Radius - Radius - f32,lifeFrame - lifeFrame - f32,bSpEffectEnable [ON_OFF] - bSpEffectEnable [ON_OFF] - u8,Type [AI_SOUND_RATE_TYPE] - Type [AI_SOUND_RATE_TYPE] - u8,fakeTargetType [AI_SOUND_FAKE_TARGET_TYPE] - fakeTargetType [AI_SOUND_FAKE_TARGET_TYPE] - u8,InterestCategory - InterestCategory - u8,UseHitDamageTeam [ON_OFF] - UseHitDamageTeam [ON_OFF] - u8,pad - pad - dummy8
0,,0,0,0,0,1,0,0,-
1,,0.5,1,0,1,1,0,0,-
2,,6,1,0,1,1,0,0,-
3,,7,1,0,1,1,0,0,-
4,,10,1,0,1,1,0,0,-
5,,8,1,0,1,1,0,0,-
6,,1,1,0,1,1,0,0,-
7,,0.5,1,0,1,1,0,0,-
8,,20,1,0,0,1,1,0,-
1000,,0.5,0.25,1,1,1,0,0,-
1001,,0.25,0.25,1,1,1,0,0,-
1002,,0.25,0.25,1,1,1,0,0,-
1003,,0.25,0.25,1,1,1,0,0,-
1004,,0.5,0.25,1,1,1,0,0,-
1005,,0.5,0.25,1,1,1,0,0,-
1010,,2,0.25,1,1,1,0,0,-
1011,,0.5,0.25,1,1,1,0,0,-
1012,,0.5,0.25,1,1,1,0,0,-
1013,,0.5,0.25,1,1,1,0,0,-
1014,,2,0.25,1,1,1,0,0,-
1015,,2,0.25,1,1,1,0,0,-
1020,,4,0.25,1,1,1,0,0,-
1024,,4,0.25,1,1,1,0,0,-
1025,,4,0.25,1,1,1,0,0,-
1100,,4,1,1,1,1,0,0,-
1200,,2,1,1,1,1,0,0,-
1300,,2,1,1,1,1,0,0,-
1304,,2,1,1,1,1,0,0,-
1310,,2,1,1,1,1,0,0,-
1314,,2,1,1,1,1,0,0,-
1320,,0.5,1,1,1,1,0,0,-
1330,,1,1,1,1,1,0,0,-
2000,,1,1,1,0,1,1,0,-
2010,,2,1,1,0,1,1,0,-
2020,,4,1,1,0,1,1,0,-
2030,,8,1,1,0,1,1,0,-
2100,,2,1,0,0,1,1,0,-
2110,,4,1,0,0,1,1,0,-
2120,,8,1,0,0,1,1,0,-
2130,,16,1,0,0,1,1,0,-
2140,,6,1,0,0,1,0,0,-
2150,,12,1,0,0,1,1,0,-
2900,,3,1,1,0,1,0,0,-
3500,,4,1,0,0,1,0,0,-
3501,,30,1,0,0,4,0,0,-
4000,,30,0.1,0,0,1,1,0,-
4020,,30,0.1,0,0,3,1,0,-
4030,,50,0.1,0,0,3,1,0,-
4050,,35,0.1,0,0,11,1,0,-
4060,,20,0.1,0,0,11,1,0,-
4070,,30,0.1,0,0,11,1,0,-
4090,,10,0.1,0,0,11,1,0,-
4100,,200,0.1,0,0,11,1,0,-
5000,,20,0.1,0,0,1,1,0,-
5100,,4,0.1,0,0,1,1,0,-
5200,,4,0.1,0,0,1,1,0,-
5210,,4,0.1,0,0,1,1,0,-
5300,,20,0.1,0,0,17,1,0,-
5400,,20,0.1,0,0,10,1,0,-
6000,,30,1,0,0,2,1,0,-
7100,,10,1,0,0,1,1,0,-
7400,,10,1,0,0,1,3,0,-
7700,,10,1,0,0,4,1,0,-
7900,,30,1,0,0,1,1,0,-
7910,,30,1,0,0,4,1,0,-
9002,,20,1,0,0,2,1,0,-
9003,,0,1,0,0,1,0,0,-
9004,,1,1,0,0,1,1,0,-
9005,,1,1,0,0,1,1,0,-
9006,,13,1,0,0,1,0,0,-
9007,,5,1,0,0,1,0,0,-
9008,,0,0,0,0,1,1,0,-
9010,,50,1,0,0,1,0,0,-
9011,,50,1,0,0,1,1,0,-
2000000,,20,0.1,0,0,27,1,0,-
2000010,,30,0.1,0,0,27,1,0,-
2000020,,20,0.1,0,0,27,1,0,-
2000025,,10,0.1,0,0,27,1,0,-
2000100,,20,0.1,0,0,27,1,0,-
2000200,,60,0.1,0,0,4,0,0,-
2103000,,10,0.1,0,0,27,1,0,-
2111000,,50,0.1,0,0,27,1,0,-
2112000,,60,0.1,0,0,27,1,0,-
2122000,,60,0.1,0,0,27,1,0,-
2155000,,30,0.1,0,0,27,1,0,-
5000000,,1.5,0.1,0,0,1,1,0,-
5000010,,4,0.1,0,0,1,1,0,-
5000020,,7,0.1,0,0,1,1,0,-
5000030,,10,0.1,0,0,1,1,0,-
5000040,,50,0.1,0,0,1,1,0,-
