#AttackElementCorrectParam=ATTACK_ELEMENT_CORRECT_PARAM_ST
ID,Name,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,0x00 - 0x00 - u32,addRate0 - addRate0 - s16,addRate1 - addRate1 - s16,addRate2 - addRate2 - s16,addRate3 - addRate3 - s16,addRate4 - addRate4 - s16,addRate5 - addRate5 - s16,addRate6 - addRate6 - s16,addRate7 - addRate7 - s16,addRate8 - addRate8 - s16,addRate9 - addRate9 - s16,addRate10 - addRate10 - s16,addRate11 - addRate11 - s16,addRate12 - addRate12 - s16,addRate13 - addRate13 - s16,addRate14 - addRate14 - s16,addRate15 - addRate15 - s16,addRate16 - addRate16 - s16,addRate17 - addRate17 - s16,addRate18 - addRate18 - s16,addRate19 - addRate19 - s16,addRate20 - addRate20 - s16,addRate21 - addRate21 - s16,addRate22 - addRate22 - s16,addRate23 - addRate23 - s16,addRate24 - addRate24 - s16,corrRate0 - corrRate0 - s16,corrRate1 - corrRate1 - s16,corrRate2 - corrRate2 - s16,corrRate3 - corrRate3 - s16,corrRate4 - corrRate4 - s16,corrRate5 - corrRate5 - s16,corrRate6 - corrRate6 - s16,corrRate7 - corrRate7 - s16,corrRate8 - corrRate8 - s16,corrRate9 - corrRate9 - s16,corrRate10 - corrRate10 - s16,corrRate11 - corrRate11 - s16,corrRate12 - corrRate12 - s16,corrRate13 - corrRate13 - s16,corrRate14 - corrRate14 - s16,corrRate15 - corrRate15 - s16,corrRate16 - corrRate16 - s16,corrRate17 - corrRate17 - s16,corrRate18 - corrRate18 - s16,corrRate19 - corrRate19 - s16,corrRate20 - corrRate20 - s16,corrRate21 - corrRate21 - s16,corrRate22 - corrRate22 - s16,corrRate23 - corrRate23 - s16,corrRate24 - corrRate24 - s16,pad1 - pad1 - dummy8
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-
1000,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-
1001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-
1002,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-
1010,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-
1020,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-
1030,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-
10000,,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-
10014,,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-
