#BehaviorParam=BEHAVIOR_PARAM_ST
ID,Name,variationId - variationId - s32,behaviorJudgeId - behaviorJudgeId - s32,ezStateBehaviorType_old - ezStateBehaviorType_old - u8,refType - refType - u8,pad1 - pad1 - dummy8,refId - refId - s32,sfxVariationId - sfxVariationId - s32,stamina - stamina - s32,mp - mp - s32,category - category - u8,heroPoint - heroPoint - u8,pad2 - pad2 - dummy8
0,,0,0,0,0,-,0,-1,0,0,0,0,-
5,,0,0,0,0,-,4,-1,0,0,0,0,-
7,,0,0,3,2,-,4,29,0,0,0,0,-
12,,0,0,0,2,-,6,-1,0,0,0,0,-
13,,0,0,0,2,-,7,32,0,0,0,0,-
15,,0,0,0,2,-,10,30,0,0,0,0,-
16,,0,0,0,2,-,11,31,0,0,0,0,-
17,,0,0,0,2,-,12,-1,0,0,0,0,-
50,,0,0,0,1,-,50,-1,0,0,0,0,-
101,,0,0,0,2,-,8,-1,0,0,0,0,-
102,,0,0,0,2,-,9,-1,0,0,0,0,-
201,,0,0,0,2,-,201,-1,0,0,0,0,-
202,,0,0,0,2,-,202,-1,0,0,0,0,-
203,,0,0,0,2,-,203,-1,0,0,0,0,-
206,,0,0,0,2,-,206,-1,0,0,0,0,-
207,,0,0,0,2,-,207,-1,0,0,0,0,-
208,,0,0,0,2,-,208,-1,0,0,0,0,-
211,,0,0,0,2,-,211,-1,0,0,0,0,-
212,,0,0,0,2,-,212,-1,0,0,0,0,-
221,,0,0,0,2,-,221,-1,0,0,0,0,-
222,,0,0,0,2,-,222,-1,0,0,0,0,-
231,,0,0,0,2,-,231,-1,0,0,0,0,-
232,,0,0,0,2,-,232,-1,0,0,0,0,-
236,,0,0,0,2,-,236,-1,0,0,0,0,-
237,,0,0,0,2,-,237,-1,0,0,0,0,-
311,,0,0,0,2,-,311,-1,0,0,0,0,-
312,,0,0,0,2,-,312,-1,0,0,0,0,-
321,,0,0,0,2,-,321,-1,0,0,0,0,-
322,,0,0,0,2,-,322,-1,0,0,0,0,-
331,,0,0,0,2,-,331,-1,0,0,0,0,-
332,,0,0,0,2,-,332,-1,0,0,0,0,-
336,,0,0,0,2,-,336,-1,0,0,0,0,-
337,,0,0,0,2,-,337,-1,0,0,0,0,-
