#BehaviorParam_PC=BEHAVIOR_PARAM_ST
ID,Name,variationId - variationId - s32,behaviorJudgeId - behaviorJudgeId - s32,ezStateBehaviorType_old - ezStateBehaviorType_old - u8,refType - refType - u8,pad1 - pad1 - dummy8,refId - refId - s32,sfxVariationId - sfxVariationId - s32,stamina - stamina - s32,mp - mp - s32,category - category - u8,heroPoint - heroPoint - u8,pad2 - pad2 - dummy8
4,,0,0,0,1,-,4,-1,0,0,5,0,-
6,,0,0,0,1,-,6,-1,0,0,5,0,-
10,,0,0,0,0,-,10,-1,20,0,5,0,-
200,,0,0,0,0,-,200,0,0,0,5,0,-
210,,0,0,0,0,-,210,0,0,0,5,0,-
211,,0,0,0,0,-,211,0,0,0,5,0,-
220,,0,0,0,0,-,220,0,0,0,5,0,-
221,,0,0,0,0,-,221,0,0,0,5,0,-
222,,0,0,0,0,-,222,0,0,0,5,0,-
280,,0,0,0,0,-,280,0,0,0,5,0,-
281,,0,0,0,0,-,281,0,0,0,5,0,-
285,,0,0,0,0,-,285,0,0,0,5,0,-
286,,0,0,0,0,-,286,0,0,0,5,0,-
600,,0,0,0,0,-,600,0,0,0,5,0,-
640,,0,0,0,0,-,640,0,0,0,5,0,-
650,,0,0,0,0,-,650,0,0,0,5,0,-
660,,0,0,0,0,-,660,0,0,0,5,0,-
680,,0,0,0,0,-,680,0,0,0,5,0,-
690,,0,0,0,0,-,690,0,0,0,5,0,-
700,,0,0,0,0,-,700,0,0,0,5,0,-
710,,0,0,0,0,-,710,0,0,0,5,0,-
720,,0,0,0,0,-,720,0,0,0,5,0,-
740,,0,0,0,0,-,740,0,0,0,5,0,-
800,,0,0,0,0,-,800,0,0,0,5,0,-
801,,0,0,0,0,-,801,0,0,0,5,0,-
803,,0,0,0,0,-,803,0,0,0,5,0,-
804,,0,0,0,0,-,804,0,0,0,5,0,-
805,,0,0,0,0,-,805,0,0,0,5,0,-
806,,0,0,0,0,-,806,0,0,0,5,0,-
807,,0,0,0,0,-,807,0,0,0,5,0,-
840,,0,0,0,0,-,840,0,0,0,5,0,-
841,,0,0,0,0,-,841,0,0,0,5,0,-
842,,0,0,0,0,-,842,0,0,0,5,0,-
843,,0,0,0,0,-,843,0,0,0,5,0,-
900,,0,0,0,0,-,900,0,0,0,9,0,-
901,,0,0,0,0,-,901,0,0,0,9,0,-
902,,0,0,0,0,-,902,0,0,0,0,0,-
903,,0,0,0,0,-,903,0,0,0,9,0,-
950,,0,0,0,0,-,9500001,0,0,0,0,0,-
105000000,,5000,0,1,0,-,5000000,0,0,0,1,0,-
105000001,,5000,1,1,0,-,5000001,0,0,0,1,0,-
105000006,,5000,6,1,0,-,5000006,0,0,0,1,0,-
105000010,,5000,10,1,0,-,5000010,0,0,0,1,0,-
105000011,,5000,11,1,0,-,5000011,0,0,0,1,0,-
105000012,,5000,12,1,0,-,5000012,0,0,0,1,0,-
105000013,,5000,13,1,0,-,5000013,0,0,0,1,0,-
105000014,,5000,14,1,0,-,5000014,0,0,0,1,0,-
105000016,,5000,16,1,0,-,5000016,0,0,0,1,0,-
105000020,,5000,20,1,0,-,5000020,0,0,0,1,0,-
105000021,,5000,21,1,0,-,5000021,0,0,0,1,0,-
105000025,,5000,25,1,0,-,5000025,0,0,0,1,0,-
105000026,,5000,26,1,0,-,5000026,0,0,0,1,0,-
105000030,,5000,30,1,0,-,5000030,0,0,0,1,0,-
105000031,,5000,31,1,0,-,5000031,0,0,0,1,0,-
105000035,,5000,35,1,0,-,5000035,0,0,0,1,0,-
105000036,,5000,36,1,0,-,5000036,0,0,0,1,0,-
105000040,,5000,40,1,0,-,5000040,0,0,0,1,0,-
105000041,,5000,41,1,0,-,5000041,0,0,0,1,0,-
105000050,,5000,50,1,0,-,5000050,0,0,0,1,0,-
105000051,,5000,51,1,0,-,5000051,0,0,0,1,0,-
105000060,,5000,60,1,0,-,5000060,0,0,0,1,0,-
105000061,,5000,61,1,0,-,5000061,0,0,0,1,0,-
105000062,,5000,62,1,0,-,5000062,0,0,0,1,0,-
105000065,,5000,65,1,0,-,5000065,0,0,0,1,0,-
105000066,,5000,66,1,0,-,5000066,0,0,0,1,0,-
105000070,,5000,70,1,0,-,5000070,0,0,0,1,0,-
105000075,,5000,75,1,0,-,5000075,0,0,0,1,0,-
105000076,,5000,76,1,0,-,5000076,0,0,0,1,0,-
105000080,,5000,80,1,0,-,5000080,0,0,0,1,0,-
105000085,,5000,85,1,0,-,5000085,0,0,0,1,0,-
105000086,,5000,86,1,0,-,5000086,0,0,0,1,0,-
105000087,,5000,87,1,0,-,5000087,0,0,0,1,0,-
105000088,,5000,88,1,0,-,5000088,0,0,0,1,0,-
105000089,,5000,89,1,0,-,5000089,0,0,0,1,0,-
105000090,,5000,90,1,0,-,5000090,0,0,0,1,0,-
105000100,,5000,100,1,0,-,5000100,0,0,0,1,0,-
105000105,,5000,105,1,0,-,5000105,0,0,0,1,0,-
105000110,,5000,110,1,0,-,5000110,0,0,0,1,0,-
105000115,,5000,115,1,0,-,5000115,0,0,0,1,0,-
105000120,,5000,120,1,0,-,5000120,0,0,0,1,0,-
105000121,,5000,121,1,0,-,5000121,0,0,0,1,0,-
105000130,,5000,130,1,0,-,5000130,0,0,0,1,0,-
105000131,,5000,131,1,0,-,5000131,0,0,0,1,0,-
105000132,,5000,132,1,0,-,5000132,0,0,0,1,0,-
105000133,,5000,133,1,0,-,5000133,0,0,0,1,0,-
105000134,,5000,134,1,0,-,5000134,0,0,0,1,0,-
105000135,,5000,135,1,0,-,5000135,0,0,0,1,0,-
105000136,,5000,136,1,0,-,5000136,0,0,0,1,0,-
105000137,,5000,137,1,0,-,5000137,0,0,0,1,0,-
105000138,,5000,138,1,0,-,5000138,0,0,0,1,0,-
105000140,,5000,140,1,0,-,5000140,0,0,0,1,0,-
105000141,,5000,141,1,0,-,5000141,0,0,0,1,0,-
105000142,,5000,142,1,0,-,5000142,0,0,0,1,0,-
105000143,,5000,143,1,0,-,5000143,0,0,0,1,0,-
105000144,,5000,144,1,0,-,5000144,0,0,0,1,0,-
105000145,,5000,145,1,0,-,5000145,0,0,0,1,0,-
105000146,,5000,146,1,0,-,5000146,0,0,0,1,0,-
105000147,,5000,147,1,0,-,5000147,0,0,0,1,0,-
105000148,,5000,148,1,0,-,5000148,0,0,0,1,0,-
105000150,,5000,150,1,0,-,5000150,0,0,0,1,0,-
105000151,,5000,151,1,0,-,5000151,0,0,0,1,0,-
105000160,,5000,160,1,0,-,5000160,0,0,0,1,0,-
105000165,,5000,165,1,0,-,5000165,0,0,0,1,0,-
105000166,,5000,166,1,0,-,5000166,0,0,0,1,0,-
105000170,,5000,170,1,0,-,5000170,0,0,0,1,0,-
105000180,,5000,180,1,0,-,5000180,0,0,0,1,0,-
105000181,,5000,181,1,0,-,5000181,0,0,0,1,0,-
105000182,,5000,182,1,0,-,5000182,0,0,0,1,0,-
105000183,,5000,183,1,0,-,5000183,0,0,0,1,0,-
105000184,,5000,184,1,1,-,500184,0,0,0,1,0,-
105000185,,5000,185,1,0,-,5000185,0,0,0,1,0,-
105000186,,5000,186,1,0,-,5000186,0,0,0,1,0,-
105000190,,5000,190,1,1,-,500190,0,0,0,1,0,-
105000191,,5000,191,1,1,-,500191,0,0,0,1,0,-
105000192,,5000,192,1,1,-,500192,0,0,0,1,0,-
105000193,,5000,193,1,1,-,500193,0,0,0,1,0,-
105000280,,5000,280,1,0,-,5000280,0,0,0,1,0,-
105000281,,5000,281,1,0,-,5000281,0,0,0,1,0,-
105000290,,5000,290,0,1,-,290,0,0,0,0,0,-
105000295,,5000,295,0,1,-,295,0,0,0,0,0,-
105000300,,5000,300,1,1,-,300,0,0,0,0,0,-
105000301,,5000,301,1,1,-,301,0,0,0,0,0,-
105000360,,5000,360,1,1,-,360,0,0,0,0,0,-
105000361,,5000,361,1,1,-,361,0,0,0,0,0,-
105000370,,5000,370,1,1,-,375,0,0,0,0,0,-
105000371,,5000,371,1,1,-,376,0,0,0,0,0,-
105000380,,5000,380,1,1,-,390,0,0,0,0,0,-
