#BonfireWarpParam=BONFIRE_WARP_PARAM_ST
ID,Name,EventFlagId - EventFlagId - s32,WarpEventId - WarpEventId - s32,BonfireNameId - BonfireNameId - s32,DescriptionTextId - DescriptionTextId - s32,PictureId - PictureId - s32,ListId - ListId - u8,IsDisableQuickwarp - IsDisableQuickwarp - u8,CeremonyId - CeremonyId - s16,MenuId - MenuId - s32,pad1 - pad1 - dummy8
100,,11100000,1101950,201100,0,201100,0,1,0,11100010,-
101,,11110003,1111953,201113,0,201113,0,0,0,11110013,-
102,,12000004,2001954,202004,0,202004,0,0,0,12000014,-
1000,,11000000,1001950,201000,0,9201000,9,0,0,11000010,-
1001,,11000001,1001951,201001,0,9201001,9,0,0,11000011,-
1002,,11000002,1001952,201002,0,9201002,9,0,0,11000012,-
1003,,11000003,1001953,201003,0,9201003,9,0,0,11000013,-
1004,,11000005,1001955,201005,0,9201005,9,0,0,11000015,-
1005,,11000004,1001954,201004,0,9201004,9,0,0,11000014,-
1100,,11100000,1101950,201100,0,1201100,1,0,0,11100010,-
1101,,11100006,1101956,201106,0,1201106,1,0,0,11100016,-
1102,,11100001,1101951,201101,0,1201101,1,0,0,11100011,-
1103,,11100002,1101952,201102,0,1201102,1,0,0,11100012,-
1104,,11100003,1101953,201103,0,1201103,1,0,0,11100013,-
1105,,11100004,1101954,201104,0,1201104,1,0,0,11100014,-
1106,,11100005,1101955,201105,0,1201105,1,0,0,11100015,-
1107,,11100007,1101957,201107,0,1201107,1,0,0,11100017,-
1110,,11110000,1111950,201110,0,2201110,2,0,0,11110010,-
1111,,11110001,1111951,201111,0,2201111,2,0,0,11110011,-
1112,,11110007,1111957,201117,0,2201117,2,0,0,11110017,-
1113,,11110002,1111952,201112,0,2201112,2,0,0,11110012,-
1114,,11110003,1111953,201113,0,2201113,2,0,0,11110013,-
1115,,11110006,1111956,201116,0,2201116,2,0,0,11110016,-
1116,,11110004,1111954,201114,0,2201114,2,0,0,11110014,-
1117,,11110005,1111955,201115,0,2201115,2,0,0,11110015,-
1118,,11120001,1121951,201121,0,2201121,2,0,0,11120011,-
1119,,11120000,1121950,201120,0,2201120,2,0,0,11120010,-
1300,,11300000,1301950,201300,0,4201300,4,0,0,11300010,-
1301,,11300001,1301951,201301,0,4201301,4,0,0,11300011,-
1500,,11700005,1701955,201705,0,7201705,7,0,0,11700015,-
1501,,11700004,1701954,201704,0,7201704,7,0,0,11700014,-
1502,,11700006,1701956,201706,0,7201706,7,0,0,11700016,-
1503,,11500000,1501950,201500,0,7201500,7,0,0,11500010,-
1504,,11500001,1501951,201501,0,7201501,7,0,0,11500011,-
1505,,11500002,1501952,201502,0,7201502,7,0,0,11500012,-
1506,,11500003,1501953,201503,0,7201503,7,0,0,11500013,-
1700,,11700007,1701957,201707,0,6201707,6,0,0,11700017,-
1701,,11700000,1701950,201700,0,6201700,6,0,0,11700010,-
1702,,11700001,1701951,201701,0,6201701,6,0,0,11700011,-
1703,,11700002,1701952,201702,0,6201702,6,0,0,11700012,-
1704,,11700008,1701958,201708,0,6201708,6,0,0,11700018,-
1705,,11700003,1701953,201703,0,6201703,6,0,0,11700013,-
2000,,12000000,2001950,202000,0,5202000,5,0,0,12000010,-
2001,,12000001,2001951,202001,0,5202001,5,0,0,12000011,-
2002,,12000002,2001952,202002,0,5202002,5,0,0,12000012,-
2003,,12000003,2001953,202003,0,5202003,5,0,0,12000013,-
2004,,12000004,2001954,202004,0,5202004,5,0,0,12000014,-
2005,,12000005,2001955,202005,0,5202005,5,0,0,12000015,-
2006,,12000006,2001956,202006,0,5202006,5,0,0,12000016,-
2500,,12500000,2501950,202500,0,8202500,8,0,0,12500010,-
2501,,12500001,2501951,202501,0,8202501,8,0,0,12500011,-
2502,,12500006,2501956,202506,0,8202506,8,0,0,12500016,-
2503,,12500002,2501952,202502,0,8202502,8,0,0,12500012,-
2504,,12500003,2501953,202503,0,8202503,8,0,0,12500013,-
2505,,12500004,2501954,202504,0,8202504,8,0,0,12500014,-
2506,,12500007,2501957,202507,0,8202507,8,0,0,12500017,-
2507,,12500008,2501958,202508,0,8202508,8,0,0,12500018,-
2508,,12500005,2501955,202505,0,8202505,8,0,0,12500015,-
