#Bullet=BULLET_PARAM_ST
ID,Name,atkBullet_Id - atkBullet_Id - s32,sfxIdBullet - sfxIdBullet - s32,sfxIdHit - sfxIdHit - s32,sfxIdFlick - sfxIdFlick - s32,life - life - f32,dist - dist - f32,shootInterval - shootInterval - f32,gravityInRange - gravityInRange - f32,gravityOutRange - gravityOutRange - f32,homingStopRange - homingStopRange - f32,initVellocity - initVellocity - f32,accelInRange - accelInRange - f32,accelOutRange - accelOutRange - f32,maxVellocity - maxVellocity - f32,minVellocity - minVellocity - f32,accelTime - accelTime - f32,homingBeginDist - homingBeginDist - f32,hitRadius - hitRadius - f32,hitRadiusMax - hitRadiusMax - f32,spreadTime - spreadTime - f32,expDelay - expDelay - f32,homingOffsetRange - homingOffsetRange - f32,dmgHitRecordLifeTime - dmgHitRecordLifeTime - f32,externalForce - externalForce - f32,spEffectIdForShooter - spEffectIdForShooter - s32,autoSearchNpcThinkId - autoSearchNpcThinkId - s32,hitBulletId - hitBulletId - s32,spEffectId0 - spEffectId0 - s32,spEffectId1 - spEffectId1 - s32,spEffectId2 - spEffectId2 - s32,spEffectId3 - spEffectId3 - s32,spEffectId4 - spEffectId4 - s32,numShoot - numShoot - s16,homingAngle - homingAngle - s16,shootAngle - shootAngle - s16,shootAngleInterval - shootAngleInterval - s16,shootAngleXInterval - shootAngleXInterval - s16,damageDamp - damageDamp - u8,magicDamageDamp - magicDamageDamp - u8,fireDamageDamp - fireDamageDamp - u8,thunderDamageDamp - thunderDamageDamp - u8,staminaDamp - staminaDamp - u8,knockbackDamp - knockbackDamp - u8,shootAngleXZ - shootAngleXZ - u8,lockShootLimitAng - lockShootLimitAng - u8,isPenetrate - isPenetrate - u8,prevVellocityDirRate - prevVellocityDirRate - u8,atkAttribute - atkAttribute - u8,spAttribute - spAttribute - u8,Material_AttackType - Material_AttackType - u8,Material_AttackMaterial - Material_AttackMaterial - u8,Material_Size - Material_Size - u8,launchConditionType - launchConditionType - u8,FollowType0 - FollowType0 - u8,FollowType1 - FollowType1 - u8,FollowType2 - FollowType2 - u8,EmittePosType0 - EmittePosType0 - u8,EmittePosType1 - EmittePosType1 - u8,EmittePosType2 - EmittePosType2 - u8,IsAttackSfx - IsAttackSfx - u8,IsEndlessHit - IsEndlessHit - u8,IsPenetrateMap - IsPenetrateMap - u8,IsHitBothTeam - IsHitBothTeam - u8,IsUseShardHitList - IsUseShardHitList - u8,IsUseMultiDmyPolyIfPlace - IsUseMultiDmyPolyIfPlace - u8,attachEffectType0 - attachEffectType0 - u8,attachEffectType1 - attachEffectType1 - u8,IsHitForceMagic - IsHitForceMagic - u8,IsIgnoreSfxIfHitWater - IsIgnoreSfxIfHitWater - u8,IsIgnoreMoveStateIfHitWater - IsIgnoreMoveStateIfHitWater - u8,IsHitDarkForceMagic - IsHitDarkForceMagic - u8,IsInheritEffectToChild - IsInheritEffectToChild - u8,IsInheritSpeedToChild - IsInheritSpeedToChild - u8,IsLockModule - IsLockModule - u8,IsSearchForTarget - IsSearchForTarget - u8,IsEmittedBullet - IsEmittedBullet - u8,IsInheritLifeToChild - IsInheritLifeToChild - u8,darkDamageDamp - darkDamageDamp - u8,bulletHitType0 - bulletHitType0 - u8,bulletHitType1 - bulletHitType1 - u8,SpHomingYAngle - SpHomingYAngle - f32,rand_ShootAngleXZ - rand_ShootAngleXZ - f32,rand_ShootANgleY - rand_ShootANgleY - f32,bulletEmitter_bulletId - bulletEmitter_bulletId - s32,bulletEmitter_ShootInterval0 - bulletEmitter_ShootInterval0 - f32,bulletEmitter_InitInterval - bulletEmitter_InitInterval - f32,SpHomingYAngleForEnemy - SpHomingYAngleForEnemy - f32,bulletEmitter_ShootInterval1 - bulletEmitter_ShootInterval1 - f32,LaunchType - LaunchType - u8,LimitBulletParamId - LimitBulletParamId - u8,CounterHitType - CounterHitType - u8,IsPosHitBullet - IsPosHitBullet - u8,IsAttachAttackSfx - IsAttachAttackSfx - u8,IsSpCorrection0 - IsSpCorrection0 - u8,IsSpCorrection1 - IsSpCorrection1 - u8,IsPenetrateTarget - IsPenetrateTarget - u8,IsSpCorrection2 - IsSpCorrection2 - u8,IsDisableIntScale - IsDisableIntScale - u8,0xC3 - 0xC3 - u8,EmittePosRadius - EmittePosRadius - f32,hitObjectId - hitObjectId - s32,subLife - subLife - f32,subHomingAngle - subHomingAngle - s16,pad1 - pad1 - dummy8,lockShootCorrectionAng - lockShootCorrectionAng - f32,pad2 - pad2 - dummy8
0,,0,10,-1,-1,100,100,0.3,10,1,0,1,1,-1,100,10,3,5,1,-1,1,0,0,0,0,-1,0,-1,0,0,0,0,0,5,10,-30,30,0,10,0,0,0,10,10,0,45,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,6,-,NaN,-
1,,200000,10,-1,-1,100,100,0.3,10,1,0,1,1,-1,100,10,3,5,1,-1,1,0,0,0,0,-1,0,-1,0,0,0,0,0,5,10,-30,30,0,10,0,0,0,10,10,0,45,1,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1030,-,NaN,-
2,,1001,21313,-1,-1,-1,30,0,0,0,0,15,0,0,1,1,0,0,0.3,-1,0,0,0,0,0,0,801000,101,0,0,0,0,0,1,90,0,0,0,0,0,0,0,0,0,0,45,0,0,4,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1030,-,NaN,-
3,,362,15139,-1,-1,1,0,0,0,0,0,25,0,0,50,0,0,0,0.5,3.5,0.5,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,-30,0,0,0,0,0,0,0,0,0,45,1,0,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1030,-,NaN,-
4,,4,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,1,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1030,-,NaN,-
6,,6,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,1,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1030,-,NaN,-
50,,0,-1,-1,-1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2.5,-1,0,0,0,0,0,0,0,-1,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1030,-,NaN,-
60,,0,999212,-1,-1,1,20,0,0,0,0,0,40,40,0,0,0.1,0,0.1,-1,0,0,0,0,0,0,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,180,0,0,4,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1029,-,NaN,-
61,,0,999212,-1,-1,3,20,0,0,0,0,2,40,40,2,2,0.1,0,0.1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,8,0,0,45,0,0,0,0,0,0,0,0,180,0,0,4,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1029,-,NaN,-
62,,1052,30006,30006,-1,0.3,999,0,0,0,0.5,3,0,5,3,3,3,0,0.3,-1,0,0,0,2,0,0,0,63,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,45,1,0,4,1,0,1,0,254,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1025,-,NaN,-
