#CalcCorrectGraph=CACL_CORRECT_GRAPH_ST
ID,Name,stageMaxVal0 - stageMaxVal0 - f32,stageMaxVal1 - stageMaxVal1 - f32,stageMaxVal2 - stageMaxVal2 - f32,stageMaxVal3 - stageMaxVal3 - f32,stageMaxVal4 - stageMaxVal4 - f32,stageMaxGrowVal0 - stageMaxGrowVal0 - f32,stageMaxGrowVal1 - stageMaxGrowVal1 - f32,stageMaxGrowVal2 - stageMaxGrowVal2 - f32,stageMaxGrowVal3 - stageMaxGrowVal3 - f32,stageMaxGrowVal4 - stageMaxGrowVal4 - f32,adjPt_maxGrowVal0 - adjPt_maxGrowVal0 - f32,adjPt_maxGrowVal1 - adjPt_maxGrowVal1 - f32,adjPt_maxGrowVal2 - adjPt_maxGrowVal2 - f32,adjPt_maxGrowVal3 - adjPt_maxGrowVal3 - f32,adjPt_maxGrowVal4 - adjPt_maxGrowVal4 - f32,init_inclination_soul - init_inclination_soul - f32,adjustment_value - adjustment_value - f32,boundry_inclination_soul - boundry_inclination_soul - f32,boundry_value - boundry_value - f32,pad1 - pad1 - dummy8
0,,0,99,99,99,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
1,,1,16,40,60,99,0,35,75,85,100,1.2,-1.2,1,1.5,1,0,0,0,0,-
2,,1,16,40,60,99,0,30,75,85,100,1.2,-1.2,1,1.5,1,0,0,0,0,-
3,,1,20,30,50,99,0,30,62,82,100,1,1,1,1,1,0,0,0,0,-
4,,1,20,30,50,99,0,45,80,90,100,1,1,1,1,1,0,0,0,0,-
5,,1,30,40,60,99,0,28,60,90,100,1,1,1,1,1,0,0,0,0,-
6,,1,25,45,60,99,0,10,55,90,100,1,1,1,1,1,0,0,0,0,-
7,,1,15,30,50,99,0,25,70,90,100,1,1,1,1,1,0,0,0,0,-
8,,1,16,40,60,99,0,25,70,85,100,1.2,-1.2,1,1.5,1,0,0,0,0,-
9,,1,10,40,60,99,25,45,75,85,100,1.2,-1.2,1,1.5,1,0,0,0,0,-
10,,1,15,30,50,99,0,10,50,60,70,1,1,1,1,1,0,0,0,0,-
11,,1,25,30,45,99,0,0,40,90,100,1,1,1,1,1,0,0,0,0,-
12,,1,15,30,45,99,0,10,55,75,100,1,1,1,1,1,0,0,0,0,-
13,,1,25,30,50,99,0,0,40,90,100,1,1,1,1,1,0,0,0,0,-
14,,1,15,30,45,99,0,10,55,75,100,1,1,1,1,1,0,0,0,0,-
15,,1,15,30,45,99,0,25,75,90,100,1,1,1,1,1,0,0,0,0,-
16,,1,18,45,60,99,0,0,65,90,100,1,1,1,1,1,0,0,0,0,-
50,,0,0.04,0.16,0.2,0.3,1,0.9,0.4,0.25,0,1,1,1,1,1,0,0,0,0,-
51,,0,0.1,0.3,0.5,1,0,0,0.3,0.6,1,1,1,1,1,1,0,0,0,0,-
100,,0,10,15,20,99,300,300,300,300,300,1,1,1,1,1,0,0,0,0,-
101,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
102,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
110,,1,9,10,11,99,200,200,200,200,200,1,1,1,1,1,0,0,0,0,-
111,,1,9,10,11,99,200,200,200,200,200,1,1,1,1,1,0,0,0,0,-
112,,1,9,10,11,99,200,200,200,200,200,1,1,1,1,1,0,0,0,0,-
113,,1,9,10,11,99,200,200,200,200,200,1,1,1,1,1,0,0,0,0,-
114,,1,9,10,11,99,200,200,200,200,200,1,1,1,1,1,0,0,0,0,-
120,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
121,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
122,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
123,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
124,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
130,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
131,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
132,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
133,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
134,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
135,,0,10,15,20,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
140,,0,10,15,20,99,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
150,,0,10,20,30,40,0,10,10,15,20,0,0,0,0,0,0,0,0,0,-
160,,0,10,20,40,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
161,,0,10,20,40,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
162,,0,10,20,40,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
163,,0,10,20,40,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
170,,0,10,30,60,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
171,,0,10,30,60,99,0,20,22,25,30,1,1,1,1,1,0,0,0,0,-
172,,0,10,30,60,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
173,,0,10,30,60,99,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-
200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0.02,92,-
210,,20,40,60,80,100,20,40,60,80,100,1,1,1,1,1,0,0,0,0,-
211,,20,40,70,100,150,100,100,100,100,100,1,1,1,1,1,0,0,0,0,-
212,,0,10,20,35,99,100,100,100,100,100,1,1,1,1,1,0,0,0,0,-
213,,0,5,20,35,99,100,100,100,100,100,1,1,1,1,1,0,0,0,0,-
300,,1,76,220,350,999,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
301,,1,76,220,350,999,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
302,,1,76,220,350,999,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
303,,1,76,220,350,999,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
304,,1,76,220,350,999,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
310,,1,30,215,333,902,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
320,,1,30,215,333,902,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
330,,1,30,215,333,902,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
340,,1,30,215,333,902,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
341,,1,30,215,333,902,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
342,,1,30,100,200,902,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
350,,1,30,215,262,902,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
351,,1,30,215,262,902,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
352,,1,30,220,220,902,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
400,,1,30,215,333,902,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
401,,1,30,215,333,902,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
500,,1,11,12,13,99,320,1120,1120,1120,1120,1,1,1,1,1,0,0,0,0,-
501,,1,11,12,13,99,120,420,420,420,420,1,1,1,1,1,0,0,0,0,-
502,,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
503,,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-
504,,1,11,12,13,99,30,105,105,105,105,1,1,1,1,1,0,0,0,0,-
600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,10,0.02,94,-
610,,0,5,10,15,20,10,100,300,600,1000,1,1,1,1,1,0,0,0,0,-
620,,0,9,10,15,15,0,0,50,100,100,1,1,1,1,1,0,0,0,0,-
630,,0,1,8,16,17,70,85,95,98,99,1,1,1,1,1,0,0,0,0,-
