#Ceremony=CEREMONY_PARAM_ST
ID,Name,EventLayerID - EventLayerID - s32,MapStudioLayerID - MapStudioLayerID - s32,GparamID[Up] - GparamID[Up] - s16,GparamID[Low] - GparamID[Low] - s16,Point CloudID - Point CloudID - s32,GI_TextureID - GI_TextureID - s32,Light GroupID - Light GroupID - s32,IsReload - IsReload - u8,IsDisableOnline - IsDisableOnline - u8,pad1 - pad1 - dummy8
1000,,0,0,0,0,0,0,0,0,0,-
1001,,0,1,0,0,0,0,0,0,0,-
1002,,0,2,0,0,0,0,0,0,0,-
1003,,0,3,0,0,0,0,0,0,0,-
1004,,0,4,0,0,0,0,0,0,0,-
1005,,0,5,0,0,0,0,0,0,0,-
11000000,,0,0,0,0,0,0,0,0,0,-
11000020,,0,0,20,0,0,0,0,0,0,-
11010000,,0,0,0,0,0,0,0,0,0,-
11010010,,0,0,10,0,0,0,0,0,0,-
11010020,,0,0,20,0,0,0,0,0,0,-
11020000,,0,0,0,0,0,0,0,0,0,-
11020020,,0,0,20,0,0,0,0,0,0,-
15000000,,0,0,0,0,0,0,0,0,0,-
15000010,,0,0,10,0,0,0,0,0,0,-
25000000,,0,0,0,0,0,0,0,0,0,-
25000010,,0,0,10,0,0,0,0,0,0,-
30000000,,0,0,0,0,0,0,0,0,0,-
30000010,,0,10,10,0,1,1,1,0,0,-
30001000,,0,0,0,0,0,0,0,0,0,-
30001010,,9,11,0,0,0,0,0,0,0,-
30001011,,9,12,0,0,0,0,0,0,0,-
30001012,,9,11,0,0,2,2,2,0,0,-
30001015,,0,15,0,0,0,0,0,0,0,-
30001020,,0,10,0,600,0,0,6,0,0,-
30010000,,0,0,0,0,0,0,0,0,0,-
30010010,,0,10,10,0,0,0,1,0,0,-
31000000,,0,0,0,0,0,0,0,0,0,-
31000010,,0,10,10,0,0,0,0,0,0,-
31000020,,0,0,20,0,0,0,0,0,0,-
31000030,,0,10,30,0,0,0,0,0,0,-
31001000,,2,12,0,0,0,0,0,0,0,-
32000000,,0,0,0,0,0,0,0,0,0,-
32000010,,0,10,10,0,0,0,1,0,0,-
33000000,,0,0,0,0,0,0,0,0,0,-
33000010,,0,10,10,0,0,0,1,0,0,-
34010000,,0,0,0,0,0,0,0,0,0,-
34010010,,0,10,10,0,0,0,1,0,0,-
35000000,,0,0,0,0,0,0,0,0,0,-
35000010,,0,10,10,0,0,0,1,0,0,-
37000000,,0,0,0,0,0,0,0,0,0,-
37000010,,0,10,10,0,0,0,0,0,0,-
37001000,,2,12,0,0,0,0,0,0,0,-
37001100,,3,13,0,0,0,0,0,0,0,-
37001200,,4,14,0,0,0,0,0,0,0,-
37001201,,4,15,0,0,0,0,0,0,0,-
38000000,,0,0,0,0,0,0,0,0,0,-
39000000,,0,0,0,0,0,0,0,0,0,-
40000000,,0,0,0,0,0,0,0,0,1,-
40000010,,1,1,10,0,0,0,1,0,0,-
40000020,,2,2,0,0,0,0,0,0,0,-
41000000,,0,0,0,0,0,0,0,0,0,-
91080000,,0,0,0,0,0,0,0,0,0,-
91080010,,0,1,1,0,0,0,0,0,0,-
91080020,,0,2,2,0,0,0,0,0,0,-
91080030,,0,3,3,0,0,0,0,0,0,-
91080040,,0,4,4,0,0,0,0,0,0,-
91080050,,0,5,5,0,0,0,0,0,0,-
91080800,,0,0,0,0,0,0,0,1,0,-
99090000,,0,0,0,0,0,0,0,0,0,-
99090010,,0,1,0,0,0,0,0,1,0,-
