#CharMakeMenuListItemParam=CHARMAKEMENU_LISTITEM_PARAM_ST
ID,Name,Value - Value - s32,CaptionId - CaptionId - s32,IconID - IconID - u8,pad1 - pad1 - dummy8
0,,1,0,0,-
1,,2,0,0,-
2,,3,0,0,-
100,,0,421110,0,-
101,,1,421111,0,-
102,,2,421112,0,-
103,,3,421113,0,-
104,,4,421114,0,-
105,,5,421115,0,-
106,,6,421116,0,-
107,,7,421117,0,-
108,,8,421118,0,-
120,,0,421120,0,-
121,,1,421121,0,-
130,,0,421122,0,-
131,,1,421123,0,-
200,,0,402350,110,-
201,,1,402351,111,-
202,,2,402352,112,-
203,,3,402353,113,-
204,,4,402354,114,-
205,,5,402355,115,-
206,,6,402356,116,-
207,,7,402357,117,-
208,,8,402358,118,-
209,,9,402359,119,-
220,,0,402360,130,-
221,,1,402361,131,-
222,,2,402362,132,-
223,,3,402363,133,-
224,,4,402364,134,-
225,,5,402365,135,-
226,,6,402366,136,-
227,,7,402367,137,-
228,,8,402368,138,-
229,,9,402369,139,-
300,,0,0,1,-
301,,1,0,2,-
302,,2,0,3,-
303,,3,0,4,-
304,,4,0,5,-
305,,5,0,6,-
306,,6,0,7,-
307,,7,0,8,-
308,,8,0,9,-
400,,0,0,1,-
401,,1,0,2,-
402,,2,0,3,-
403,,3,0,4,-
404,,4,0,5,-
405,,5,0,6,-
406,,6,0,7,-
407,,7,0,8,-
408,,8,0,9,-
500,,0,0,10,-
501,,1,0,11,-
502,,2,0,12,-
503,,3,0,13,-
504,,4,0,14,-
505,,5,0,15,-
506,,6,0,16,-
507,,7,0,17,-
508,,8,0,18,-
509,,9,0,19,-
510,,10,0,20,-
511,,11,0,21,-
512,,12,0,22,-
513,,13,0,23,-
514,,14,0,24,-
515,,15,0,25,-
516,,16,0,26,-
600,,0,0,30,-
601,,1,0,31,-
602,,2,0,32,-
603,,3,0,33,-
604,,4,0,34,-
605,,5,0,35,-
606,,6,0,36,-
607,,7,0,37,-
608,,8,0,38,-
609,,9,0,39,-
610,,10,0,40,-
611,,11,0,41,-
620,,0,0,30,-
621,,1,0,31,-
622,,2,0,32,-
623,,3,0,33,-
624,,4,0,34,-
625,,5,0,35,-
626,,6,0,36,-
627,,7,0,37,-
628,,8,0,38,-
629,,9,0,39,-
630,,10,0,40,-
631,,11,0,41,-
700,,0,0,70,-
701,,112,0,93,-
702,,1,0,71,-
703,,2,0,72,-
704,,3,0,73,-
705,,4,0,74,-
706,,5,0,75,-
707,,6,0,76,-
708,,7,0,77,-
709,,8,0,78,-
710,,9,0,79,-
711,,10,0,80,-
712,,11,0,81,-
713,,101,0,82,-
714,,102,0,83,-
715,,103,0,84,-
716,,104,0,85,-
717,,105,0,86,-
718,,106,0,87,-
719,,107,0,88,-
720,,108,0,89,-
721,,109,0,90,-
722,,110,0,91,-
723,,111,0,92,-
800,,0,0,50,-
801,,1,0,56,-
802,,2,0,57,-
803,,3,0,58,-
804,,4,0,59,-
805,,5,0,60,-
806,,6,0,61,-
807,,7,0,62,-
808,,8,0,63,-
809,,9,0,64,-
810,,10,0,65,-
811,,13,0,68,-
812,,14,0,69,-
813,,15,0,111,-
814,,17,0,113,-
815,,18,0,114,-
816,,20,0,116,-
817,,21,0,117,-
818,,22,0,118,-
819,,23,0,119,-
820,,24,0,120,-
821,,25,0,121,-
822,,26,0,122,-
823,,27,0,123,-
824,,28,0,124,-
825,,29,0,125,-
826,,30,0,126,-
827,,32,0,128,-
828,,33,0,129,-
829,,34,0,130,-
830,,35,0,131,-
831,,36,0,132,-
832,,37,0,133,-
833,,38,0,134,-
834,,39,0,135,-
835,,40,0,136,-
836,,41,0,137,-
837,,42,0,138,-
838,,43,0,139,-
839,,44,0,140,-
840,,45,0,141,-
841,,47,0,143,-
842,,48,0,144,-
843,,49,0,145,-
844,,50,0,146,-
845,,51,0,51,-
846,,52,0,52,-
847,,53,0,53,-
848,,54,0,54,-
849,,55,0,55,-
900,,0,0,40,-
901,,1,0,41,-
902,,2,0,42,-
903,,3,0,43,-
904,,4,0,44,-
905,,5,0,45,-
906,,6,0,46,-
907,,7,0,47,-
908,,8,0,48,-
1000,,0,0,1,-
1001,,1,0,2,-
1002,,2,0,3,-
1003,,3,0,4,-
1004,,4,0,5,-
1005,,5,0,6,-
1006,,6,0,7,-
1007,,7,0,8,-
1008,,8,0,9,-
1100,,0,0,100,-
1101,,1,0,101,-
1102,,2,0,102,-
1103,,3,0,103,-
100000,,0,402201,0,-
100001,,1,402202,0,-
100100,,0,402301,0,-
100101,,1,402302,0,-
100102,,2,402303,0,-
100200,,0,402401,0,-
100201,,1,402402,0,-
100202,,2,402403,0,-
100203,,3,402404,0,-
100204,,4,402405,0,-
100205,,5,402406,0,-
100206,,6,402407,0,-
100207,,7,402408,0,-
100208,,8,402409,0,-
100209,,9,402410,0,-
100300,,0,402501,0,-
100301,,1,402502,0,-
100302,,2,402503,0,-
100303,,3,402504,0,-
100304,,4,402505,0,-
100305,,5,402507,0,-
100306,,6,402508,0,-
100307,,7,402511,0,-
100308,,8,402509,0,-
100309,,9,402510,0,-
100400,,0,421000,0,-
100401,,1,421001,0,-
100402,,2,421002,0,-
