#CharMakeMenuTopParam=CHARMAKEMENUTOP_PARAM_ST
ID,Name,CommandID - CommandID - s32,FaceParamID - FaceParamID - s32,TableID - TableID - s32,ViewCondition - ViewCondition - s32,PreviewMode - PreviewMode - u8,pad1 - pad1 - dummy8,MenuType - MenuType - s8,pad2 - pad2 - dummy8
1,,20,402012,0,0,3,-,1,-
2,,21,402013,0,0,0,-,1,-
3,,22,420001,0,0,0,-,1,-
4,,10,420010,0,0,0,-,1,-
5,,4,420055,202,120,0,-,1,-
6,,4,420056,201,130,0,-,1,-
7,,11,0,0,0,0,-,1,-
8,,23,420002,0,0,4,-,1,-
9,,10,420003,0,0,0,-,1,-
10,,1,423000,136,422000,0,-,1,-
11,,1,423001,137,422002,0,-,1,-
12,,1,423002,138,422004,0,-,1,-
13,,1,423003,139,422006,0,-,1,-
14,,1,423004,140,422008,0,-,1,-
15,,11,0,0,0,0,-,0,-
16,,24,420006,0,0,4,-,2,-
17,,10,420007,0,0,4,-,2,-
18,,12,420049,0,0,0,-,2,-
19,,10,420011,0,0,0,-,2,-
20,,1,423020,96,422030,0,-,2,-
21,,1,423021,97,422032,0,-,2,-
22,,1,423022,99,422034,0,-,2,-
23,,11,0,0,0,0,-,0,-
24,,10,420012,0,0,0,-,2,-
25,,10,420018,0,0,0,-,2,-
26,,1,423050,0,422052,0,-,2,-
27,,1,423051,1,422054,0,-,2,-
28,,1,423052,3,422056,0,-,2,-
29,,1,423053,4,422058,0,-,2,-
30,,1,423054,5,422060,0,-,2,-
31,,1,423055,6,422062,0,-,2,-
32,,11,0,0,0,0,-,0,-
33,,10,420019,0,0,0,-,2,-
34,,1,423060,15,422064,0,-,2,-
35,,1,423061,16,422066,0,-,2,-
36,,1,423062,17,422068,0,-,2,-
37,,1,423063,18,422070,0,-,2,-
38,,1,423064,19,422072,0,-,2,-
39,,1,423065,20,422074,0,-,2,-
40,,11,0,0,0,0,-,0,-
41,,10,420020,0,0,0,-,2,-
42,,1,423070,21,422076,0,-,2,-
43,,1,423071,22,422078,0,-,2,-
44,,1,423072,23,422080,0,-,2,-
45,,11,0,0,0,0,-,0,-
46,,10,420021,0,0,0,-,2,-
47,,1,423080,31,422082,0,-,2,-
48,,1,423081,32,422084,0,-,2,-
49,,1,423082,33,422086,0,-,2,-
50,,1,423083,34,422088,0,-,2,-
51,,11,0,0,0,0,-,0,-
52,,10,420022,0,0,0,-,2,-
53,,1,423090,44,422090,0,-,2,-
54,,1,423091,45,422092,0,-,2,-
55,,1,423092,46,422094,0,-,2,-
56,,1,423093,47,422096,0,-,2,-
57,,1,423094,48,422098,0,-,2,-
58,,1,423095,49,422100,0,-,2,-
59,,1,423096,50,422102,0,-,2,-
60,,11,0,0,0,0,-,0,-
61,,10,420023,0,0,0,-,2,-
62,,1,423100,51,422104,0,-,2,-
63,,1,423101,52,422106,0,-,2,-
64,,1,423102,53,422108,0,-,2,-
65,,1,423103,54,422110,0,-,2,-
66,,11,0,0,0,0,-,0,-
67,,10,420024,0,0,0,-,2,-
68,,1,423110,55,422112,0,-,2,-
69,,1,423111,56,422114,0,-,2,-
70,,1,423112,57,422116,0,-,2,-
71,,1,423113,58,422118,0,-,2,-
72,,1,423114,59,422120,0,-,2,-
73,,11,0,0,0,0,-,0,-
74,,10,420025,0,0,0,-,2,-
75,,1,423120,61,422122,0,-,2,-
76,,1,423121,62,422124,0,-,2,-
77,,1,423122,63,422126,0,-,2,-
78,,1,423123,64,422128,0,-,2,-
79,,1,423124,65,422130,0,-,2,-
80,,1,423125,66,422132,0,-,2,-
81,,11,0,0,0,0,-,0,-
82,,10,420026,0,0,0,-,2,-
83,,1,423130,67,422134,0,-,2,-
84,,1,423131,68,422136,0,-,2,-
85,,1,423132,69,422138,0,-,2,-
86,,1,423133,70,422140,0,-,2,-
87,,1,423134,71,422142,0,-,2,-
88,,1,423135,72,422144,0,-,2,-
89,,11,0,0,0,0,-,0,-
90,,10,420027,0,0,0,-,2,-
91,,1,423140,76,422146,0,-,2,-
92,,1,423141,77,422148,0,-,2,-
93,,1,423142,78,422150,0,-,2,-
94,,1,423143,79,422152,0,-,2,-
95,,1,423144,80,422154,0,-,2,-
