#ChrPhysicsHomingParam=CHR_PHYSICS_HOMING_ST
ID,Name,EdgePointAdd_X - EdgePointAdd_X - f32,EdgePointAdd_Y - EdgePointAdd_Y - f32,EdgePointAdd_Z - EdgePointAdd_Z - f32,Unk - Unk - s16,IsUseExtra - IsUseExtra - u8,DontResetParameter - DontResetParameter - u8,Extra_Angle - Extra_Angle - f32,InitWirePosCondition - InitWirePosCondition - u8,"WireCorrectionValue [0,1,2] - WireCorrectionValue [0,1,2] - u8",pad1 - pad1 - dummy8,Extra_ForwardDirection - Extra_ForwardDirection - f32,pad2 - pad2 - dummy8
0,,0,0,0,-1,0,0,0,0,0,-,1,-
10000,,0,0,-1,-1,1,0,10,2,0,-,1,-
10010,,0,0,-2,-1,1,0,10,2,0,-,1,-
10100,,0,0,0,220,1,0,10,2,0,-,1,-
20000,,0,0,-1,-1,1,0,10,2,0,-,1,-
20010,,0,0,-2,-1,1,0,10,2,0,-,1,-
100014500,,0,0,-1,-1,1,1,10,2,0,-,1,-
200000300,,0,0,-0.3,233,0,1,0,0,1,-,1,-
200000301,,0,0,-0.4,233,0,1,0,0,1,-,1,-
200000302,,0,0,0,233,0,1,0,0,1,-,1,-
200000303,,0,0,0,230,0,1,0,0,1,-,1,-
200000304,,0,0,0,234,0,1,0,0,1,-,1,-
200000305,,0,0,0.3,233,0,1,0,0,1,-,1,-
200000306,,0,0,0,232,0,1,0,0,1,-,1,-
200000310,,0,0,0,231,0,1,0,0,1,-,1,-
200000320,,0,0,0,233,0,1,0,0,1,-,1,-
200000321,,0,0,-0.4,233,0,1,0,0,1,-,1,-
200000330,,0,0,-0.4,233,0,1,0,0,1,-,1,-
200001300,,0,0,-1,235,0,1,0,1,1,-,1,-
200001600,,0,0,-1,-1,0,1,0,1,1,-,1,-
200001601,,0,1.5,0,-1,0,1,0,1,1,-,1,-
200001602,,0,2,0,-1,0,1,0,1,1,-,1,-
300000000,,0,0,0,-1,0,1,0,1,2,-,1,-
300000020,,0,-2.5,7.5,-1,0,1,0,1,1,-,1,-
300000024,,0,3,2,-1,0,1,0,1,1,-,1,-
300000040,,0,-30,30,-1,0,1,0,1,1,-,1,-
300000041,,0,-22,25,-1,0,1,0,1,1,-,1,-
300010700,,0,0,0,-1,0,1,0,1,1,-,1,-
300010701,,0,0,0,-1,0,1,0,1,1,-,1,-
300010702,,0,0,0,-1,0,1,0,1,1,-,1,-
300010800,,0,0,0,-1,0,1,0,1,1,-,1,-
300010801,,0,0,0,-1,0,1,0,1,1,-,1,-
300010802,,0,0,0,-1,0,1,0,1,1,-,1,-
300011800,,0,0,0,-1,0,1,0,1,1,-,1,-
300013700,,-3,0,-2.3,-1,0,1,0,1,1,-,1,-
300013701,,-1.1,0,-2.1,-1,0,1,0,1,1,-,1,-
300050200,,0,1.5,-2,-1,0,1,0,1,1,-,1,-
300050201,,0,1,-2,-1,0,1,0,1,1,-,1,-
300050202,,0,4,0,-1,0,1,0,1,1,-,1,-
300050600,,0,0,0,-1,0,1,0,1,1,-,1,-
300050601,,0,0,0,-1,0,1,0,1,1,-,1,-
300050602,,0,0,0,-1,0,1,0,1,1,-,1,-
300050800,,0,0,-0.5,-1,0,1,0,1,1,-,1,-
300050801,,0,0,-0.5,-1,0,1,0,1,1,-,1,-
300050802,,0,3,-1,-1,0,1,0,1,1,-,1,-
300050803,,0,0,-0.5,-1,0,1,0,1,1,-,1,-
300050804,,0,0,-0.5,-1,0,1,0,1,1,-,1,-
300051000,,0.3,-0.5,-0.8,-1,0,1,0,1,1,-,1,-
300052000,,0,0,0,-1,0,1,0,1,2,-,1,-
300052001,,0,0,0,-1,0,1,0,1,2,-,1,-
300052005,,0,0,0,-1,0,1,0,1,1,-,1,-
300052006,,0,0,0,-1,0,1,0,1,1,-,1,-
300053100,,0,0,0,-1,0,1,0,1,2,-,1,-
300053105,,0,0,0,-1,0,1,0,1,2,-,1,-
300053200,,0.3,-0.5,1,-1,0,1,0,1,1,-,1,-
300053201,,0,-0.5,-1.5,-1,0,1,0,1,1,-,1,-
300070200,,0,0,-3,-1,0,1,0,1,1,-,1,-
300070201,,0,-4,-2,-1,0,1,0,1,1,-,1,-
300070210,,2,-2.5,5,-1,0,1,0,1,1,-,1,-
400000000,,0,0,0,-1,0,1,0,1,0,-,1,-
400014500,,0,0,0,-1,0,1,0,1,0,-,1,-
400013100,,0,0,0,-1,0,1,0,1,0,-,1,-
