#ChrPhysicsVelocityChangeParam=CHR_PHYSICS_VELOCITY_CHANGE_ST
ID,Name,Unk1 - Unk1 - f32,Unk2 - Unk2 - f32,Unk3 - Unk3 - f32,Unk4 - Unk4 - f32,Unk5 - Unk5 - f32,pad1 - pad1 - dummy8,VelocityType - VelocityType - u8,Unk6 - Unk6 - u8,pad2 - pad2 - dummy8,ChrPhysicsHomingParamId - ChrPhysicsHomingParamId - s32,pad3 - pad3 - dummy8
0,,0,0,0,0,0,-,0,0,-,0,-
100,,0,0,0,9.64,0,-,0,0,-,0,-
101,,0,0,6.4,9.64,0,-,0,0,-,0,-
111,,0,0,7.68,7.712,0,-,1,1,-,10000,-
112,,0,0,7.68,7.712,180,-,1,0,-,0,-
113,,0,0,7.68,7.712,-90,-,1,0,-,0,-
114,,0,0,7.68,7.712,90,-,1,0,-,0,-
115,,0,0,7.68,7.712,-45,-,1,0,-,0,-
116,,0,0,7.68,7.712,45,-,1,0,-,0,-
117,,0,0,7.68,7.712,-135,-,1,0,-,0,-
118,,0,0,7.68,7.712,135,-,1,0,-,0,-
121,,0,0,9.15,9.64,0,-,0,0,-,0,-
200,,0,0,0,6.82,0,-,0,0,-,0,-
201,,0,0,6.4,6.82,0,-,0,0,-,0,-
221,,0,0,9.15,6.82,0,-,1,0,-,0,-
240,,0,0,0,12.27,0,-,1,0,-,0,-
241,,0,0,0,12.27,0,-,1,0,-,0,-
800,,0,0,0,7.712,0,-,0,0,-,0,-
801,,0,0,5.12,7.712,0,-,0,0,-,0,-
811,,0,0,6.144,6.1696,0,-,1,1,-,10000,-
812,,0,0,6.144,6.1696,180,-,1,0,-,0,-
813,,0,0,6.144,6.1696,-90,-,1,0,-,0,-
814,,0,0,6.144,6.1696,90,-,1,0,-,0,-
815,,0,0,6.144,6.1696,-45,-,1,0,-,0,-
816,,0,0,6.144,6.1696,45,-,1,0,-,0,-
817,,0,0,6.144,6.1696,-135,-,1,0,-,0,-
818,,0,0,6.144,6.1696,135,-,1,0,-,0,-
980,,0,0,2,25,-75,-,1,0,-,0,-
981,,0,0,7,51,70,-,1,0,-,0,-
982,,0,0,24,22,180,-,1,0,-,0,-
1000,,0,0,0,9.69,0,-,0,0,-,0,-
1001,,0,0,6.4,9.69,0,-,0,0,-,0,-
1002,,0,0,6.4,9.69,180,-,0,0,-,0,-
1003,,0,0,6.4,9.69,-90,-,0,0,-,0,-
1004,,0,0,6.4,9.69,90,-,0,0,-,0,-
1011,,0,0,4.266667,14.535,0,-,1,0,-,0,-
1111,,0,0,7.68,7.712,0,-,1,1,-,10000,-
1112,,0,0,7.68,7.712,180,-,1,0,-,0,-
1113,,0,0,7.68,7.712,-90,-,1,0,-,0,-
1114,,0,0,7.68,7.712,90,-,1,0,-,0,-
1115,,0,0,7.68,7.712,-45,-,1,0,-,0,-
1116,,0,0,7.68,7.712,45,-,1,0,-,0,-
1117,,0,0,7.68,7.712,-135,-,1,0,-,0,-
1118,,0,0,7.68,7.712,135,-,1,0,-,0,-
1200,,0,0,0,4.91,0,-,0,0,-,0,-
1201,,0,0,6.4,4.91,0,-,0,0,-,0,-
1202,,0,0,6.4,4.91,180,-,0,0,-,0,-
1211,,0,0,7.68,4.91,0,-,1,1,-,10000,-
1212,,0,0,7.68,4.91,180,-,1,0,-,0,-
1213,,0,0,7.68,4.91,-90,-,1,0,-,0,-
1214,,0,0,7.68,4.91,90,-,1,0,-,0,-
1215,,0,0,7.68,4.91,-45,-,1,0,-,0,-
1216,,0,0,7.68,4.91,45,-,1,0,-,0,-
1217,,0,0,7.68,4.91,-135,-,1,0,-,0,-
1218,,0,0,7.68,4.91,135,-,1,0,-,0,-
1250,,0,0,0,2,0,-,1,0,-,0,-
1251,,0,0,0,8.5,0,-,1,0,-,0,-
1260,,0,0,0,0,0,-,1,0,-,0,-
1100,,0,0,0,0,0,-,2,4,-,300000000,-
1101,,0,0,30,30,0,-,2,0,-,0,-
1102,,0,0,0,0,0,-,2,0,-,0,-
1600,,0,0,0,23.4,180,-,1,0,-,0,-
1605,,1,0.5,0,-1,180,-,1,0,-,0,-
1610,,0.125,0.5,5,3.2,180,-,0,0,-,0,-
1611,,0.125,0.5,5,3.2,180,-,0,0,-,0,-
1612,,0.125,0.5,5,3.2,180,-,0,0,-,0,-
1613,,0.125,0.5,5,3.2,180,-,0,0,-,0,-
1615,,0.5,0.5,0,0,0,-,0,0,-,0,-
1620,,0,0,6,6,180,-,0,0,-,0,-
1621,,0,0,6,6,180,-,0,0,-,0,-
1622,,1,1,6,6,180,-,0,0,-,0,-
1630,,0.25,0.25,3,6,180,-,0,0,-,0,-
2000,,0,0,0,7.712,0,-,0,0,-,0,-
2001,,0,0,0,7.712,0,-,0,0,-,0,-
2002,,0,0,7.04,7.712,180,-,1,0,-,0,-
2003,,0,0,7.04,7.712,-90,-,1,0,-,0,-
2004,,0,0,7.04,7.712,90,-,1,0,-,0,-
2011,,0,0,0,7.712,0,-,1,1,-,10000,-
2020,,1,1,2.816,0,0,-,0,1,-,10000,-
2040,,1,0.25,0,0,180,-,0,0,-,0,-
2100,,0,0,0,9.64,0,-,0,0,-,0,-
2101,,0,0,0,9.64,0,-,0,0,-,0,-
2102,,0,0,7.04,9.64,180,-,1,0,-,0,-
2103,,0,0,7.04,9.64,-90,-,1,0,-,0,-
2104,,0,0,7.04,9.64,90,-,1,0,-,0,-
2111,,0,0,0,9.64,0,-,1,1,-,10000,-
2120,,1,1,1.408,0,0,-,0,1,-,10000,-
2900,,0,0,0,6.81,0,-,0,1,-,10000,-
2901,,0,0,5.12,6.81,0,-,0,0,-,0,-
3040,,0,0,6,4,180,-,1,0,-,0,-
3041,,0,0,6,4,0,-,1,0,-,0,-
3090,,0,0,1.6,9.65,180,-,1,0,-,0,-
3100,,0,0,9,4,180,-,1,0,-,0,-
3101,,0,0,9,4,0,-,1,0,-,0,-
3110,,0,0,17,8,180,-,1,0,-,0,-
3111,,0,0,17,8,0,-,1,0,-,0,-
3240,,0,0,6,4,180,-,1,0,-,0,-
3241,,0,0,6,4,0,-,1,0,-,0,-
3290,,0,0,1.6,9.65,180,-,1,0,-,0,-
3300,,0,0,9,4,180,-,1,0,-,0,-
3301,,0,0,9,4,0,-,1,0,-,0,-
3310,,0,0,17,8,180,-,1,0,-,0,-
3311,,0,0,17,8,0,-,1,0,-,0,-
3400,,0.5,1,0,0,180,-,1,0,-,0,-
3401,,0.5,1,0,0,0,-,1,0,-,0,-
3430,,0,0.5,4,0,180,-,1,0,-,0,-
3431,,0,0.5,4,0,0,-,1,0,-,0,-
3440,,0,0,6,2,180,-,1,0,-,0,-
3441,,0,0,6,2,0,-,1,0,-,0,-
3460,,0,0,1.6,-9.65,180,-,1,0,-,0,-
3490,,0,0,1.6,9.65,180,-,1,0,-,0,-
3500,,0,0,9,2,180,-,1,0,-,0,-
3501,,0,0,9,2,0,-,1,0,-,0,-
3510,,0,0,17,8,180,-,1,0,-,0,-
3511,,0,0,17,8,0,-,1,0,-,0,-
3600,,0,0.5,4,0,180,-,1,0,-,0,-
3601,,0,0.5,4,0,0,-,1,0,-,0,-
3640,,0,0,6,2,180,-,1,0,-,0,-
3641,,0,0,6,2,0,-,1,0,-,0,-
3660,,0,0,1.6,-9.65,180,-,1,0,-,0,-
3690,,0,0,1.6,9.65,180,-,1,0,-,0,-
3700,,0,0,9,2,180,-,1,0,-,0,-
3701,,0,0,9,2,0,-,1,0,-,0,-
3710,,0,0,17,8,180,-,1,0,-,0,-
3711,,0,0,17,8,0,-,1,0,-,0,-
3800,,1,1,0,0,0,-,0,0,-,0,-
3810,,1,1,0,0,0,-,1,0,-,0,-
4400,,0,0.5,2,4,180,-,0,0,-,0,-
4430,,0,0.5,2,4,180,-,0,0,-,0,-
4500,,0,0,9,2,180,-,1,0,-,0,-
4600,,0,0.5,2,4,180,-,0,0,-,0,-
4630,,0,0.5,2,4,180,-,0,0,-,0,-
4700,,0,0,9,2,180,-,1,0,-,0,-
5000,,0,0.5,2,2,180,-,0,0,-,0,-
5010,,0,0.5,-2,2,180,-,0,0,-,0,-
5020,,0,0.5,0,2,180,-,0,0,-,0,-
5100,,1,0,0,0,180,-,0,0,-,0,-
7200,,0.125,0.5,5,3.2,180,-,0,0,-,0,-
7201,,0.75,0.75,0,0,0,-,0,0,-,0,-
7300,,1,1,0,0,0,-,0,1,-,10000,-
7400,,0.5,0.5,0,0.6,0,-,0,0,-,0,-
7401,,0.5,0.5,0,0,0,-,0,0,-,0,-
7410,,0,0,0,-10,0,-,0,0,-,0,-
7411,,0,0,10,-10,0,-,0,0,-,0,-
7412,,0,0,10,-10,180,-,0,0,-,0,-
7413,,0,0,10,-10,-60,-,0,0,-,0,-
7414,,0,0,10,-10,60,-,0,0,-,0,-
7415,,0,0,10,-10,-30,-,0,0,-,0,-
7416,,0,0,10,-10,30,-,0,0,-,0,-
7417,,0,0,10,-10,-120,-,0,0,-,0,-
7418,,0,0,10,-10,120,-,0,0,-,0,-
8000,,1,1,0,0,0,-,1,3,-,200000300,-
8005,,1,1,0,0,0,-,1,3,-,200000320,-
8010,,0,0,6.4,9.64,0,-,1,3,-,200001300,-
8020,,1,1,0,0,0,-,1,3,-,200001600,-
9000,,0,0,12,6,0,-,1,0,-,0,-
9010,,0,0,18,12,0,-,1,0,-,0,-
10000,,0,0,1.48,9.64,0,-,1,1,-,10000,-
10001,,0.5,0.5,0,0,0,-,1,1,-,10000,-
10002,,0.5,0.5,0,0,0,-,1,1,-,10000,-
10003,,0,0,10,-10,0,-,1,1,-,10000,-
10010,,0,0,6.4,9.64,0,-,1,1,-,20000,-
10020,,0,0,3.2,7.8,0,-,1,1,-,10000,-
10021,,0.5,0.5,0,0,0,-,1,1,-,10000,-
10022,,0,0,0,8,180,-,0,0,-,0,-
10023,,0.5,0.5,0,0,0,-,1,1,-,10000,-
10030,,0,0,3.2,8.4,0,-,1,1,-,10000,-
10031,,0.5,0.5,0,0,0,-,1,1,-,10000,-
10032,,0,0,0,5.2,180,-,0,0,-,0,-
10033,,0.5,0.5,0,0,0,-,1,1,-,10000,-
10014500,,0,0,10,10,0,-,0,2,-,100014500,-
40000000,,0,0,40,50,0,-,0,5,-,400000000,-
40014500,,0,0,40,50,0,-,0,5,-,400014500,-
40013100,,0,0,40,70,0,-,0,5,-,400013100,-
