#ClearCountCorrectParam=CLEAR_COUNT_CORRECT_PARAM_ST
ID,Name,HP - HP - f32,Mp - Mp - f32,Stamina - Stamina - f32,PhysDmg - PhysDmg - f32,slashDmg - slashDmg - f32,blowDmg - blowDmg - f32,thrustDmg - thrustDmg - f32,neutral - neutral - f32,MagicDmg - MagicDmg - f32,FireDmg - FireDmg - f32,ThunderDmg - ThunderDmg - f32,DarkDmg - DarkDmg - f32,PhysResist - PhysResist - f32,MagicResist - MagicResist - f32,FireResist - FireResist - f32,ThunderResist - ThunderResist - f32,DarkResist - DarkResist - f32,StaminaDmg - StaminaDmg - f32,MpRecover - MpRecover - f32,PoisonResist - PoisonResist - f32,ToxicResist - ToxicResist - f32,BleedResist - BleedResist - f32,CurseResist - CurseResist - f32,FrostResist - FrostResist - f32,HpRecover - HpRecover - f32,subMpRecover - subMpRecover - f32,subHpRecover - subHpRecover - f32,Unk1 - Unk1 - f32,Unk2 - Unk2 - f32,Unk3 - Unk3 - f32,Unk4 - Unk4 - f32,Unk5 - Unk5 - f32,Unk6 - Unk6 - f32,Unk7 - Unk7 - f32,Unk8 - Unk8 - f32,Unk9 - Unk9 - f32,Unk10 - Unk10 - f32,pad1 - pad1 - dummy8
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
2,,1.2,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1.5,1.2,-
3,,1.25,1,1.25,1.05,1,1,1,1,1.05,1.05,1.05,1.05,1,1,1,1,1,1.05,1.125,1.1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,2,1.25,-
4,,1.3,1,1.3,1.05,1,1,1,1,1.05,1.05,1.05,1.05,1,1,1,1,1,1.05,1.2,1.1,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,2.5,1.3,-
5,,1.325,1,1.325,1.05,1,1,1,1,1.05,1.05,1.05,1.05,1,1,1,1,1,1.05,1.225,1.1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,3,1.325,-
6,,1.35,1,1.35,1.05,1,1,1,1,1.05,1.05,1.05,1.05,1,1,1,1,1,1.05,1.25,1.1,1,1,1,1,1,0.7,1,1,1,1,1,1,1,1,1,3.5,1.35,-
7,,1.5,1,1.5,1.1,1,1,1,1,1.1,1.1,1.1,1.1,1,1,1,1,1,1.1,1.275,1.1,1,1,1,1,1,0.65,1,1,1,1,1,1,1,1,1,4.5,1.5,-
100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
101,,1.2,1,1.2,1.25,1,1,1,1,1.25,1.25,1.25,1.25,1,1,1,1,1,1.25,1,1.35,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1.2,-
102,,1.45,1,1.45,1.275,1,1,1,1,1.275,1.275,1.275,1.275,1,1,1,1,1,1.275,1.1,1.35,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1.5,1.45,-
103,,1.5,1,1.5,1.3,1,1,1,1,1.3,1.3,1.3,1.3,1,1,1,1,1,1.3,1.125,1.35,1,1,1,1,1,0.85,1,1,1,1,1,1,1,1,1,2,1.5,-
104,,1.65,1,1.65,1.4,1,1,1,1,1.4,1.4,1.4,1.4,1,1,1,1,1,1.4,1.2,1.35,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,2.5,1.65,-
105,,1.7,1,1.7,1.425,1,1,1,1,1.425,1.425,1.425,1.425,1,1,1,1,1,1.425,1.225,1.35,1,1,1,1,1,0.7,1,1,1,1,1,1,1,1,1,3,1.7,-
106,,1.75,1,1.75,1.45,1,1,1,1,1.45,1.45,1.45,1.45,1,1,1,1,1,1.45,1.25,1.35,1,1,1,1,1,0.65,1,1,1,1,1,1,1,1,1,3.5,1.75,-
107,,1.9,1,1.9,1.6,1,1,1,1,1.6,1.6,1.6,1.6,1,1,1,1,1,1.6,1.275,1.35,1,1,1,1,1,0.6,1,1,1,1,1,1,1,1,1,4.5,1.9,-
