#CoolTimeParam=COOL_TIME_PARAM_ST
ID,Name,limitationTime_0 - limitationTime_0 - f32,observationTime_0 - observationTime_0 - f32,limitationTime_1 - limitationTime_1 - f32,observationTime_1 - observationTime_1 - f32,limitationTime_2 - limitationTime_2 - f32,observationTime_2 - observationTime_2 - f32,limitationTime_3 - limitationTime_3 - f32,observationTime_3 - observationTime_3 - f32
101,,900,600,600,450,300,200,0,0
102,,900,600,600,450,300,200,0,0
103,,900,480,600,450,300,200,0,0
104,,900,480,600,450,300,200,0,0
105,,900,480,600,450,300,200,0,0
106,,900,300,600,450,300,200,0,0
107,,900,300,600,450,300,200,0,0
108,,900,300,600,450,300,200,0,0
109,,900,180,600,450,300,200,0,0
110,,900,180,600,450,300,200,0,0
201,,900,600,600,450,300,200,0,0
202,,900,600,600,450,300,200,0,0
203,,900,480,600,450,300,200,0,0
204,,900,480,600,450,300,200,0,0
205,,900,480,600,450,300,200,0,0
206,,900,300,600,450,300,200,0,0
207,,900,300,600,450,300,200,0,0
208,,900,300,600,450,300,200,0,0
209,,900,180,600,450,300,200,0,0
210,,900,180,600,450,300,200,0,0
301,,900,600,600,450,300,200,0,0
302,,900,600,600,450,300,200,0,0
303,,900,480,600,450,300,200,0,0
304,,900,480,600,450,300,200,0,0
305,,900,480,600,450,300,200,0,0
306,,900,300,600,450,300,200,0,0
307,,900,300,600,450,300,200,0,0
308,,900,300,600,450,300,200,0,0
309,,900,180,600,450,300,200,0,0
310,,900,180,600,450,300,200,0,0
401,,300,900,300,900,600,900,900,900
402,,300,900,300,900,600,900,900,900
403,,300,900,300,900,600,900,900,900
404,,300,900,300,900,600,900,900,900
405,,300,900,300,900,600,900,900,900
406,,300,900,300,900,600,900,900,900
407,,300,900,300,900,600,900,900,900
408,,300,900,300,900,600,900,900,900
409,,300,900,300,900,600,900,900,900
410,,300,900,300,900,600,900,900,900
