#CutsceneParam=CUTSCENE_PARAM_ST
ID,Name,IsEnable - IsEnable - u8,pad - pad - dummy8,WorldSoundResetVal - WorldSoundResetVal - f32,WorldSoundSetDefaultVal - WorldSoundSetDefaultVal - f32
0,,0,-,0,0
10000000,,1,-,2.5,0
11020070,,1,-,2.5,0
20000000,,1,-,2.5,0
20000011,,1,-,2.5,0
20000010,,1,-,2.5,0
20000012,,1,-,2.5,0
10000000,,1,-,2.5,0
10000010,,1,-,2.5,0
11010010,,1,-,2.5,0
11010011,,1,-,2.5,0
11010020,,1,-,2.5,0
11010030,,1,-,2.5,0
11010031,,1,-,2.5,0
11010040,,1,-,2.5,0
11010060,,1,-,2.5,0
11010070,,1,-,2.5,0
11020000,,1,-,2.5,0
11020001,,1,-,2.5,0
11020040,,1,-,3,0
11020070,,1,-,2.5,0
25000020,,1,-,2.5,0
25000020,,1,-,2.5,0
11010080,,1,-,2.5,0
11020090,,1,-,2.5,0
15000000,,1,-,2.5,0
10000020,,1,-,2.5,0
89000099,,0,-,0,0
