#DecalParam=DECAL_PARAM_ST
ID,Name,TextureId0 - TextureId0 - s32,dmyPolyID - dmyPolyID - s32,pitchAngle - pitchAngle - f32,yawAngle - yawAngle - f32,nearDistance - nearDistance - f32,farDistance - farDistance - f32,nearSize - nearSize - f32,farSize - farSize - f32,maskSpEffectID - maskSpEffectID - s32,randomVariationNum0 - randomVariationNum0 - u32,randomVariationNum1 - randomVariationNum1 - u32,randomVariationNum2 - randomVariationNum2 - u32,randomVariationNum3 - randomVariationNum3 - u32,replaceTextureId_byMaterial - replaceTextureId_byMaterial - u32,dmypolyCategory0 - dmypolyCategory0 - u32,dmypolyCategory1 - dmypolyCategory1 - u32,decalShapeType0 - decalShapeType0 - u32,decalShapeType1 - decalShapeType1 - u32,decalShapeType2 - decalShapeType2 - u32,decalShapeType3 - decalShapeType3 - u32,useDeferredDecal - useDeferredDecal - u32,usePaintDecal - usePaintDecal - u32,targetAttackChr - targetAttackChr - u32,targetDamageChr - targetDamageChr - u32,targetOtherChr - targetOtherChr - u32,targetMapObj - targetMapObj - u32,usePom - usePom - u32,0x26 - 0x26 - u32,0x26 - 0x26 - u32,0x26 - 0x26 - u32,0x26 - 0x26 - u32,0x26 - 0x26 - u32,0x26 - 0x26 - u32,0x27 - 0x27 - u32,0x27 - 0x27 - u32,0x27 - 0x27 - u32,0x27 - 0x27 - u32,0x27 - 0x27 - u32,0x27 - 0x27 - u32,0x27 - 0x27 - u32,0x27 - 0x27 - u32,randomSizeMin - randomSizeMin - s16,randomSizeMax - randomSizeMax - s16,randomRollMin - randomRollMin - f32,randomRollMax - randomRollMax - f32,randomPitchMin - randomPitchMin - f32,randomPitchMax - randomPitchMax - f32,randomYawMin - randomYawMin - f32,randomYawMax - randomYawMax - f32,pomHeightScale - pomHeightScale - f32,pomSampleMin - pomSampleMin - u8,pomSampleMax - pomSampleMax - u8,Contrast1 - Contrast1 - u8,TextureLengthType[0-3] - TextureLengthType[0-3] - u8,TextureWidthX - TextureWidthX - f32,TextureWidthZ - TextureWidthZ - f32,TextureLifeTime - TextureLifeTime - f32,0x58 - 0x58 - s32,0x5C - 0x5C - f32,0x60 - 0x60 - s32,0x64 - 0x64 - s32,0x68 - 0x68 - s32,0x6C - 0x6C - s32,TextureId1 - TextureId1 - s32,TextureId2 - TextureId2 - s32,TextureId3 - TextureId3 - s32,Brightness - Brightness - f32,TextureId4 - TextureId4 - s32,TextureId5 - TextureId5 - s32,TextureId6 - TextureId6 - s32,R(Diffuse) - R(Diffuse) - u8,G(Diffuse) - G(Diffuse) - u8,B(Diffuse) - B(Diffuse) - u8,UnkNaM - UnkNaM - s8,R(Specular) - R(Specular) - u8,G(Specular) - G(Specular) - u8,B(Specular) - B(Specular) - u8,DelayedSpawnState [ON_OFF] - DelayedSpawnState [ON_OFF] - s8,Contrast2 - Contrast2 - f32,0x98 - 0x98 - f32,0x9C - 0x9C - f32,0xA0 - 0xA0 - u8,0xA1 - 0xA1 - u8,0xA2 - 0xA2 - u8,0xA3 - 0xA3 - u8,minVal - minVal - f32,maxVal - maxVal - f32,0xAC - 0xAC - u8,0xAD - 0xAD - u8,DecalSpawnDelay[sec] - DecalSpawnDelay[sec] - u16,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,IsContactPlayer - IsContactPlayer - u32,IsFormCube - IsFormCube - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,0xB0 - 0xB0 - u32,TextureSpawnDelay[sec] - TextureSpawnDelay[sec] - f32,pad1 - pad1 - dummy8
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
40011,,-1,-1,0,0,-0.5,4,4,4,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,115,-180,180,0,0,0,0,0,8,64,1,1,17,0,3.25,0,0.1,-1,-1,800281,0,800000,100000,100000,1,-1,-1,800020,10,10,10,0,10,10,10,0,0.2,0,10,0,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-
50010,,-1,-1,0,0,-0.35,3,4,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,115,-180,180,0,0,0,0,0,8,64,1,0,1,1,0,0,0.1,-1,-1,-1,0,700000,9900000,700000,1,9900030,-1,-1,7,5,5,0,200,200,200,1,1,30,0.5,0,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-
50011,,-1,-1,22.5,0,-0.35,3,2.25,2.8,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,115,-180,180,0,0,0,0,0,8,64,1,0,1,1,0,0,0.1,-1,-1,-1,0,700000,9900000,700000,1,9900030,-1,-1,7,5,5,0,200,200,200,1,1,30,0.5,0,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-
600010,,-1,-1,0,180,-0.25,5,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,120,-180,180,0,0,0,0,1,8,64,1,0,0,0,0,0,0.05,-1,-1,-1,0,100030,100000,9900000,1,9900030,-1,-1,191,54,19,0,16,16,16,0,0.45,999,60,0,0,1,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
600011,,-1,-1,0,180,-0.25,5,0.5,1.5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,120,-180,180,0,0,0,0,1,8,64,1,0,0,0,0,0,0.05,-1,-1,-1,0,160010,100000,9900000,1,9900030,-1,-1,191,54,19,0,16,16,16,0,0.45,999,60,0,0,1,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
610010,,-1,-1,0,0,-0.25,5,0.5,1.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,120,-180,180,0,0,0,0,1,8,64,1,0,0,0,0,0,0.05,-1,-1,-1,0,100030,100000,9900000,1,9900030,-1,-1,191,54,19,0,16,16,16,0,0.45,999,60,0,0,1,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
610011,,-1,-1,0,0,-0.25,5,0.5,1.5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,120,-180,180,0,0,0,0,1,8,64,1,0,0,0,0,0,0.05,-1,-1,-1,0,160010,100000,9900000,1,9900030,-1,-1,191,54,19,0,16,16,16,0,0.45,999,60,0,0,1,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
620010,,-1,-1,-60,0,1,5,1.25,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,120,0,0,0,0,0,0,1,8,64,1,0,0,0,0,0,0.05,-1,-1,-1,0,100030,100000,9900000,1,9900030,-1,-1,191,54,19,0,16,16,16,0,0.45,999,60,0,0,1,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
620011,,-1,-1,-60,0,1,5,1.25,5,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,120,0,0,0,0,0,0,1,8,64,1,0,0,0,0,0,0.05,-1,-1,-1,0,160010,100000,9900000,1,9900030,-1,-1,191,54,19,0,16,16,16,0,0.45,999,60,0,0,1,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
