#DefaultKeyAssignParam02=DEFAULT_KEY_ASSIGN_PARAM_ST
ID,Name,Unk1 - Unk1 - s32,Unk2 - Unk2 - s32,Unk3 - Unk3 - s32,Unk4 - Unk4 - s32,Unk5 - Unk5 - s32,pad1 - pad1 - dummy8
0,,0,-1,125,0,0,-
1,,1,3003,86,0,0,-
2,,2,3003,100,0,0,-
3,,3,3002,99,0,0,-
4,,4,3002,101,0,0,-
5,,5,2005,111,0,0,-
6,,6,2004,126,0,0,-
7,,7,2010,85,0,0,-
8,,8,3005,-1,0,0,-
9,,9,3005,-1,0,0,-
10,,10,3004,-1,0,0,-
11,,11,3004,-1,0,0,-
12,,12,2011,-1,0,8,-
13,,13,2003,114,0,0,-
14,,14,2002,115,0,0,-
15,,15,2007,113,0,0,-
16,,16,2009,-1,0,2,-
17,,17,2008,98,0,0,-
18,,18,3001,-1,0,1,-
19,,19,3000,102,0,0,-
20,,20,2006,87,0,0,-
21,,21,2000,88,0,0,-
22,,22,2001,116,0,0,-
25,,25,2900,126,0,0,-
26,,26,2013,70,0,0,-
27,,27,2013,70,0,0,-
28,,28,2013,70,0,0,-
29,,29,2000,190,0,0,-
30,,30,2001,195,0,0,-
31,,31,2003,193,0,0,-
32,,32,2002,192,0,0,-
33,,33,2900,126,0,2,-
34,,34,2901,85,0,0,-
35,,35,2008,192,3,0,-
36,,36,2009,193,3,0,-
37,,37,3000,190,3,0,-
38,,38,3001,195,3,0,-
39,,39,-1,-1,0,9,-
40,,40,-1,-1,0,10,-
41,,41,2010,114,0,0,-
42,,42,-1,-1,0,1,-
