#GrassTypeParam=GRASS_TYPE_PARAM_ST
ID,Name,GrassLodRangeParamId - GrassLodRangeParamId - u16,Type1 - Type1 - u8,Type2 - Type2 - u8,Type3 - Type3 - u8,Unk1 - Unk1 - u8,Unk2 - Unk2 - u8,UseExtra_GrassRate - UseExtra_GrassRate - u8,GrassDefaultRate - GrassDefaultRate - f32,ObjectReference1 - ObjectReference1 - fixstrW,TextureReference1 - TextureReference1 - fixstrW,TextureReference2 - TextureReference2 - fixstrW,Unk3 - Unk3 - u8,Unk3 - Unk3 - u8,GrassAngle - GrassAngle - u8,GrassXZ - GrassXZ - u8,GrassY - GrassY - u8,GrassHeight1 - GrassHeight1 - u8,GrassHeight2 - GrassHeight2 - u8,GrassSpVal1 - GrassSpVal1 - u8,GrassSpVal2 - GrassSpVal2 - u8,GrassSpVal3 - GrassSpVal3 - u8,GrassSpVal4 - GrassSpVal4 - u8,GrassSpVal5 - GrassSpVal5 - u8,GrassSpVal6 - GrassSpVal6 - u8,"Switch [0,1] - Switch [0,1] - u8",Unk4 - Unk4 - u8,Unk5 - Unk5 - u8,Unk6 - Unk6 - f32,Unk7 - Unk7 - u8,Unk8 - Unk8 - u8,pad1 - pad1 - dummy8,Unk9 - Unk9 - u8,Unk10 - Unk10 - f32,Unk11 - Unk11 - f32,ExtraGrassRate - ExtraGrassRate - f32,Unk12 - Unk12 - u8,pad2 - pad2 - dummy8,ObjectReference2 - ObjectReference2 - fixstrW
1,,1,1,3,2,0,0,0,0.2,o007503,PlantTest_01_a,PlantTest_01_a,100,60,0,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
2,,1,1,3,2,0,0,0,0.5,o007510,PlantTest_01_a,PlantTest_01_a,100,30,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
3,,1,1,3,2,0,0,0,1,o007520,PlantTest_01_a,PlantTest_01_a,100,150,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
4,,1,1,3,2,0,0,0,0.3,o007521,PlantTest_01_a,PlantTest_01_a,100,150,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
5,,1,1,3,2,0,0,0,1,o007530,PlantTest_01_a,PlantTest_01_a,100,150,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
6,,1,1,3,2,0,0,0,2,o007540,PlantTest_01_a,PlantTest_01_a,100,60,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
7,,1,1,3,2,0,0,0,1,o007550,PlantTest_01_a,PlantTest_01_a,100,30,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
8,,1,1,3,2,0,0,0,1,o007560,o007560_Grass_01_far_a,o007560_Grass_01_far_a,100,150,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
9,,1,1,3,2,0,0,0,0.5,o007570,PlantTest_01_a,PlantTest_01_a,100,30,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
10,,1,1,3,2,0,0,0,2,o007571,PlantTest_01_a,PlantTest_01_a,100,150,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
11,,1,1,3,2,0,0,0,0.2,o007580,PlantTest_01_a,PlantTest_01_a,100,30,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
12,,1,1,2,0,0,0,0,0.3,o007501,o007501_Grass_01_far_a,o007501_Grass_01_far_a,100,60,0,95,100,95,105,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
13,,1,1,2,2,0,0,0,0.9,o007502,o007502_Grass_01_far_a,o007502_Grass_01_far_a,100,30,5,95,100,95,105,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
14,,1,1,3,2,0,0,0,1,o007592,PlantTest_01_a,PlantTest_01_a,100,150,5,95,100,95,105,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
15,,5,1,2,0,0,0,0,1,o007281,o007281_Plant_00_far_a,o007281_Plant_00_far_a,100,150,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
16,,5,1,2,0,0,0,0,1,o007282,o007282_Plant_00_far_a,o007282_Plant_00_far_a,100,150,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
17,,1,1,2,0,0,0,0,1,o007283,o007283_Plant_00_far_a,o007283_Plant_00_far_a,100,150,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
18,,1,1,2,0,0,0,0,1,o007284,o007284_Plant_00_far_a,o007284_Plant_00_far_a,100,150,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
19,,1,1,2,0,0,0,0,1,o007285,o007285_Plant_00_far_a,o007285_Plant_00_far_a,100,150,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
21,,1,1,3,2,0,0,0,0.5,o007000,PlantTest_01_a,PlantTest_01_a,100,30,5,90,110,90,110,255,255,255,255,255,255,0,2,0,0,1,80,-,40,-1,-1,0.5,0,-,
