#HitEffectSfxConceptParam=HIT_EFFECT_SFX_CONCEPT_PARAM_ST
ID,Name,SfxConceptId0 - SfxConceptId0 - s16,SfxConceptId1 - SfxConceptId1 - s16,SfxConceptId2 - SfxConceptId2 - s16,SfxConceptId3 - SfxConceptId3 - s16,SfxConceptId4 - SfxConceptId4 - s16,SfxConceptId5 - SfxConceptId5 - s16,SfxConceptId6 - SfxConceptId6 - s16,SfxConceptId7 - SfxConceptId7 - s16,SfxConceptId8 - SfxConceptId8 - s16,SfxConceptId9 - SfxConceptId9 - s16,SfxConceptId10 - SfxConceptId10 - s16,SfxConceptId11 - SfxConceptId11 - s16,SfxConceptId12 - SfxConceptId12 - s16,SfxConceptId13 - SfxConceptId13 - s16,SfxConceptId14 - SfxConceptId14 - s16,SfxConceptId15 - SfxConceptId15 - s16,SfxConceptId16 - SfxConceptId16 - s16,SfxConceptId17 - SfxConceptId17 - s16,SfxConceptId18 - SfxConceptId18 - s16,SfxConceptId19 - SfxConceptId19 - s16,SfxConceptId20 - SfxConceptId20 - s16,SfxConceptId21 - SfxConceptId21 - s16,SfxConceptId22 - SfxConceptId22 - s16,SfxConceptId23 - SfxConceptId23 - s16,SfxConceptId24 - SfxConceptId24 - s16,SfxConceptId25 - SfxConceptId25 - s16,SfxConceptId26 - SfxConceptId26 - s16,SfxConceptId27 - SfxConceptId27 - s16,SfxConceptId28 - SfxConceptId28 - s16,SfxConceptId29 - SfxConceptId29 - s16,pad1 - pad1 - dummy8
1,,10,90,380,0,20,90,20,90,10,90,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,-
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3,,40,0,380,0,40,0,40,0,20,40,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,-
4,,20,80,380,80,20,80,20,80,20,80,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,-
5,,40,120,380,120,40,120,40,120,20,120,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,-
6,,10,40,380,40,40,80,40,0,10,40,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,-
7,,20,80,380,80,20,80,20,80,20,80,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,-
8,,20,80,380,80,20,80,20,80,20,80,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,-
9,,20,490,380,490,20,490,20,490,20,490,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,-
10,,20,500,380,500,20,500,20,500,20,500,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,-
11,,10,0,380,0,20,10,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,-
12,,0,290,380,290,0,290,0,290,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
