#HitEffectSfxParam=HIT_EFFECT_SFX_PARAM_ST
ID,Name,HitSfxId0 - HitSfxId0 - s32,HitSfxId1 - HitSfxId1 - s32,HitSfxId2 - HitSfxId2 - s32,HitSfxId3 - HitSfxId3 - s32,HitSfxId4 - HitSfxId4 - s32,HitSfxId5 - HitSfxId5 - s32,HitSfxId6 - HitSfxId6 - s32,HitSfxId7 - HitSfxId7 - s32,HitSfxId8 - HitSfxId8 - s32,HitSfxId9 - HitSfxId9 - s32,HitSfxId10 - HitSfxId10 - s32,HitSfxId11 - HitSfxId11 - s32,HitSfxId12 - HitSfxId12 - s32,HitSfxId13 - HitSfxId13 - s32,HitSfxId14 - HitSfxId14 - s32,HitSfxId15 - HitSfxId15 - s32,pad1 - pad1 - dummy8
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
10,,201000,201001,201002,201003,201004,201000,201001,201002,201003,201004,201000,201001,201002,201003,201004,0,-
20,,202000,202001,202002,202003,202004,202000,202001,202002,202003,202004,202000,202001,202002,202003,202004,0,-
30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
40,,204000,204001,204002,204003,204004,204000,204001,204002,204003,204004,204000,204001,204002,204003,204004,0,-
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
60,,206000,206001,206002,206003,206004,206000,206001,206002,206003,206004,206000,206001,206002,206003,206004,0,-
70,,207000,207001,207002,207003,207004,207000,207001,207002,207003,207004,207000,207001,207002,207003,207004,0,-
80,,208000,208001,208002,208003,208004,208000,208001,208002,208003,208004,208000,208001,208002,208003,208004,0,-
90,,209000,209001,209002,209003,209004,209000,209001,209002,209003,209004,209000,209001,209002,209003,209004,0,-
100,,210000,210001,210002,210003,210004,210000,210001,210002,210003,210004,210000,210001,210002,210003,210004,0,-
110,,211000,211001,211002,211003,211004,211000,211001,211002,211003,211004,211000,211001,211002,211003,211004,0,-
120,,212000,212001,212002,212002,212002,212000,212001,212002,212002,212002,212000,212001,212002,212002,212002,0,-
130,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
140,,214000,214001,214002,214003,214004,214000,214001,214002,214003,214004,214000,214001,214002,214003,214004,0,-
150,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
160,,216000,216001,216002,216003,216004,216000,216001,216002,216003,216004,216000,216001,216002,216003,216004,0,-
170,,217000,217001,217002,217003,217004,217000,217001,217002,217003,217004,217000,217001,217002,217003,217004,0,-
180,,218000,218001,218002,218003,218004,218000,218001,218002,218003,218004,218000,218001,218002,218003,218004,0,-
190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
200,,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,220001,0,-
220,,222001,222001,222001,222001,222001,222001,222001,222001,222001,222001,222001,222001,222001,222001,222001,0,-
230,,223001,223001,223001,223001,223001,223001,223001,223001,223001,223001,223001,223001,223001,223001,223001,0,-
240,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
250,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
260,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
270,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
280,,228001,228001,228001,228001,228001,228001,228001,228001,228001,228001,228001,228001,228001,228001,228001,0,-
290,,229001,229001,229001,229001,229001,229001,229001,229001,229001,229001,229001,229001,229001,229001,229001,0,-
300,,230001,230001,230001,230001,230001,230001,230001,230001,230001,230001,230001,230001,230001,230001,230001,0,-
310,,231001,231001,231001,231001,231001,231001,231001,231001,231001,231001,231001,231001,231001,231001,231001,0,-
320,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
330,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
340,,234000,234401,234402,234402,234402,234400,234401,234402,234402,234402,234400,234401,234402,234402,234402,0,-
350,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
360,,236001,236001,236001,236001,236001,236001,236001,236001,236001,236001,236001,236001,236001,236001,236001,0,-
370,,237001,237001,237001,237001,237001,237001,237001,237001,237001,237001,237001,237001,237001,237001,237001,0,-
380,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
390,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
400,,240000,240001,240002,240003,240004,240000,240001,240002,240003,240004,240000,240001,240002,240003,240004,0,-
410,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
420,,242000,242001,242002,242002,242002,242000,242001,242002,242002,242002,242000,242001,242002,242002,242002,0,-
430,,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,243001,0,-
440,,244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,244001,0,-
450,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
460,,246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,246001,0,-
470,,247000,247001,247002,247002,247002,247000,247001,247002,247002,247002,247000,247001,247002,247002,247002,0,-
480,,248000,248001,248002,248003,248004,248000,248001,248002,248003,248004,248000,248001,248002,248003,248004,0,-
490,,249000,249001,249002,249003,249003,249000,249001,249002,249003,249003,249000,249001,249002,249003,249003,0,-
500,,249000,249001,249002,249003,249003,249000,249001,249002,249003,249003,249000,249001,249002,249003,249003,0,-
510,,251001,251001,251001,251001,251001,251001,251001,251001,251001,251001,251001,251001,251001,251001,251001,0,-
520,,252001,252001,252001,252001,252001,252001,252001,252001,252001,252001,252001,252001,252001,252001,252001,0,-
530,,253001,253001,253001,253001,253001,253001,253001,253001,253001,253001,253001,253001,253001,253001,253001,0,-
540,,254000,254001,254002,254003,254004,254000,254001,254002,254003,254004,254000,254001,254002,254003,254004,0,-
550,,255001,255001,255001,255001,255001,255001,255001,255001,255001,255001,255001,255001,255001,255001,255001,0,-
560,,256001,256001,256001,256001,256001,256001,256001,256001,256001,256001,256001,256001,256001,256001,256001,0,-
570,,257001,257001,257001,257001,257001,257001,257001,257001,257001,257001,257001,257001,257001,257001,257001,0,-
580,,226000,226000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
590,,226001,226001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
600,,226002,226002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
610,,261001,261001,261001,261001,261001,261001,261001,261001,261001,261001,261001,261001,261001,261001,261001,0,-
620,,262001,262001,262001,262001,262001,262001,262001,262001,262001,262001,262001,262001,262001,262001,262001,0,-
630,,263000,263001,263002,263003,263004,263000,263001,263002,263003,263004,263000,263001,263002,263003,263004,0,-
650,,265001,265001,265001,265001,265001,265001,265001,265001,265001,265001,265001,265001,265001,265001,265001,0,-
660,,266001,266001,266001,266001,266001,266001,266001,266001,266001,266001,266001,266001,266001,266001,266001,0,-
680,,268001,268001,268001,268001,268001,268001,268001,268001,268001,268001,268001,268001,268001,268001,268001,0,-
690,,269001,269001,269001,269001,269001,269001,269001,269001,269001,269001,269001,269001,269001,269001,269001,0,-
700,,270001,270001,270001,270001,270001,270001,270001,270001,270001,270001,270001,270001,270001,270001,270001,0,-
710,,271001,271001,271001,271001,271001,271001,271001,271001,271001,271001,271001,271001,271001,271001,271001,0,-
