#HitMtrlParam=HIT_MTRL_PARAM_ST
ID,Name,aiVolumeRate - aiVolumeRate - f32,spEffectId0 - spEffectId0 - s32,spEffectId1 - spEffectId1 - s32,FootEffectHeightType0 - FootEffectHeightType0 - u8,FootEffectHeightType1 - FootEffectHeightType1 - u8,footEffectDirType0 - footEffectDirType0 - u8,footEffectDirType1 - footEffectDirType1 - u8,newSpType0 - newSpType0 - u8,newSpType1 - newSpType1 - u8,unkb1 - unkb1 - u8,unkb2 - unkb2 - u8,HitMtrlType0 - HitMtrlType0 - u8,HitMtrlType1 - HitMtrlType1 - u8,HitMtrlType2 - HitMtrlType2 - u8,spEffectId2 - spEffectId2 - s32,spEffectId3 - spEffectId3 - s32,spEffectId4 - spEffectId4 - s32,spEffectId5 - spEffectId5 - s32,spEffectId6 - spEffectId6 - s32,spEffectId7 - spEffectId7 - s32,spEffectId8 - spEffectId8 - s32,spEffectId9 - spEffectId9 - s32,spEffectId10 - spEffectId10 - s32,spEffectId11 - spEffectId11 - s32,spEffectId12 - spEffectId12 - s32,spEffectId13 - spEffectId13 - s32,spEffectId14 - spEffectId14 - s32,spEffectId15 - spEffectId15 - s32,spEffectId16 - spEffectId16 - s32,pad1 - pad1 - dummy8
0,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
1,,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
2,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
3,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
4,,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
5,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
6,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
7,,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
8,,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
9,,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
10,,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
11,,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
12,,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
13,,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
14,,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
15,,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
16,,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
17,,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
18,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
19,,1,-1,-1,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
20,,1.5,110147,-1,1,0,0,0,1,0,0,0,1,0,0,130000,110147,110147,110147,110147,110147,110147,110147,-1,-1,-1,-1,-1,-1,-1,-
21,,1.5,110147,-1,1,0,0,0,1,0,0,0,1,2,0,130000,110147,110147,110147,110147,110147,110147,110147,-1,-1,-1,-1,-1,-1,-1,-
22,,1.5,110147,-1,1,0,0,0,1,0,0,0,1,2,0,130000,110147,110147,110147,110147,110147,110147,110147,-1,-1,-1,-1,-1,-1,-1,-
23,,1,-1,4002,1,0,0,0,1,0,0,0,1,2,0,130010,-1,-1,-1,-1,-1,-1,-1,4002,4002,4002,4002,4002,4002,4002,-
24,,1,108000,4000,1,0,0,0,1,0,0,0,1,2,0,130010,108000,108000,108000,108000,108000,108000,108000,4000,4000,4000,4000,4000,4000,4000,-
25,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
26,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
27,,1,-1,109920,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,109920,109920,109920,109920,109920,109920,109920,-
28,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
29,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
30,,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
31,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
32,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
33,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
34,,1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-
35,,1,110147,-1,0,0,0,0,0,0,0,0,1,0,0,-1,110147,110147,110147,110147,110147,110147,110147,-1,-1,-1,-1,-1,-1,-1,-
36,,1,110147,-1,0,0,0,0,0,0,0,0,1,0,0,-1,110147,110147,110147,110147,110147,110147,110147,-1,-1,-1,-1,-1,-1,-1,-
