#LoadBalancerDrawDistScaleParam=LOAD_BALANCER_DRAW_DIST_SCALE_PARAM_ST
ID,Name,LodDistDrawScale0 - LodDistDrawScale0 - f32,LodDistDrawScale1 - LodDistDrawScale1 - f32,LodDistDrawScale2 - LodDistDrawScale2 - f32,LodDistDrawScale3 - LodDistDrawScale3 - f32,LodDistDrawScale4 - LodDistDrawScale4 - f32,LodDistDrawScale5 - LodDistDrawScale5 - f32,LodDistDrawScale6 - LodDistDrawScale6 - f32,LodDistDrawScale7 - LodDistDrawScale7 - f32,LodDistDrawScale8 - LodDistDrawScale8 - f32,LodDistDrawScale9 - LodDistDrawScale9 - f32,LodDistDrawScale10 - LodDistDrawScale10 - f32,LodDistDrawScale11 - LodDistDrawScale11 - f32,LodDistDrawScale12 - LodDistDrawScale12 - f32,LodDistDrawScale13 - LodDistDrawScale13 - f32,LodDistDrawScale14 - LodDistDrawScale14 - f32,LodDistDrawScale15 - LodDistDrawScale15 - f32,LodDistDrawScale16 - LodDistDrawScale16 - f32,LodDistDrawScale17 - LodDistDrawScale17 - f32,LodDistDrawScale18 - LodDistDrawScale18 - f32,LodDistDrawScale19 - LodDistDrawScale19 - f32,LodDistDrawScale20 - LodDistDrawScale20 - f32,pad1 - pad1 - dummy8
1,,1,0.9625,0.925,0.8875,0.85,0.8125,0.775,0.7375,0.7,0.6625,0.625,0.5875,0.55,0.5125,0.475,0.4375,0.4,0.3625,0.325,0.2875,0.25,-
2,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
5,,1,0.9625,0.925,0.8875,0.85,0.8125,0.775,0.7375,0.7,0.6625,0.625,0.5875,0.55,0.5125,0.475,0.4375,0.4,0.3625,0.325,0.2875,0.25,-
6,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
7,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
8,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
10,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
11,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
12,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
26,,1,0.9625,0.925,0.8875,0.85,0.8125,0.775,0.7375,0.7,0.6625,0.625,0.5875,0.55,0.5125,0.475,0.4375,0.4,0.3625,0.325,0.2875,0.25,-
51,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
52,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
53,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
54,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
101,,1,0.9625,0.925,0.8875,0.85,0.8125,0.775,0.7375,0.7,0.6625,0.625,0.5875,0.55,0.5125,0.475,0.4375,0.4,0.3625,0.325,0.2875,0.25,-
102,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
103,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
104,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
105,,1,0.9625,0.925,0.8875,0.85,0.8125,0.775,0.7375,0.7,0.6625,0.625,0.5875,0.55,0.5125,0.475,0.4375,0.4,0.3625,0.325,0.2875,0.25,-
106,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
107,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
108,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
110,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
111,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
112,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
126,,1,0.5,0.45,0.4,0.35,0.3,0.25,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-
151,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
152,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
153,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
154,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
205,,1,0.9625,0.925,0.8875,0.85,0.8125,0.775,0.7375,0.7,0.6625,0.625,0.5875,0.55,0.5125,0.475,0.4375,0.4,0.3625,0.325,0.2875,0.25,-
206,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
207,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
208,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
210,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
211,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
212,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
226,,1,0.99,0.98,0.97,0.965,0.95,0.945,0.93,0.92,0.91,0.9,0.89,0.88,0.87,0.86,0.85,0.83,0.82,0.8,0.75,0.7,-
251,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
252,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
253,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
254,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
305,,1,0.9625,0.925,0.8875,0.85,0.8125,0.775,0.7375,0.7,0.6625,0.625,0.5875,0.55,0.5125,0.475,0.4375,0.4,0.3625,0.325,0.2875,0.25,-
306,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
307,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
308,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
310,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
311,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
312,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
326,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
351,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
352,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
353,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
354,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
405,,1,0.9625,0.925,0.8875,0.85,0.8125,0.775,0.7375,0.7,0.6625,0.625,0.5875,0.55,0.5125,0.475,0.4375,0.4,0.3625,0.325,0.2875,0.25,-
406,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
407,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
408,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
410,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
411,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-
412,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
426,,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,-
451,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
452,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
453,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
454,,1,0.6,0.589,0.578,0.568,0.557,0.547,0.536,0.526,0.515,0.505,0.494,0.484,0.473,0.463,0.452,0.442,0.431,0.421,0.41,0.4,-
