#LockCamParam=LOCK_CAM_PARAM_ST
ID,Name,CamDistTarget - CamDistTarget - f32,rotRangeMinX - rotRangeMinX - f32,lockRotXShiftRatio - lockRotXShiftRatio - f32,chrOrgOffsetZ - chrOrgOffsetZ - f32,chrLockRangeMaxRadius - chrLockRangeMaxRadius - f32,FovYChange - FovYChange - f32,ChrLockRangeMaxRadius_forDark - ChrLockRangeMaxRadius_forDark - f32,ChrLockRangeMaxRadius_forPitchDark - ChrLockRangeMaxRadius_forPitchDark - f32,MeleeAttackCaptureUpperLimitHeight - MeleeAttackCaptureUpperLimitHeight - f32,AttackCaptureLowerLimitHeight - AttackCaptureLowerLimitHeight - f32,AttackAutoAcquisitionAngleRangeLeft - AttackAutoAcquisitionAngleRangeLeft - f32,MeleeAttackAutoAcquisitionCharacterRangeMaximumRadius - MeleeAttackAutoAcquisitionCharacterRangeMaximumRadius - f32,MeleeAttackAutoAcquisitionDarkCharacterRangeMaximumRadius - MeleeAttackAutoAcquisitionDarkCharacterRangeMaximumRadius - f32,ProximityAttackAutoAcquisitionCharacterRangeForPureDarknessMaximumRadius - ProximityAttackAutoAcquisitionCharacterRangeForPureDarknessMaximumRadius - f32,BulletAutoCaptureCharacterRangeMaximumRadius - BulletAutoCaptureCharacterRangeMaximumRadius - f32,BulletAutoCaptureDarkCharacterRangeMaximumRadius - BulletAutoCaptureDarkCharacterRangeMaximumRadius - f32,BulletAutomaticCaptureCharacterRangeRorPureDarknessMaximumRadius - BulletAutomaticCaptureCharacterRangeRorPureDarknessMaximumRadius - f32,BulletAutoCapturingAngleRangeLeftAndRight - BulletAutoCapturingAngleRangeLeftAndRight - f32,pad1 - pad1 - dummy8
0,,4.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
1,,3,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
2,,3.75,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
10,,6,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
20,,8,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
22,,0.4,0,0.45,-3,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
100,,3.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
101,,2.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
102,,3,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
110,,5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
120,,7,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
200,,3.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
201,,2.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
202,,3,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
221,,12,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
300,,1.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
301,,1.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
302,,1.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
500,,3.5,-60,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
501,,2.5,-60,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
502,,3,-60,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
521,,8,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
700,,7.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
701,,6,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
702,,6.75,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
2000,,4.5,-20,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
2600,,4.5,-20,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
2700,,7.5,-20,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
3000,,4.5,-80,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
3020,,12,-80,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
3200,,4.5,0,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
3220,,12,0,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
3400,,4.5,0,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
3420,,12,0,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
3700,,7.5,-80,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
3720,,15,-80,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
4300,,4.5,0,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
4400,,4.5,0,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5050,,9,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5055,,6.5,-40,0.45,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5060,,5,-40,0.4,1.5,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5100,,5.5,-40,0.35,3,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5101,,7,-40,0.35,3,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5102,,7.5,-40,0.15,3,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5110,,6,-40,0.35,3,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
5200,,7,-60,0.35,10,30,43,15,10,1,3,30,3,3,3,30,15,10,15,-
