#LodParam=LOD_BANK_ST
ID,Name,lv01_BorderDist - lv01_BorderDist - f32,lv01_PlayDist - lv01_PlayDist - f32,lv12_BorderDist - lv12_BorderDist - f32,lv12_PlayDist - lv12_PlayDist - f32,textureLod - textureLod - u8,pad1 - pad1 - dummy8,lv23_BorderDist - lv23_BorderDist - f32,lv23_PlayDist - lv23_PlayDist - f32,lv34_BorderDist - lv34_BorderDist - f32,lv34_PlayDist - lv34_PlayDist - f32,lv45_BorderDist - lv45_BorderDist - f32,lv45_PlayDist - lv45_PlayDist - f32,DistanceScaleId [0-255] - DistanceScaleId [0-255] - u8,UseExtraLayer - UseExtraLayer - u8,pad2 - pad2 - dummy8,ExtraBorderDist - ExtraBorderDist - f32,pad3 - pad3 - dummy8
0,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
1,,80,2,2000,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
2,,30,2,2000,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
3,,-1,2,-1,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
4,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
5,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
6,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
7,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
8,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
9,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
10,,10,2,40,4,1,-,50,2,15,2,20,1,0,1,-,0.2,-
11,,20,2,50,4,1,-,80,2,30,2,40,1,0,1,-,0.2,-
12,,60,3,100,6,1,-,120,2,50,2,60,1,0,1,-,0.2,-
13,,80,4,160,8,1,-,200,2,100,2,80,1,0,1,-,0.2,-
14,,400,8,600,10,1,-,9999,2,9999,2,80,1,0,1,-,0.2,-
15,,20,2,50,4,1,-,80,1,10,2,10,1,0,1,-,0.2,-
16,,10,2,40,4,1,-,9999,2,15,2,20,1,0,1,-,0.2,-
17,,20,2,50,4,1,-,9999,2,30,2,40,1,0,1,-,0.2,-
18,,60,3,100,6,1,-,9999,2,50,2,60,1,0,1,-,0.2,-
19,,80,4,160,8,1,-,9999,2,100,2,80,1,0,1,-,0.2,-
20,,400,8,600,10,1,-,9999,2,9999,2,80,1,0,1,-,0.2,-
21,,20,2,50,4,1,-,120,2,20,2,50,1,0,1,-,0.2,-
22,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
23,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
24,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
25,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
26,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
27,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
28,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
29,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
30,,10,2,40,4,1,-,25,2,9999,2,9999,2,0,1,-,0.2,-
31,,20,2,50,4,1,-,50,2,9999,2,9999,2,0,1,-,0.2,-
32,,30,2,60,4,1,-,75,2,9999,2,9999,2,0,1,-,0.2,-
33,,40,2,70,4,1,-,100,2,9999,2,9999,2,0,1,-,0.2,-
34,,50,2,80,4,1,-,150,2,9999,2,9999,2,0,1,-,0.2,-
35,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
36,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
37,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
38,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
39,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
40,,10,2,40,4,1,-,25,2,10,2,10,2,0,1,-,0.2,-
41,,20,2,50,4,1,-,50,2,15,2,10,2,0,1,-,0.2,-
42,,30,2,60,4,1,-,75,2,25,2,20,2,0,1,-,0.2,-
43,,40,2,70,4,1,-,100,2,50,2,30,2,0,1,-,0.2,-
44,,50,2,80,4,1,-,150,2,75,2,40,2,0,1,-,0.2,-
45,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
46,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
47,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
48,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
49,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
50,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
51,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
52,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
53,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
54,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
55,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
56,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
57,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
58,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
59,,30,2,60,4,1,-,9999,2,9999,2,9999,2,0,1,-,0.2,-
60,,80,2,2000,4,0,-,9999,2,9999,2,9999,2,0,0,-,0.2,-
61,,-1,10,-1,10,0,-,9999,2,9999,2,9999,2,0,0,-,0.2,-
62,,0,0,0,0,1,-,9999,2,9999,2,9999,2,0,0,-,0.2,-
63,,-1,10,-1,10,1,-,9999,2,9999,2,9999,2,0,0,-,0.2,-
