#LodParam_xb1=LOD_BANK_ST
ID,Name,lv01_BorderDist - lv01_BorderDist - f32,lv01_PlayDist - lv01_PlayDist - f32,lv12_BorderDist - lv12_BorderDist - f32,lv12_PlayDist - lv12_PlayDist - f32,textureLod - textureLod - u8,pad1 - pad1 - dummy8,lv23_BorderDist - lv23_BorderDist - f32,lv23_PlayDist - lv23_PlayDist - f32,lv34_BorderDist - lv34_BorderDist - f32,lv34_PlayDist - lv34_PlayDist - f32,lv45_BorderDist - lv45_BorderDist - f32,lv45_PlayDist - lv45_PlayDist - f32,DistanceScaleId [0-255] - DistanceScaleId [0-255] - u8,UseExtraLayer - UseExtraLayer - u8,pad2 - pad2 - dummy8,ExtraBorderDist - ExtraBorderDist - f32,pad3 - pad3 - dummy8
0,,15,1,30,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
1,,40,1,1000,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
2,,15,1,1000,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
3,,1000,1,2000,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
4,,1,0,3,0,0,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
5,,5,1,20,2,0,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
6,,5,1,20,2,0,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
7,,5,1,20,2,0,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
8,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
9,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
10,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
11,,10,1,25,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
12,,30,1.5,50,3,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
13,,40,2,80,4,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
14,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
15,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
16,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
17,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
18,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
19,,9998,10,9999,10,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
20,,200,4,300,8,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
21,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
22,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
23,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
24,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
25,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
26,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
27,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
28,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
29,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
30,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
31,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
32,,5,1,20,2,1,-,9999,1,9999,1,9999,1,0,0,-,0.2,-
