#MPEstusFlaskRecoveryParam=ESTUS_FLASK_RECOVERY_PARAM_ST
ID,Name,recoveryCount0 - recoveryCount0 - u8,recoveryCount1 - recoveryCount1 - u8,recoveryCount2 - recoveryCount2 - u8,recoveryCount3 - recoveryCount3 - u8,recoveryCount4 - recoveryCount4 - u8,recoveryCount5 - recoveryCount5 - u8,recoveryCount6 - recoveryCount6 - u8,recoveryCount7 - recoveryCount7 - u8,recoveryCount8 - recoveryCount8 - u8,recoveryCount9 - recoveryCount9 - u8,recoveryCount10 - recoveryCount10 - u8,recoveryCount11 - recoveryCount11 - u8,recoveryCount12 - recoveryCount12 - u8,recoveryCount13 - recoveryCount13 - u8,recoveryCount14 - recoveryCount14 - u8,recoveryCount15 - recoveryCount15 - u8,recoveryCount16 - recoveryCount16 - u8,recoveryCount17 - recoveryCount17 - u8,recoveryCount18 - recoveryCount18 - u8,recoveryCount19 - recoveryCount19 - u8,recoveryCount20 - recoveryCount20 - u8,recoveryCount21 - recoveryCount21 - u8,recoveryCount22 - recoveryCount22 - u8,recoveryCount23 - recoveryCount23 - u8
0,,0,2,2,2,2,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1,,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0
900,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
1002,,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
1003,,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0
1004,,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0
1005,,5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,0,0,0,0,0
1006,,6,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,0,0,0,0,0
1007,,7,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,0,0,0,0,0
1008,,8,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,0,0,0,0,0,0,0
1009,,9,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,0,0,0,0,0,0
1010,,10,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,0,0,0,0,0,0
1011,,11,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,0,0,0,0,0
1012,,12,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,0,0,0,0,0
1013,,13,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,0,0,0,0,0,0
1014,,14,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,4,0,0,0,0,0,0,0
1015,,15,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,4,0,0,0,0,0,0,0
2001,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
100000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
