#MapPartsParam=MAP_PARTS_PARAM_ST
ID,Name,MapPartFloat1 - MapPartFloat1 - f32,MapPartFloat2 - MapPartFloat2 - f32,pad1 - pad1 - dummy8
0,,0,0,-
100002023,,0.75,4.75,-
100002024,,0.75,4.75,-
100002032,,0.75,4.75,-
100002051,,0.75,4.75,-
100002453,,0.75,4.75,-
100002454,,0.75,4.75,-
100002462,,0.75,4.75,-
100002463,,0.75,4.75,-
100002471,,0.75,4.75,-
100002503,,0.75,4.75,-
100002504,,0.75,4.75,-
100002506,,0.75,4.75,-
100002507,,0.75,4.75,-
100002004,,0.75,4.75,-
100002003,,0.75,4.75,-
100002505,,0.75,4.75,-
100002702,,0.75,4.75,-
100002703,,0.75,4.75,-
100202001,,0.75,4.75,-
100202101,,0.75,4.75,-
100504001,,0.75,4.75,-
100504011,,0.75,4.75,-
100504021,,0.75,4.75,-
100504031,,0.75,4.75,-
100590003,,0.75,4.75,-
100590004,,0.75,4.75,-
100590005,,0.75,4.75,-
100591001,,0.75,4.75,-
100592003,,0.75,4.75,-
100592004,,0.75,4.75,-
100592005,,0.75,4.75,-
100593001,,0.75,4.75,-
100594001,,0.75,4.75,-
100595001,,0.75,4.75,-
110002305,,0.75,4.75,-
110002315,,0.75,4.75,-
110002550,,0.75,4.75,-
110003106,,0.75,4.75,-
110003115,,0.75,1.5,-
110003501,,0.75,4.75,-
110003515,,0.75,4.75,-
110003801,,0.75,4.75,-
110003805,,0.75,1.5,-
110005000,,0,1,-
110005010,,0,1,-
110005020,,0,1,-
110020410,,0.75,1.5,-
110015153,,0.75,4.75,-
110015405,,0.75,1.5,-
110016000,,0.75,1.5,-
110016001,,0.75,1.5,-
110016005,,0.75,1.5,-
110310020,,0.75,4.75,-
110310110,,0.75,4.75,-
110320100,,0.75,4.75,-
110320410,,0.75,4.75,-
110340004,,0.75,4.75,-
110340050,,0.75,1.5,-
110450100,,0,1,-
110450110,,0,1,-
110802040,,0.75,4.75,-
110802050,,0.75,1.5,-
110804100,,0.75,4.75,-
110911101,,67,70,-
110911030,,40,43,-
111002059,,0.75,1.5,-
111002061,,0.75,1.5,-
111003501,,0.75,4.75,-
111003506,,0.75,4.75,-
111003521,,0.75,4.75,-
111003531,,0.75,4.75,-
111003541,,0.75,4.75,-
111003542,,0.75,4.75,-
111003801,,0.75,1.5,-
111003811,,0.75,1.5,-
111003821,,0.75,1.5,-
111006670,,0.75,4.75,-
111006671,,0.75,4.75,-
111006672,,1.5,4.75,-
111006675,,1.5,4.75,-
111006680,,0.75,4.75,-
111012002,,0.75,1.5,-
111012101,,0.75,4.75,-
111012201,,0.75,4.75,-
111012501,,0.75,1.5,-
111012601,,0.75,4.75,-
111012701,,0.75,4.75,-
111012901,,0.75,4.75,-
111015047,,0.75,4.75,-
111015049,,0.75,4.75,-
111015071,,1.5,4.75,-
111015079,,1.5,4.75,-
111015263,,0.75,4.75,-
111015280,,0.75,4.75,-
111015370,,0.75,4.75,-
111015390,,0.75,4.75,-
111015395,,0.75,4.75,-
111015471,,0.75,4.75,-
111015472,,0.75,4.75,-
111015475,,0.75,4.75,-
111015479,,0.75,4.75,-
111015485,,0.75,4.75,-
111015812,,1.2,4.75,-
111016010,,0.75,4.75,-
111016015,,0.75,4.75,-
111016020,,0.75,4.75,-
111016100,,0.75,4.75,-
111911021,,50,53,-
111911120,,97,100,-
111911130,,40,43,-
111911200,,45,58,-
112000160,,0.75,4.75,-
112000170,,0.75,4.75,-
112200301,,0.75,4.75,-
112001180,,0.75,4.75,-
112001190,,0.75,4.75,-
112001302,,0.75,4.75,-
112001390,,0.75,4.75,-
112001700,,0.75,4.75,-
112001810,,0.75,4.75,-
112003011,,0.75,4.75,-
112003020,,0.75,4.75,-
112003220,,0.75,4.75,-
112003202,,0.75,4.75,-
112003255,,0.75,4.75,-
112003380,,0.75,4.75,-
112003390,,0.75,4.75,-
112003801,,0.75,4.75,-
112201001,,0.75,4.75,-
112201002,,0.75,4.75,-
112201050,,0.75,4.75,-
112201090,,0.75,4.75,-
112201515,,0.75,4.75,-
112201531,,0.75,4.75,-
112201550,,0.75,2,-
112201580,,0.75,2.75,-
112201590,,0.75,4.75,-
112209900,,96,100,-
112300301,,0.75,4.75,-
112304000,,0.75,4.75,-
112402000,,0.75,4.75,-
130000800,,0,1,-
130001010,,0.75,4.75,-
130001020,,0.75,4.75,-
130001030,,0.75,4.75,-
130001100,,0.75,4.75,-
130001110,,0.75,4.75,-
130001120,,0.75,4.75,-
130007000,,0.75,4.75,-
130105200,,0.75,4.75,-
130105300,,0.75,4.75,-
130105400,,0.75,4.75,-
130201100,,0.75,4.75,-
130201110,,0.75,4.75,-
130201200,,0.75,4.75,-
130201300,,0.25,0.75,-
130201310,,0,1,-
130201320,,0,1,-
130201400,,0.75,4.75,-
130201410,,0.75,4.75,-
130202300,,0.75,4.75,-
130205000,,0.75,4.75,-
130205110,,0.75,4.75,-
130205120,,0.75,4.75,-
130205130,,0.75,4.75,-
