#MaterialExParam=MATERIAL_EX_PARAM_ST
ID,Name,AdhocCaption - AdhocCaption - fixstrW,pad1 - pad1 - dummy8,Unk - Unk - s32,pad2 - pad2 - dummy8
100,,Rise_Intensity,-,-1,-
1000,,c4500_Heat_Intensity,-,-1,-
1100,,c1300_Heat_Intensity,-,-1,-
1200,,Pupil_Size,-,-1,-
1300,,Withered_Intensity,-,-1,-
1400,,Emissive_SwitchBlue,-,-1,-
1500,,Emissive_SwitchBlue2,-,-1,-
1600,,Gradient_Intensity,-,-1,-
1700,,Color_Power_A,-,-1,-
1800,,Color_Power_B,-,-1,-
1900,,EdgePower_Test,-,-1,-
2000,,EdgeOffset_Test,-,-1,-
2100,,RedMask_Param,-,-1,-
2200,,GreenMask_Param,-,-1,-
2300,,BlueMask_Param,-,-1,-
10000,,Sun_Moon_[Switch],-,-1,-
10001,,Sun_Moon_[Alpha],-,-1,-
10010,,Sun_[Color],-,-1,-
10011,,Sun_[Int],-,-1,-
10012,,Sun_[Contrast],-,-1,-
10013,,Sun_[Scale],-,-1,-
10020,,Moon_[Color],-,-1,-
10021,,Moon_[Scale],-,-1,-
10030,,MoonShadow_[Color],-,-1,-
10031,,MoonShadow_[Int],-,-1,-
10032,,MoonShadow_[Contrast],-,-1,-
10033,,MoonShadow_[Offset],-,-1,-
10034,,MoonShadow_[Scale],-,-1,-
10035,,MoonShadow_[Rotate],-,-1,-
20000,,Scroll,-,-1,-
900000,,c9660_Whit_to_Red,-,-1,-
900001,,c9660_Black_to_Blue,-,-1,-
900002,,c9660_Phantom_Intensity,-,-1,-
