#MenuColorTableParam=MENU_PARAM_COLOR_TABLE_ST
ID,Name,R - R - u8,G - G - u8,B - B - u8,A - A - u8
0,使用しない,0,0,0,0
1,通常テキスト_茶色,240,240,240,255
2,インベントリで選択中のアイコン色,210,140,100,255
3,パラメータテキスト（通常）,240,240,240,255
4,パラメータテキスト（良い）,30,130,210,128
5,パラメータテキスト（悪い）,230,80,30,255
6,インフォメーションタイトル,255,150,100,255
7,通常テキスト_白,240,240,240,255
8,スクロースバー背景色,0,0,0,150
9,背景プレート(濃度調整),255,255,255,100
10,背景プレート(色調整),10,8,5,255
11,一行ヘルプ,35,31,26,245
12,キーガイド,10,8,5,100
13,メニュープレート,255,255,235,255
14,半透明プレート,0,0,0,220
15,半透明グラデーションプレート,0,0,0,255
16,スクロールバー,70,26,5,255
17,血文字プレート,100,0,0,128
18,SOSプレート,0,80,100,128
19,項目ヘルプブラックアウト,0,0,0,200
20,ブラックアウト,0,0,0,200
21,グレーアウト,0,0,0,200
22,ライン,40,36,33,255
23,メニュータブ（インゲーム）,225,255,245,255
24,メニュータブ（キャンプ）,255,235,185,255
25,メニュータブ（血文字入力）,255,105,75,255
26,メニュータブ（SOS入力）,155,225,255,255
27,メニュータブ（プレイヤー評価）,255,255,255,255
28,メニュータブ（タイトルメニュー）,225,255,225,255
29,メニュータブ（ショップ）,225,225,255,255
30,HPバー,171,33,31,255
31,MPバー,29,62,162,255
32,SPバー,77,136,53,255
33,変動値バー,171,101,31,255
34,バープレート,95,95,95,255
35,攻撃力/防御力バー,143,29,24,255
36,攻撃力/防御力バー（付加効果）,87,126,0,255
37,攻撃力/防御力バープレート,0,0,0,165
38,オプションバー,85,0,0,255
39,ターゲットサイト,255,255,255,128
40,半透明文字プレート（明）,30,28,23,100
41,半透明文字プレート（暗）,10,8,5,100
42,ボタンプレート,0,0,0,180
43,オプションライン,40,36,33,255
44,選択項目プレート（明）,255,255,255,255
45,選択項目プレート（暗）,200,200,200,255
46,選択項目プレート（決定ボタン）,255,255,225,255
47,半透明グラデーションプレート（ボタン）,0,0,0,200
48,大プレート（暗）,200,200,200,255
49,フレーム（暗）,200,200,200,255
50,スキルslot,200,200,200,170
51,スペルslot,255,255,255,170
52,白,255,255,255,255
53,通常テキスト_黒,20,10,0,255
36908,タイトル-顔作成用髪色08,255,255,255,255
36909,タイトル-顔作成用髪色09,130,100,130,255
36910,タイトル-顔作成用髪色10,250,100,60,255
37908,タイトル顔作成用瞳色08,255,255,255,255
37909,タイトル顔作成用瞳色09,130,100,130,255
37910,タイトル顔作成用瞳色10,250,100,60,255
60,FE人間性数値　亡者時グレーアウト用,80,80,80,255
61,テストカラー11,0,255,0,255
62,テストカラー12,0,255,0,255
63,テストカラー13,0,255,0,255
64,テストカラー14,0,255,0,255
65,テキストカラー　青,0,75,255,255
66,テキストカラー　赤,180,0,0,255
36901,タイトル-顔作成用髪色01,60,60,50,255
36902,タイトル-顔作成用髪色02,110,90,50,255
36903,タイトル-顔作成用髪色03,160,130,80,255
36904,タイトル-顔作成用髪色04,190,100,60,255
36905,タイトル-顔作成用髪色05,90,100,120,255
36906,タイトル-顔作成用髪色06,160,160,170,255
36907,タイトル-顔作成用髪色07,250,210,130,255
37901,タイトル顔作成用瞳色01,60,60,50,255
37902,タイトル顔作成用瞳色02,110,90,50,255
37903,タイトル顔作成用瞳色03,160,130,80,255
37904,タイトル顔作成用瞳色04,190,100,60,255
37905,タイトル顔作成用瞳色05,90,100,120,255
37906,タイトル顔作成用瞳色06,160,160,170,255
37907,タイトル顔作成用瞳色07,250,210,130,255
