#MenuOffscrRendParam=MENU_OFFSCR_REND_PARAM_ST
ID,Name,MenuContent0 Y - MenuContent0 Y - f32,MenuContent0 X - MenuContent0 X - f32,MenuContent0 Distance - MenuContent0 Distance - f32,MenuContent1 Y - MenuContent1 Y - f32,MenuContent1 X - MenuContent1 X - f32,MenuContent1 Reverse X - MenuContent1 Reverse X - f32,MenuContent1 Distance - MenuContent1 Distance - f32,pad1 - pad1 - dummy8,screenRendId - screenRendId - s32,pad2 - pad2 - dummy8
0,,0,0.85,0,2.66,17.189,-8.594,40,-,11,-
1,,0,1.55,-0.09,1.2,10.313,-13.751,16.5,-,10,-
2,,0,0.85,0,2.66,17.189,-8.594,40,-,11,-
3,,0,0.85,0,2.66,17.189,-8.594,40,-,11,-
10,,0,1.58,0,1.2,1.719,-14.85,15,-,10,-
11,,-0.015,1.54,0,1.1,1.719,-14.85,15,-,15,-
12,,0,1.56,-0.07,1.48,2.6,-23,10,-,13,-
13,,0,1.58,0,1.2,1.719,-14.85,15,-,10,-
14,,0,1.58,0,1.1,1.719,-14.85,15,-,15,-
15,,0,1.59,0,1.39,2.6,-23.34,12,-,12,-
20,,-0.017,1.55,0,1.6,1.719,-13.751,8,-,14,-
