#MenuPropertyLayoutParam=MENUPROPERTY_LAYOUT
ID,Name,LayoutPath - LayoutPath - fixstr,PropertyId [MENU_PROPERTY_ID] - PropertyId [MENU_PROPERTY_ID] - s32,captionTextId - captionTextId - s32,HelpTextId - HelpTextId - s32,pad1 - pad1 - dummy8
0,,,0,0,0,-
1000,,Title,100,0,0,-
1001,,TopItem_0,200,0,31360,-
1002,,TopItem_1,110,0,31004,-
1003,,TopItem_1_plus,111,0,0,-
1004,,TopItem_2,112,0,31005,-
1005,,TopItem_2_plus,113,0,0,-
1006,,TopItem_3,0,0,0,-
1007,,L_Item_0,101,0,0,-
1008,,Item_10,201,0,31314,-
1009,,Item_11,202,0,31315,-
1010,,Item_12,203,0,31316,-
1011,,Item_13,204,0,31317,-
1012,,StatusTitle_0,0,20006,0,-
1013,,StatusTitle_1,0,20003,0,-
1014,,,0,0,0,-
1100,,Title,100,0,0,-
1101,,TopItem_0,0,0,0,-
1102,,TopItem_1,0,0,0,-
1103,,TopItem_1_plus,0,0,0,-
1104,,TopItem_2,0,0,0,-
1105,,TopItem_2_plus,0,0,0,-
1106,,TopItem_3,103,0,31351,-
1107,,L_Item_0,101,0,0,-
1108,,Item_10,0,0,0,-
1109,,Item_11,0,0,0,-
1110,,Item_12,0,0,0,-
1111,,Item_13,0,0,0,-
1112,,StatusTitle_0,0,20006,0,-
1113,,StatusTitle_1,0,0,0,-
1114,,,0,0,0,-
1200,,Title,100,0,0,-
1201,,TopItem_0,0,0,0,-
1202,,TopItem_1,0,0,0,-
1203,,TopItem_1_plus,0,0,0,-
1204,,TopItem_2,0,0,0,-
1205,,TopItem_2_plus,0,0,0,-
1206,,TopItem_3,0,0,0,-
1207,,L_Item_0,101,0,0,-
1208,,Item_10,0,0,0,-
1209,,Item_11,0,0,0,-
1210,,Item_12,0,0,0,-
1211,,Item_13,0,0,0,-
1212,,StatusTitle_0,0,20006,0,-
1213,,StatusTitle_1,0,0,0,-
1214,,,0,0,0,-
1500,,Title,100,0,0,-
1501,,TopItem_0,0,0,0,-
1502,,TopItem_1,110,0,31004,-
1503,,TopItem_1_plus,111,0,0,-
1504,,TopItem_2,112,0,31005,-
1505,,TopItem_2_plus,113,0,0,-
1506,,TopItem_3,0,0,0,-
1507,,L_Item_0,101,0,0,-
1508,,Item_10,0,0,0,-
1509,,Item_11,0,0,0,-
1510,,Item_12,0,0,0,-
1511,,Item_13,0,0,0,-
1512,,StatusTitle_0,0,20006,0,-
1513,,StatusTitle_1,0,0,0,-
1514,,,0,0,0,-
2000,,Title,100,0,0,-
2001,,TopItem_0,300,0,31001,-
2002,,TopItem_1,301,0,31003,-
2003,,TopItem_2,302,0,31006,-
2004,,TopItem_3,391,0,31034,-
2005,,TopItem_3_0,391,0,31034,-
2006,,TopItem_3_1,392,0,0,-
2007,,TopItem_3_2,393,0,0,-
2008,,TopItem_4,103,0,31351,-
2009,,TopItem_5,380,0,31350,-
2010,,TopItem_5_plus,381,0,0,-
2011,,L_Item_00,310,0,31010,-
2012,,L_Item_01,311,0,31011,-
2013,,L_Item_02,312,0,31012,-
2014,,L_Item_03,313,0,31013,-
2015,,L_Item_04,314,0,31014,-
2016,,L_Item_05,322,0,31030,-
2017,,L_Item_06a,320,0,31032,-
2018,,L_Item_06b,321,0,31033,-
2019,,L_Item_00_plus,315,0,0,-
2020,,L_Item_01_plus,316,0,0,-
2021,,L_Item_02_plus,317,0,0,-
2022,,L_Item_03_plus,318,0,0,-
2023,,L_Item_04_plus,319,0,0,-
2024,,L_Item_05_plus,0,0,0,-
2025,,L_Item_06a_plus,0,0,0,-
2026,,L_Item_06b_plus,0,0,0,-
2027,,R_Item_00,340,0,31020,-
2028,,R_Item_01,341,0,31021,-
2029,,R_Item_02,342,0,31022,-
2030,,R_Item_03,343,0,31023,-
2031,,R_Item_04,344,0,31024,-
2032,,R_Item_05,350,0,31031,-
2033,,R_Item_06,0,0,0,-
2034,,R_Item_00_plus,345,0,0,-
2035,,R_Item_01_plus,346,0,0,-
2036,,R_Item_02_plus,347,0,0,-
2037,,R_Item_03_plus,348,0,0,-
2038,,R_Item_04_plus,349,0,0,-
2039,,R_Item_05_plus,351,0,0,-
2040,,R_Item_06_plus,0,0,0,-
2041,,Item_10,331,0,31051,-
2042,,Item_11,330,0,31050,-
2043,,Item_12,334,0,31054,-
2044,,Item_13,0,0,0,-
2045,,Item_20,370,0,31310,-
2046,,Item_21,371,0,31311,-
2047,,Item_22,372,0,31312,-
2048,,Item_23,373,0,31313,-
2049,,Item_30,360,0,31300,-
2050,,Item_31,361,0,31301,-
2051,,Item_32,362,0,31302,-
2052,,Item_33,363,0,31303,-
2053,,Item_30_plus,365,0,0,-
2054,,Item_31_plus,366,0,0,-
2055,,Item_32_plus,367,0,0,-
2056,,Item_33_plus,368,0,0,-
2057,,StatusTitle_0,0,20000,0,-
2058,,StatusTitle_1,0,20001,0,-
2059,,StatusTitle_2,0,20004,0,-
2060,,StatusTitle_3,0,20003,0,-
2061,,StatusTitle_4,0,20002,0,-
2062,,,0,0,0,-
2300,,Title,100,0,0,-
2301,,TopItem_0,300,0,31001,-
2302,,TopItem_1,301,0,31003,-
