#MenuPropertySpecParam=MENUPROPERTY_SPEC
ID,Name,CaptionTextId - CaptionTextId - s32,IconId - IconId - s32,RequiredPropertyId - RequiredPropertyId - s32,CompareType - CompareType - u8,RequiredPropertyFormatId - RequiredPropertyFormatId - u8,AdhocCaption - AdhocCaption - fixstrW
0,,0,-1,0,0,0,
100,,0,-1,0,0,0,名前
101,,0,-1,0,0,0,説明
102,,0,-1,0,0,0,うんちく
103,,11351,9003,0,2,0,重量
110,,11004,9007,0,0,0,所持数
111,,0,9007,0,0,0,最大所持数
112,,11005,9008,0,0,0,倉庫所持数
113,,0,9008,0,0,0,最大倉庫所持数
120,,12000,8002,0,0,2,必要ソウル
121,,12010,8038,0,0,0,獲得ソウル
200,,11360,9033,0,0,90,使用タイプ
201,,11310,8009,0,1,100,能力補正 筋力
202,,11311,8010,0,1,100,能力補正 技量
203,,11312,8011,0,1,100,能力補正 理力
204,,11313,8012,0,1,100,能力補正 信仰
300,,11001,9000,0,0,120,武器種別
301,,11003,9001,0,0,2,攻撃属性
302,,11006,9031,0,1,2,戦技名
310,,11010,9009,0,1,0,物理攻撃力
311,,11011,9010,0,1,0,魔法攻撃力
312,,11012,9011,0,1,0,炎攻撃力
313,,11013,9012,0,1,0,雷攻撃力
314,,11014,9013,0,1,0,闇攻撃力
315,,0,-1,0,1,1,付加攻撃力：物理
316,,0,-1,0,1,1,付加攻撃力：魔法
317,,0,-1,0,1,1,付加攻撃力：炎
318,,0,-1,0,1,1,付加攻撃力：雷
319,,0,-1,0,1,1,付加攻撃力：闇
320,,11032,9016,0,1,0,射程距離
321,,11033,9015,0,1,0,魔法威力修正
322,,11030,9014,0,1,0,致命
330,,11050,8027,0,1,0,毒効果
331,,11051,8026,0,1,0,出血効果
332,,11052,-1,0,1,0,神聖効果
333,,11053,-1,0,1,0,邪教効果
334,,11054,8029,0,1,0,冷気効果
340,,11020,9017,0,1,2,カット率 物理
341,,11021,9018,0,1,2,カット率 魔法
342,,11022,9019,0,1,2,カット率 炎
343,,11023,9020,0,1,2,カット率 雷
344,,11024,9021,0,1,2,カット率 闇
345,,0,-1,0,1,10,付加カット率 物
346,,0,-1,0,1,10,付加カット率 魔
347,,0,-1,0,1,10,付加カット率 炎
348,,0,-1,0,1,10,付加カット率 雷
