#MenuTutorialParam=MENU_TUTORIAL_PARAM_ST
ID,Name,Unk1 - Unk1 - s32,EventFlagId1 - EventFlagId1 - s32,EventFlagId2 - EventFlagId2 - s32,Header MessageId - Header MessageId - s32,MessageId - MessageId - s32,Unk2 - Unk2 - s32,pad1 - pad1 - dummy8
0,,-1,-1,-1,-1,-1,-1,-
1,,0,6050,6051,10025000,10025001,-1,-
2,,0,6052,6053,10025010,10025011,-1,-
3,,0,6054,6055,10025030,10025031,-1,-
4,,0,6056,6057,10025210,10025211,-1,-
5,,1,6058,6059,10025200,10025201,-1,-
6,,2,6062,6063,10025020,10025021,-1,-
7,,5,6074,6075,10025230,10025231,-1,-
8,,5,6076,6077,10025050,10025051,-1,-
9,,5,6078,6079,10025220,10025221,-1,-
10,,5,6080,6081,10025070,10025071,-1,-
11,,5,6084,6085,10025240,10025241,-1,-
12,,5,6086,6087,10025140,10025141,-1,-
13,,6,6090,6091,10025090,10025091,-1,-
14,,7,6092,6093,10025100,10025101,-1,-
15,,8,6094,6095,10025110,10025111,-1,-
16,,14,6064,6065,10025260,10025261,-1,-
17,,15,6032,6033,10025340,10025341,-1,-
18,,16,6034,6035,10025350,10025351,-1,-
19,,17,6036,6037,10025360,10025361,-1,-
20,,9,6038,6039,10025270,10025271,-1,-
21,,10,6040,6041,10025280,10025281,-1,-
22,,11,6040,6041,10025280,10025281,-1,-
23,,12,6040,6041,10025280,10025281,-1,-
24,,13,6042,6043,10025330,10025331,-1,-
25,,10,6044,6045,10025370,10025371,-1,-
26,,11,6046,6047,10025380,10025381,-1,-
27,,12,6048,6049,10025390,10025391,-1,-
28,,5,6068,6069,10025300,10025301,-1,-
29,,5,6070,6071,10025310,10025311,-1,-
30,,5,6072,6073,10025320,10025321,-1,-
