#ModelSfxParam=MODEL_SFX_PARAM_ST
ID,Name,VfxId1 - VfxId1 - s32,DummyPolyId1 - DummyPolyId1 - s32,pad1 - pad1 - dummy8,VfxId2 - VfxId2 - s32,DummyPolyId2 - DummyPolyId2 - s32,pad2 - pad2 - dummy8,VfxId3 - VfxId3 - s32,DummyPolyId3 - DummyPolyId3 - s32,pad3 - pad3 - dummy8,VfxId4 - VfxId4 - s32,DummyPolyId4 - DummyPolyId4 - s32,pad4 - pad4 - dummy8,VfxId5 - VfxId5 - s32,DummyPolyId5 - DummyPolyId5 - s32,pad5 - pad5 - dummy8,VfxId6 - VfxId6 - s32,DummyPolyId6 - DummyPolyId6 - s32,pad6 - pad6 - dummy8,VfxId7 - VfxId7 - s32,DummyPolyId7 - DummyPolyId7 - s32,pad7 - pad7 - dummy8,VfxId8 - VfxId8 - s32,DummyPolyId8 - DummyPolyId8 - s32,pad8 - pad8 - dummy8,VfxId9 - VfxId9 - s32,DummyPolyId9 - DummyPolyId9 - s32,pad9 - pad9 - dummy8,VfxId10 - VfxId10 - s32,DummyPolyId10 - DummyPolyId10 - s32,pad10 - pad10 - dummy8
0,,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
80000,,82,10,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
80010,,83,10,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1510000,,800050,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1230000,,800030,201,-,800030,211,-,800030,212,-,0,0,-,800030,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240000,,839010,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240001,,899999,200,-,34,202,-,34,210,-,0,0,-,34,212,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240002,,899999,210,-,34,211,-,34,212,-,0,0,-,34,213,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240010,,899998,200,-,48,201,-,48,202,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240011,,899998,200,-,48,202,-,48,210,-,0,0,-,48,212,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1240012,,800032,200,-,800038,202,-,800032,210,-,0,0,-,800032,212,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1230000,,899999,210,-,34,212,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
2120000,,899999,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
4660000,,800023,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
4661000,,800022,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
6000000,,800170,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
6500000,,800170,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1400000,,10,101,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1401000,,11,101,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
1402000,,12,101,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
106000000,,839531,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
106010000,,839531,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
106050000,,810180,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
106060000,,839531,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
106070000,,839531,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
106100000,,839531,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
106110000,,839531,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
106150000,,810181,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
107010000,,839531,200,-,800240,201,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
114910000,,811250,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
114940000,,839531,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115410000,,839531,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115420000,,839531,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115430000,,839531,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115800000,,810115,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115810000,,810115,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115820000,,810101,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115840000,,800150,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115840001,,811310,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115840002,,811311,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115840003,,811320,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115840004,,811321,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115890000,,811000,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115980000,,811260,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115981000,,811260,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
115990000,,800250,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
116000000,,839530,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
116010000,,839530,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
116060000,,800140,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
116070000,,800140,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
116100000,,839531,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
116100001,,839535,200,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
