#MultiPlayCorrectionParam=MULTI_PLAY_CORRECTION_PARAM_ST
ID,Name,CorrectionVal0 - CorrectionVal0 - s32,CorrectionVal1 - CorrectionVal1 - s32,CorrectionVal2 - CorrectionVal2 - s32,CorrectionVal3 - CorrectionVal3 - s32,pad1 - pad1 - dummy8
0,,10,20,30,1,-
10,,100,200,300,0,-
100,,140001,140002,140003,1,-
200,,140101,140102,140103,1,-
300,,140201,140202,140203,0,-
301,,140201,140202,140203,0,-
302,,140311,140312,140313,0,-
303,,140201,140202,140203,0,-
304,,140231,140232,140233,0,-
305,,140301,140302,140303,0,-
306,,140291,140292,140293,0,-
307,,140201,140202,140203,0,-
308,,140251,140252,140253,0,-
309,,140201,140202,140203,0,-
310,,140201,140202,140203,0,-
311,,140211,140212,140213,0,-
312,,140331,140332,140333,0,-
313,,140201,140202,140203,0,-
314,,140261,140262,140263,0,-
315,,140271,140272,140273,0,-
316,,140281,140282,140283,0,-
317,,140201,140202,140203,0,-
318,,140241,140242,140243,0,-
319,,140221,140222,140223,0,-
320,,140321,140322,140323,0,-
