#MultiSoulBonusRateParam=MULTI_SOUL_BONUS_RATE_PARAM_ST
ID,Name,soulMultiplierRate0 - soulMultiplierRate0 - f32,soulMultiplierRate1 - soulMultiplierRate1 - f32,soulMultiplierRate2 - soulMultiplierRate2 - f32,soulMultiplierRate3 - soulMultiplierRate3 - f32,soulMultiplierRate4 - soulMultiplierRate4 - f32,soulMultiplierRate5 - soulMultiplierRate5 - f32,soulMultiplierRate6 - soulMultiplierRate6 - f32,soulMultiplierRate7 - soulMultiplierRate7 - f32,soulMultiplierRate8 - soulMultiplierRate8 - f32,soulMultiplierRate9 - soulMultiplierRate9 - f32,soulMultiplierRate10 - soulMultiplierRate10 - f32,soulMultiplierRate11 - soulMultiplierRate11 - f32,soulMultiplierRate12 - soulMultiplierRate12 - f32,soulMultiplierRate13 - soulMultiplierRate13 - f32,soulMultiplierRate14 - soulMultiplierRate14 - f32,soulMultiplierRate15 - soulMultiplierRate15 - f32,pad1 - pad1 - dummy8
0,,0,0,0,0.02,0.02,0.02,0.02,0.15,0.15,0.15,0,0,0.1,0.1,0,0,-
1000,,0,0,0,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0,0,0.05,0.05,0,0,-
1100,,0,0,0,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0,0,0.05,0.05,0,0,-
1200,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,-
2000,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,-
2100,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,-
2200,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,-
3000,,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0,0,-
3100,,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0,0,-
3200,,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0,0,-
4000,,0,0,0,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0,0,0.05,0.05,0,0,-
4100,,0,0,0,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0,0,0.05,0.05,0,0,-
5000,,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0,0,0,0,-
5100,,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0,0,0,0,-
