#NetworkAreaParam=NETWORK_AREA_PARAM_ST
ID,Name,LimitationTime0 - LimitationTime0 - f32,LimitationTime1 - LimitationTime1 - f32,LimitationTime2 - LimitationTime2 - f32,pad1 - pad1 - dummy8,isEnable00 - isEnable00 - u8,isEnable01 - isEnable01 - u8,isEnable02 - isEnable02 - u8,unkb1 - unkb1 - u8,unkb2 - unkb2 - u8,unkb3 - unkb3 - u8,unkb4 - unkb4 - u8,unkb5 - unkb5 - u8,pad2 - pad2 - dummy8
0,,30,20,30,-,0,0,0,0,0,0,0,0,-
300000,,30,20,30,-,1,1,1,1,1,1,0,0,-
301000,,30,20,30,-,1,1,1,1,1,1,0,0,-
310000,,30,20,30,-,1,1,1,1,1,1,0,0,-
320000,,30,20,30,-,1,1,1,1,1,1,0,0,-
330000,,30,20,30,-,1,1,1,1,1,1,0,0,-
341000,,30,20,30,-,1,1,1,1,1,1,0,0,-
350000,,30,20,30,-,1,1,1,1,1,1,0,0,-
370000,,30,20,30,-,1,1,1,1,1,1,0,0,-
307000,,30,20,30,-,1,1,1,1,1,1,0,0,-
380000,,30,20,30,-,1,1,1,1,1,1,0,0,-
390000,,30,20,30,-,1,1,1,1,1,1,0,0,-
400000,,30,20,30,-,1,1,1,1,1,1,0,0,-
410000,,30,20,30,-,1,1,1,1,1,1,0,0,-
981000,,30,20,30,-,1,1,1,1,1,1,0,0,-
991000,,30,20,30,-,1,1,1,1,1,1,0,0,-
