#NewMenuColorTableParam=MENU_PARAM_COLOR_TABLE_ST
ID,Name,R - R - u8,G - G - u8,B - B - u8,A - A - u8
0,,255,0,0,255
1,,200,0,0,255
2,,155,0,0,255
3,,100,0,0,255
4,,55,0,0,255
5,,0,255,0,255
6,,0,200,0,255
7,,0,155,0,255
8,,0,100,0,255
9,,0,55,0,255
10,,0,0,255,255
11,,0,0,200,255
12,,0,0,155,255
13,,0,0,100,255
14,,0,0,55,255
15,,128,128,128,255
100,,120,110,103,255
101,,130,120,113,255
102,,140,130,123,255
103,,150,140,133,255
104,,140,125,115,255
105,,145,130,120,255
106,,150,135,125,255
107,,155,140,130,255
108,,160,145,135,255
109,,90,87,83,255
110,,101,93,86,255
111,,112,100,90,255
112,,117,105,95,255
113,,122,110,100,255
114,,127,115,100,255
115,,134,120,105,255
116,,140,125,110,255
117,,145,130,115,255
118,,150,135,120,255
119,,128,108,93,255
120,,138,118,103,255
121,,148,128,113,255
122,,158,138,123,255
123,,168,148,133,255
124,,120,100,93,255
125,,130,110,103,255
126,,140,120,113,255
127,,150,130,123,255
128,,160,140,133,255
200,,140,50,70,255
201,,155,130,50,255
202,,50,110,100,255
203,,80,100,180,255
204,,40,30,10,255
205,,53,38,17,255
206,,67,45,23,255
207,,81,52,29,255
208,,95,60,35,255
209,,110,68,42,255
210,,125,75,48,255
211,,134,80,53,255
212,,142,85,57,255
213,,150,90,60,255
214,,10,30,40,255
215,,17,37,55,255
216,,23,45,67,255
217,,29,53,82,255
218,,35,60,95,255
219,,0,0,0,255
220,,25,25,25,255
221,,37,37,37,255
222,,55,55,55,255
223,,75,75,75,255
224,,90,90,90,255
225,,110,110,110,255
226,,130,130,130,255
227,,150,150,150,255
228,,200,200,200,255
300,,10,10,10,255
301,,20,20,20,255
302,,35,35,35,255
303,,50,50,50,255
304,,75,75,75,255
305,,100,100,100,255
306,,120,120,120,255
307,,150,150,150,255
308,,170,170,170,255
309,,25,10,3,255
310,,30,12,4,255
311,,35,15,5,255
312,,45,20,8,255
313,,55,25,10,255
314,,65,35,18,255
315,,75,45,25,255
316,,85,50,30,255
317,,95,55,35,255
318,,100,60,40,255
319,,120,90,40,255
320,,124,95,50,255
321,,128,103,55,255
322,,132,108,63,255
323,,135,115,70,255
324,,138,122,77,255
325,,143,128,85,255
326,,146,132,90,255
327,,147,137,95,255
328,,150,140,100,255
500,,15,15,15,255
501,,30,30,30,255
502,,50,50,50,255
503,,70,70,70,255
504,,25,10,3,255
505,,30,12,4,255
506,,35,15,5,255
507,,45,20,8,255
508,,55,25,10,255
509,,65,35,18,255
510,,75,45,25,255
511,,83,50,30,255
512,,91,55,35,255
513,,100,60,40,255
514,,120,90,40,255
515,,124,96,48,255
516,,128,103,55,255
517,,132,109,62,255
518,,135,115,70,255
519,,139,121,77,255
520,,143,128,85,255
521,,146,132,90,255
522,,148,137,95,255
523,,150,140,100,255
524,,100,10,10,255
525,,10,10,100,255
526,,50,10,50,255
527,,100,100,10,255
528,,10,100,100,255
