#NpcThinkParam=NPC_THINK_PARAM_ST
ID,Name,logicId - logicId - s32,battleGoalId - battleGoalId - s32,nearDist - nearDist - f32,midDist - midDist - f32,farDist - farDist - f32,OutDist - OutDist - f32,BackHomeLife_OnHitEneWal - BackHomeLife_OnHitEneWal - f32,goalID_ToCaution - goalID_ToCaution - f32,idAttackCannotMove - idAttackCannotMove - s32,goalID_toFind - goalID_toFind - f32,callHelp_ActionAnimId - callHelp_ActionAnimId - s32,callHelp_CallActionId - callHelp_CallActionId - s32,eye_dist - eye_dist - s16,ear_dist - ear_dist - s16,ear_soundcutDist - ear_soundcutDist - s16,nose_dist - nose_dist - s16,maxBackhomeDist - maxBackhomeDist - s16,backhomeDist - backhomeDist - s16,backhomeBattleDist - backhomeBattleDist - s16,nonBattleActLife - nonBattleActLife - s16,BackHome_LookTargetTime - BackHome_LookTargetTime - s16,BackHome_LookTargetDist - BackHome_LookTargetDist - s16,SightTargetForgetTime - SightTargetForgetTime - s16,SoundTargetForgetTime - SoundTargetForgetTime - s16,BattleStartDist - BattleStartDist - s16,callHelp_MyPeerId - callHelp_MyPeerId - s16,callHelp_CallPeerId - callHelp_CallPeerId - s16,targetSys_DmgEffectRate - targetSys_DmgEffectRate - s16,teamAttackEffectivity - teamAttackEffectivity - u8,eye_angX - eye_angX - u8,eye_angY - eye_angY - u8,State0 - State0 - u8,State1 - State1 - u8,callHelp_CallValidMinDistTarget - callHelp_CallValidMinDistTarget - u8,callHelp_CallValidRange - callHelp_CallValidRange - u8,callHelp_ForgetTimeByArrival - callHelp_ForgetTimeByArrival - u8,callHelp_MinWaitTime - callHelp_MinWaitTime - u8,callHelp_MaxWaitTime - callHelp_MaxWaitTime - u8,goalAction_ToCaution - goalAction_ToCaution - u8,goalAction_ToFind - goalAction_ToFind - u8,callHelp_ReplyBehaviorType - callHelp_ReplyBehaviorType - u8,disablePathMove - disablePathMove - u8,skipArrivalVisibleCheck - skipArrivalVisibleCheck - u8,thinkAttrDoAdmirer - thinkAttrDoAdmirer - u8,enableNaviFlg_Edge - enableNaviFlg_Edge - u8,enableNaviFlg_LargeSpace - enableNaviFlg_LargeSpace - u8,enableNaviFlg_Ladder - enableNaviFlg_Ladder - u8,enableNaviFlg_Hole - enableNaviFlg_Hole - u8,enableNaviFlg_Door - enableNaviFlg_Door - u8,enableNaviFlg_InSideWall - enableNaviFlg_InSideWall - u8,enableNaviFlg_EdgeOrdinary - enableNaviFlg_EdgeOrdinary - u8,enableNaviFlg_reserve0 - enableNaviFlg_reserve0 - u8,enableNaviFlagReserve - enableNaviFlagReserve - dummy8,eyeDist_ForDark - eyeDist_ForDark - s16,battleStartDist_forDark - battleStartDist_forDark - s16,eyeDist_ForPitchDark - eyeDist_ForPitchDark - s16,battleStartDist_forPitchDark - battleStartDist_forPitchDark - s16,platoonReplyTime - platoonReplyTime - f32,platoonReplyAddRandomTime - platoonReplyAddRandomTime - f32,eye_BackOffsetDist - eye_BackOffsetDist - s16,eye_BeginDist - eye_BeginDist - s16,targetArriveDist - targetArriveDist - f32,pointArriveDist - pointArriveDist - f32,changeStateAction_ToFind - changeStateAction_ToFind - u8,changeStateAction_ToCaution - changeStateAction_ToCaution - u8,changeStateAction_ToBattle - changeStateAction_ToBattle - u8,goalAction_ToDisappear - goalAction_ToDisappear - u8,disableLocalSteering - disableLocalSteering - u8,actTypeOnFailedPath - actTypeOnFailedPath - u8,interestCategory - interestCategory - u8,goalAction_ToInterest - goalAction_ToInterest - u8,Unk1 - Unk1 - s16,ear_angX - ear_angX - s16,ear_angY - ear_angY - s16,changeStateAction_ToInterest - changeStateAction_ToInterest - u8,changeStateAction_ToNormal - changeStateAction_ToNormal - u8,Unk2 - Unk2 - f32,Unk3 - Unk3 - f32,Unk4 - Unk4 - s16,Unk5 - Unk5 - u8,Unk6 - Unk6 - u8,Unk7 - Unk7 - f32,pad - pad - dummy8
0,,10000,11000,0.011474628,2.1608E-41,0,150,0,7,3000,0.1,-1,-1,20,0,0,0,75,50,15,5,20,20,0,17174,20,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,00-00-00,15420,15420,0,0,0,0,20,15420,2.1608E-41,0,0,0,22,67,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,-
1,,11000,11000,0.011474637,2.1608E-41,0,150,0,7,0,0.1,0,0,30,0,0,0,9999,9998,6,5,20,20,0,17174,20,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,00-00-00,15420,15420,0,0,0,0,30,15420,2.1608E-41,0,0,0,22,67,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,-
2,,10000,11000,0.011474628,2.1608E-41,0,150,5,7,3000,0.1,0,0,20,0,0,0,75,50,6,5,20,20,0,17174,20,0,0,100,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,00-00-00,15420,15420,0,0,0,0,20,15420,2.1608E-41,0,0,0,22,67,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,-
3,,11001,11000,0,0,0,150,0,7,0,0,0,0,0,0,0,0,9999,9998,6,5,20,20,0,17174,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,00-00-00,0,0,0,0,0,0,0,0,0,0,0,0,22,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-
10,,10000,901010,8.364491E-21,2.1608E-41,0,150,0,7,3000,0.1,0,0,50,0,0,0,9999,9998,9999,5,20,20,0,17174,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,00-00-00,7710,15420,0,0,0,0,50,7710,2.1608E-41,0,0,0,22,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,-
11,,10000,901010,8.364491E-21,2.1608E-41,0,150,0,7,3000,0.1,0,0,50,0,0,0,9999,9998,9999,5,20,20,0,17174,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,00-00-00,7710,15420,0,0,0,0,50,7710,2.1608E-41,0,0,0,22,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,-
50,,10000,10000,0.011474628,2.1608E-41,0,150,5,7,3000,0.1,0,0,20,0,0,0,75,50,6,5,20,20,0,17174,20,0,0,100,25,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,00-00-00,15420,15420,0,0,0,0,20,15420,2.1608E-41,0,0,0,22,67,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,-
100,,1540,14000,0.011474628,2.1608E-41,0,150,5,7,3000,0.1,0,0,20,0,0,0,75,50,6,5,20,20,0,17174,20,0,0,100,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,00-00-00,15420,15420,0,0,0,0,20,15420,2.1608E-41,0,0,0,22,67,0,0,0,0,0,0,0,0,2,0,0,256,0,0,5,-
540,,1540,14000,0.011474628,2.1608E-41,0,150,5,7,3000,0.1,0,0,20,0,0,0,75,50,6,5,20,20,0,17174,20,0,0,100,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,00-00-00,15420,15420,0,0,0,0,20,15420,2.1608E-41,0,0,0,22,67,0,0,0,0,0,0,0,0,2,0,0,256,0,0,5,-
541,,1541,14000,0.011474628,2.1608E-41,0,150,5,7,3000,0.1,0,0,20,0,0,0,75,50,6,5,20,20,0,17174,20,0,0,100,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,00-00-00,15420,15420,0,0,0,0,20,15420,2.1608E-41,0,0,0,22,67,0,0,0,0,0,0,0,0,2,0,0,256,0,0,5,-
