#ObjActParam=OBJ_ACT_PARAM_ST
ID,Name,actionEnableMsgId - actionEnableMsgId - s32,actionFailedMsgId - actionFailedMsgId - s32,spQualifiedPassEventFlag - spQualifiedPassEventFlag - s32,playerAnimId - playerAnimId - s32,chrAnimId - chrAnimId - s32,validDist - validDist - s16,spQualifiedId - spQualifiedId - s16,spQualifiedId2 - spQualifiedId2 - s16,ObjDummyId - ObjDummyId - u8,pad1 - pad1 - dummy8,ObjAnimId - ObjAnimId - s32,ValidPlayerAngle - ValidPlayerAngle - u8,spQualifiedType - spQualifiedType - u8,spQualifiedType2 - spQualifiedType2 - u8,ValidObjAngle - ValidObjAngle - u8,ChrSorbType - ChrSorbType - u8,eventKickTiming - eventKickTiming - u8,pad2 - pad2 - dummy8,actionButtonParamId - actionButtonParamId - s32,actionSuccessMsgId - actionSuccessMsgId - s32
0,,10010500,-1,-1,60200,7100,150,0,0,191,-,1,60,0,0,30,0,0,-,-1,0
110,,10010400,-1,-1,60080,7521,70,0,0,100,-,0,60,0,0,60,1,1,-,-1,0
200,,10010400,-1,-1,60080,7521,70,0,0,100,-,1,60,0,0,60,1,1,-,-1,0
350,,10010400,-1,-1,60030,7120,70,0,0,121,-,3,60,0,0,60,0,1,-,-1,0
351,,10010400,-1,-1,60030,7120,70,0,0,101,-,1,60,0,0,60,0,1,-,-1,0
360,,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
370,,10010400,-1,-1,60040,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
371,,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
475,,10010400,-1,-1,60000,7110,60,0,0,100,-,0,60,0,0,60,0,1,-,7100,0
1011,,10010400,10010163,-1,60000,7110,70,2001,0,100,-,0,60,1,0,30,0,1,-,-1,0
1012,,10010400,10010163,-1,60000,7110,70,2018,0,100,-,0,60,2,0,30,0,1,-,-1,0
300300,,10010400,10010161,-1,60020,7121,70,4150,0,100,-,1,60,2,0,60,0,1,-,7100,0
300301,,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
300310,,10010400,10010161,-1,60000,7110,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
300311,,10010400,10010163,-1,60000,14000,70,2001,0,100,-,0,60,1,0,60,0,1,-,7200,0
300312,,10010400,10010161,-1,60000,14000,70,0,0,100,-,0,60,0,0,60,0,1,-,7100,0
300313,,10010400,10010163,-1,60000,14000,70,2010,0,100,-,0,60,1,0,60,0,1,-,7200,0
300320,,10010400,10010161,-1,60020,7121,70,4150,0,100,-,1,60,2,0,60,0,1,-,7100,0
300330,,10010400,-1,-1,60170,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
300370,,10010400,-1,-1,60040,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
300371,,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
300500,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
300510,,10010400,-1,-1,60202,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8310,0
302420,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
304873,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
304874,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
310300,,10010400,10010163,-1,60000,14000,70,2009,4150,100,-,0,60,1,2,60,0,1,-,7200,0
310301,,10010400,10010161,-1,60000,7120,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
310302,,10010400,-1,-1,60000,7120,70,0,0,100,-,0,60,0,0,60,0,1,-,7100,0
310310,,10010400,10010161,-1,60000,7110,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
310311,,10010400,-1,-1,60000,7110,70,0,0,100,-,0,60,0,0,60,0,1,-,7100,0
310320,,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
310500,,10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
312100,,10010400,-1,-1,60000,7110,70,0,0,100,-,0,60,0,0,60,0,1,-,7200,0
314027,,10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
314028,,10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
324012,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8340,0
324051,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
329250,,10010400,10010163,-1,60420,14000,70,2003,0,120,-,0,60,1,0,60,0,1,-,7200,0
330052,,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
331312,,10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
331321,,10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7100,0
332100,,10010400,10010161,-1,60000,7110,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
340320,,10010400,10010161,-1,60020,7121,70,4150,0,100,-,1,60,2,0,60,0,1,-,7100,0
340330,,10010400,10010163,-1,60030,7120,70,2014,0,120,-,1,60,1,0,60,0,1,-,7100,0
341020,,10010400,-1,-1,60410,14021,70,0,0,0,-,0,60,0,0,60,0,1,-,3411000,0
342100,,10010400,-1,-1,60410,14021,70,0,0,0,-,0,60,0,0,60,0,1,-,3411000,0
342200,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
350003,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
350005,,10010400,-1,-1,60190,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
350021,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
350022,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
350023,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
350206,,10010400,-1,-1,60190,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
350300,,10010400,10010161,-1,60000,7110,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
351000,,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
360320,,10010400,-1,-1,60030,7120,70,0,0,121,-,1,60,0,0,60,0,1,-,7101,0
360330,,10010400,-1,-1,60030,7120,70,0,0,121,-,1,60,0,0,60,0,1,-,7101,0
370301,,10010400,10010161,-1,60000,7121,70,4150,0,100,-,0,60,2,0,60,0,1,-,7200,0
370302,,10010400,10010161,-1,60000,7121,70,4150,0,100,-,0,60,2,0,60,0,1,-,7100,0
370303,,10010400,-1,-1,60160,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
370502,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
370508,,10010400,-1,-1,60200,8000,70,0,0,191,-,1,60,0,0,60,0,1,-,8300,0
381060,,10010400,-1,-1,60400,7120,70,0,0,120,-,0,60,0,0,60,0,1,-,7200,0
381080,,10010400,-1,-1,60200,14021,70,0,0,191,-,1,60,0,0,60,0,1,-,8320,0
382002,,10010400,-1,-1,60030,7120,70,0,0,120,-,1,60,0,0,60,0,1,-,7200,0
