#PlayRegionParam=PLAY_REGION_PARAM_ST
ID,Name,playRegionSpId - playRegionSpId - s32,EventFlagId0 - EventFlagId0 - s32,LimitationTime - LimitationTime - f32,EventFlagId1 - EventFlagId1 - s32,EventFlagId2 - EventFlagId2 - s32,DisolvedEventFlag - DisolvedEventFlag - s16,LoadOfCinder [ON_OFF] - LoadOfCinder [ON_OFF] - u8,IsEnableEvent - IsEnableEvent - u8,Unk1 - Unk1 - u8,Unk2 - Unk2 - u8,Unk3 - Unk3 - u8,Unk4 - Unk4 - u8,Unk5 - Unk5 - u8,Unk6 - Unk6 - u8,Unk7 - Unk7 - u8,BonfireEventId0 - BonfireEventId0 - s32,BonfireEventId1 - BonfireEventId1 - s32,BonfireEventId2 - BonfireEventId2 - s32,BonfireEventId3 - BonfireEventId3 - s32,BonfireEventId4 - BonfireEventId4 - s32,BonfireEventId5 - BonfireEventId5 - s32,BonfireEventId6 - BonfireEventId6 - s32,BonfireEventId7 - BonfireEventId7 - s32,BonfireEventId8 - BonfireEventId8 - s32,BonfireEventId9 - BonfireEventId9 - s32,Unk8 - Unk8 - u8,Unk9 - Unk9 - u8,Unk10 - Unk10 - u8,Unk11 - Unk11 - u8,Unk12 - Unk12 - u8,Unk13 - Unk13 - u8,Unk14 - Unk14 - u8,Unk15 - Unk15 - u8,pad1 - pad1 - dummy8
0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-
100090,,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
100091,,0,0,0,-1,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
100092,,0,0,0,11000899,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
100093,,0,0,0,11000555,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
100094,,0,0,0,11000330,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
100095,,0,0,0,11000566,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
110090,,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
110091,,0,0,0,-1,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
110092,,0,0,0,11100899,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
110093,,0,0,0,9301,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
110094,,0,0,0,11100850,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
110095,,0,0,0,11100300,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
110096,,0,0,0,11100310,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
110097,,0,0,0,11100130,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
110098,,0,0,0,11100330,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
111090,,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
111091,,0,0,0,-1,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
111092,,0,0,0,11110899,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
111093,,0,0,0,11110440,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
111094,,0,0,0,11110151,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
111095,,0,0,0,11110152,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
111096,,0,0,0,11110153,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
111097,,0,0,0,11110154,0,180,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,-
