#RagdollParam=RAGDOLL_PARAM_ST
ID,Name,hierarchGain - hierarchGain - f32,velocityDamping - velocityDamping - f32,accelGain - accelGain - f32,velocityGain - velocityGain - f32,positionGain - positionGain - f32,maxLinerVelocity - maxLinerVelocity - f32,maxAngularVelocity - maxAngularVelocity - f32,snapGain - snapGain - f32,enable - enable - u8,partsHitMaskNo - partsHitMaskNo - s8,pad1 - pad1 - dummy8
0,,0,1,1,1,1,10,10,1,0,-1,-
1,,0.17,0,1,0.6,0.05,1.4,1.8,0.1,0,-1,-
1000,,0,0,0,0,0,0,0,0,1,0,-
1001,,0,0,0,0,0,0,0,0,1,1,-
1002,,0,0,0,0,0,0,0,0,1,2,-
1003,,0,0,0,0,0,0,0,0,1,3,-
1004,,0,0,0,0,0,0,0,0,1,4,-
1005,,0,0,0,0,0,0,0,0,1,5,-
1100,,0,0,0,0,0,0,0,0,0,0,-
1101,,0,0,0,0,0,0,0,0,0,1,-
1102,,0,0,0,0,0,0,0,0,0,2,-
1103,,0,0,0,0,0,0,0,0,0,3,-
1200,,0,0,0,0,0,0,0,0,1,0,-
1201,,0,0,0,0,0,0,0,0,1,1,-
1202,,0,0,0,0,0,0,0,0,1,2,-
1203,,0,0,0,0,0,0,0,0,1,3,-
1300,,0,0,0,0,0,0,0,0,1,0,-
1301,,0,0,0,0,0,0,0,0,1,1,-
1302,,0,0,0,0,0,0,0,0,1,2,-
1303,,0,0,0,0,0,0,0,0,1,3,-
1304,,0,0,0,0,0,0,0,0,1,4,-
1400,,0,0,0,0,0,0,0,0,1,0,-
1401,,0,0,0,0,0,0,0,0,1,1,-
1402,,0,0,0,0,0,0,0,0,1,2,-
1500,,0,0,0,0,0,0,0,0,1,0,-
1600,,0,0,0,0,0,0,0,0,1,0,-
9999,,0,0,0,0,0,0,0,0,0,0,-
