#ReinforceParamWeapon=REINFORCE_PARAM_WEAPON_ST
ID,Name,physicsAtkRate - physicsAtkRate - f32,magicAtkRate - magicAtkRate - f32,fireAtkRate - fireAtkRate - f32,thunderAtkRate - thunderAtkRate - f32,staminaAtkRate - staminaAtkRate - f32,saWeaponAtkRate - saWeaponAtkRate - f32,saDurabilityRate - saDurabilityRate - f32,correctStrengthRate - correctStrengthRate - f32,correctAgilityRate - correctAgilityRate - f32,correctMagicRate - correctMagicRate - f32,correctFaithRate - correctFaithRate - f32,physicsGuardCutRate - physicsGuardCutRate - f32,magicGuardCutRate - magicGuardCutRate - f32,fireGuardCutRate - fireGuardCutRate - f32,thunderGuardCutRate - thunderGuardCutRate - f32,poisonGuardResistRate - poisonGuardResistRate - f32,toxicGuardResistRate - toxicGuardResistRate - f32,bleedGuardResistRate - bleedGuardResistRate - f32,curseGuardResistRate - curseGuardResistRate - f32,staminaGuardResistRate - staminaGuardResistRate - f32,spEffectId1 - spEffectId1 - u8,spEffectId2 - spEffectId2 - u8,spEffectId3 - spEffectId3 - u8,ResidentSpEffectId1 - ResidentSpEffectId1 - u8,ResidentSpEffectId2 - ResidentSpEffectId2 - u8,ResidentSpEffectId3 - ResidentSpEffectId3 - u8,materialSetId - materialSetId - u8,pad1 - pad1 - dummy8,darkAtkRate - darkAtkRate - f32,darkCutRate - darkCutRate - f32,StabilityAtkRate - StabilityAtkRate - f32,StabilityCutRate - StabilityCutRate - f32,frostGuardResistRate - frostGuardResistRate - f32,unk1 - unk1 - f32,pad2 - pad2 - dummy8
0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
100,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
101,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
102,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
103,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
104,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
105,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
106,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
107,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
108,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,1,1,1,1,1,1,-
