#ResourceItemLotParam=RESOURCEITEMLOT_PARAM_ST
ID,Name,getItemFlagId - getItemFlagId - s32,lotItemId01 - lotItemId01 - s32,lotItemId02 - lotItemId02 - s32,lotItemId03 - lotItemId03 - s32,lotItemId04 - lotItemId04 - s32,lotItemId05 - lotItemId05 - s32,lotItemId06 - lotItemId06 - s32,lotItemId07 - lotItemId07 - s32,lotItemId08 - lotItemId08 - s32,MethodType - MethodType - u8,pad1 - pad1 - dummy8,lotItemBasePoint01 - lotItemBasePoint01 - u16,lotItemBasePoint02 - lotItemBasePoint02 - u16,lotItemBasePoint03 - lotItemBasePoint03 - u16,lotItemBasePoint04 - lotItemBasePoint04 - u16,lotItemBasePoint05 - lotItemBasePoint05 - u16,lotItemBasePoint06 - lotItemBasePoint06 - u16,lotItemBasePoint07 - lotItemBasePoint07 - u16,lotItemBasePoint08 - lotItemBasePoint08 - u16,lotItemNum01 - lotItemNum01 - u16,lotItemNum02 - lotItemNum02 - u16,lotItemNum03 - lotItemNum03 - u16,lotItemNum04 - lotItemNum04 - u16,lotItemNum05 - lotItemNum05 - u16,lotItemNum06 - lotItemNum06 - u16,lotItemNum07 - lotItemNum07 - u16,lotItemNum08 - lotItemNum08 - u16,enableLuck01 - enableLuck01 - u8,enableLuck02 - enableLuck02 - u8,enableLuck03 - enableLuck03 - u8,enableLuck04 - enableLuck04 - u8,enableLuck05 - enableLuck05 - u8,enableLuck06 - enableLuck06 - u8,enableLuck07 - enableLuck07 - u8,enableLuck08 - enableLuck08 - u8
0,,-1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,,-1,1,1,99999,99999,99999,99999,99999,99999,0,-,90,10,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1985,,-1,5,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,,-1,5,99999,99999,99999,99999,99999,99999,99999,1,-,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000,,51001000,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000010,,51001001,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000020,,51001002,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000030,,51001003,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000040,,51001004,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000050,,51001005,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000060,,51001006,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000070,,51001007,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000080,,51001008,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100000,,51101000,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100010,,51101001,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100020,,51101002,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100030,,51101003,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100040,,51101004,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100050,,51101005,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100060,,51101006,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100070,,51101007,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100080,,51101008,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100090,,51101009,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100100,,51101010,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100900,,-1,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100910,,-1,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110000,,51111000,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110010,,51111001,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110020,,51111002,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110030,,51111003,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110040,,51111004,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110050,,51111005,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110051,,51111006,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110052,,51111007,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110053,,51111008,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120000,,51121000,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120010,,51121001,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120020,,51121002,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300000,,51301000,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300010,,51301001,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300020,,51301002,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300030,,51301003,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300040,,51301004,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300050,,51301005,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000,,51501000,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500010,,51501001,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500020,,51501002,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500030,,51501003,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500040,,51501004,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500050,,51501005,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500060,,51501006,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500070,,51501007,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500080,,51501008,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500090,,51501009,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500100,,51501010,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500110,,51501011,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500120,,51501012,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500130,,51501013,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700000,,51701000,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700010,,51701001,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700020,,51701002,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700030,,51701003,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700040,,51701004,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700050,,51701005,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700060,,51701006,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700070,,51701007,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700080,,51701008,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700090,,51701009,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700100,,51701010,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700110,,51701011,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700120,,51701012,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700130,,51701013,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700140,,51701014,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700150,,51701015,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700160,,51701016,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700170,,51701017,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700180,,51701018,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700190,,51701019,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700200,,51701020,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700210,,51701021,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700220,,51701022,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700230,,51701023,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000,,52001000,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000010,,52001001,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000020,,52001002,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000030,,52001003,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000040,,52001004,1,99999,99999,99999,99999,99999,99999,99999,0,-,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
