#RoleParam=ROLE_PARAM_ST
ID,Name,TeamType - TeamType - u8,pad1 - pad1 - dummy8,PhantomParamId0 - PhantomParamId0 - s32,SpEffectId0 - SpEffectId0 - s32,SpEffectId1 - SpEffectId1 - s32,SpEffectId2 - SpEffectId2 - s32,SpEffectId3 - SpEffectId3 - s32,SpEffectId4 - SpEffectId4 - s32,SpEffectId5 - SpEffectId5 - s32,SpEffectId6 - SpEffectId6 - s32,SpEffectId7 - SpEffectId7 - s32,SpEffectId8 - SpEffectId8 - s32,SpEffectId9 - SpEffectId9 - s32,SfxId0 - SfxId0 - s32,SfxId1 - SfxId1 - s32,StayAnimId - StayAnimId - s32,ItemLotId - ItemLotId - s32,spEffectCondition - spEffectCondition - u8,IsDisplayTeamName [ON_OFF] - IsDisplayTeamName [ON_OFF] - u8,pad2 - pad2 - dummy8,TextId - TextId - s32,subTeamType - subTeamType - s32,PhantomParamId1 - PhantomParamId1 - s32,PhantomParamId2 - PhantomParamId2 - s32,PhantomParamId3 - PhantomParamId3 - s32,spEffect10 - spEffect10 - s32,spEffect11 - spEffect11 - s32,spEffect12 - spEffect12 - s32,spEffect13 - spEffect13 - s32,PhantomParamIdForDebug - PhantomParamIdForDebug - s32,pad3 - pad3 - dummy8
0,,1,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-,331100,1,-1,-1,-1,-1,-1,-1,-1,-1,-
1,,2,-,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30001,30000,63010,5510,1,1,-,331101,2,80,80,80,-1,-1,-1,-1,74,-
2,,16,-,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30011,30010,63010,5530,0,2,-,331102,19,81,81,81,-1,-1,-1,-1,181,-
3,,5,-,341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,-,0,5,341,341,341,-1,-1,-1,-1,-1,-
4,,5,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,-,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-
5,,6,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,-,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-
6,,0,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,-,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
7,,7,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,-,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-
8,,4,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1,1,-,331100,4,-1,-1,-1,-1,-1,-1,-1,-1,-
9,,26,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,-,0,26,-1,-1,-1,-1,-1,-1,-1,-1,-
10,,0,-,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,-,0,0,63,63,63,-1,-1,-1,-1,-1,-
11,,0,-,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,1,-,0,0,74,74,74,-1,-1,-1,-1,-1,-
12,,13,-,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63010,-1,0,2,-,0,13,-1,-1,-1,-1,-1,-1,-1,-1,-
13,,16,-,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,16,-1,-1,-1,0,0,0,0,0,-
