#ShopLineupParam=SHOP_LINEUP_PARAM
ID,Name,EquipId - EquipId - s32,value - value - s32,mtrlId - mtrlId - s32,EventFlag - EventFlag - s32,qwcID - qwcID - s32,sellQuantity - sellQuantity - s16,shopType - shopType - u8,equipType - equipType - u8,value_SAN - value_SAN - s16,pad1 - pad1 - dummy8,PriceRate - PriceRate - f32
1,,9999,100,-1,-1,-1,-1,0,3,-1,-,1
1000,,1000,-1,-1,-1,6205,-1,0,3,-1,-,10
1010,,1000,-1,-1,-1,6205,-1,0,3,-1,-,20
1020,,1000,-1,-1,-1,6205,-1,0,3,-1,-,30
1030,,1000,-1,-1,-1,6205,-1,0,3,-1,-,50
1000000,,2461,0,5,71001000,-1,1,0,3,-1,-,1
1000001,,3310,0,2,71001010,-1,1,0,3,-1,-,1
1000002,,5500,0,7,71001020,-1,1,0,3,-1,-,1
1000003,,3040,0,1,71001040,-1,1,0,3,-1,-,1
1000004,,3051,0,3,-1,59,-1,0,3,-1,-,1
1000005,,5501,0,12,72501000,1642,1,0,3,-1,-,1
1000006,,6400,0,6,72501020,1642,2,0,3,-1,-,1
1000007,,5600,0,1,72501030,1642,1,0,3,-1,-,1
1100000,,9710,500,-1,71101000,-1,1,0,3,-1,-,1
1100001,,3020,50,-1,71101010,-1,4,0,3,-1,-,1
1100002,,3420,50,-1,71101020,-1,2,0,3,-1,-,1
1100003,,3200,30,-1,71101030,-1,6,0,3,-1,-,1
1100004,,3700,110,-1,71101040,-1,3,0,3,-1,-,1
1100005,,3530,80,-1,-1,6021,-1,0,3,-1,-,1
1100006,,3450,300,-1,-1,6021,-1,0,3,-1,-,1
1100007,,3230,50,-1,-1,6021,-1,0,3,-1,-,1
1100008,,6000,150,-1,-1,6021,-1,0,3,-1,-,1
1100009,,6100,150,-1,-1,6021,-1,0,3,-1,-,1
1100050,,9710,450,-1,71101000,-1,1,0,3,-1,-,1
1100051,,3020,45,-1,71101010,-1,4,0,3,-1,-,1
1100052,,3420,45,-1,71101020,-1,2,0,3,-1,-,1
1100053,,3200,27,-1,71101030,-1,6,0,3,-1,-,1
1100054,,3700,100,-1,71101040,-1,3,0,3,-1,-,1
1100055,,3530,72,-1,-1,6021,-1,0,3,-1,-,1
1100056,,3450,270,-1,-1,6021,-1,0,3,-1,-,1
1100057,,3230,45,-1,-1,6021,-1,0,3,-1,-,1
1100058,,6000,135,-1,-1,6021,-1,0,3,-1,-,1
1100059,,6100,135,-1,-1,6021,-1,0,3,-1,-,1
1100100,,9710,500,-1,71101000,-1,1,0,3,-1,-,1
1100101,,4400,1000,-1,71101210,-1,1,0,3,-1,-,1
1100102,,3200,30,-1,71101220,-1,3,0,3,-1,-,1
1100103,,3510,30,-1,71101230,-1,12,0,3,-1,-,1
1100104,,5600,180,-1,71101240,9090,1,0,3,-1,-,1
1100105,,3700,110,-1,71101250,-1,3,0,3,-1,-,1
1100106,,3704,550,-1,71101260,-1,2,0,3,-1,-,1
1100107,,3530,80,-1,-1,6021,-1,0,3,-1,-,1
1100108,,3450,300,-1,-1,6021,-1,0,3,-1,-,1
1100109,,3230,50,-1,-1,6021,-1,0,3,-1,-,1
1100110,,6000,150,-1,-1,6021,-1,0,3,-1,-,1
1100111,,6100,150,-1,-1,6021,-1,0,3,-1,-,1
1100112,,5600,240,-1,71101320,9095,1,0,3,-1,-,1
1100150,,9710,450,-1,71101000,-1,1,0,3,-1,-,1
1100151,,4400,900,-1,71101210,-1,1,0,3,-1,-,1
1100152,,3200,27,-1,71101220,-1,3,0,3,-1,-,1
1100153,,3510,27,-1,71101230,-1,12,0,3,-1,-,1
1100154,,5600,162,-1,71101240,9090,1,0,3,-1,-,1
1100155,,3700,100,-1,71101250,-1,3,0,3,-1,-,1
1100156,,3704,500,-1,71101260,-1,2,0,3,-1,-,1
1100157,,3530,72,-1,-1,6021,-1,0,3,-1,-,1
1100158,,3450,270,-1,-1,6021,-1,0,3,-1,-,1
1100159,,3230,45,-1,-1,6021,-1,0,3,-1,-,1
1100160,,6000,135,-1,-1,6021,-1,0,3,-1,-,1
1100161,,6100,135,-1,-1,6021,-1,0,3,-1,-,1
1100162,,5600,216,-1,71101320,9095,1,0,3,-1,-,1
1100200,,9701,3000,-1,71101400,-1,1,0,3,-1,-,1
1100201,,3500,20,-1,71101410,-1,8,0,3,-1,-,1
1100202,,3510,30,-1,71101420,-1,6,0,3,-1,-,1
1100203,,3020,50,-1,71101430,-1,2,0,3,-1,-,1
1100204,,3700,110,-1,71101440,-1,5,0,3,-1,-,1
1100205,,6000,150,-1,-1,9041,-1,0,3,-1,-,1
1100206,,6100,150,-1,-1,9041,-1,0,3,-1,-,1
1100207,,3410,130,-1,71101470,71100253,2,0,3,-1,-,1
1100208,,3430,80,-1,71101480,71100253,5,0,3,-1,-,1
1100209,,3704,550,-1,71101490,71100253,2,0,3,-1,-,1
1100210,,6010,300,-1,71101500,71100254,4,0,3,-1,-,1
1100211,,6200,300,-1,71101510,71100254,3,0,3,-1,-,1
1100212,,6300,300,-1,71101520,71100254,3,0,3,-1,-,1
1100213,,3708,1100,-1,71101530,71100254,2,0,3,-1,-,1
1100214,,3400,120,-1,-1,71100254,-1,0,3,-1,-,1
1100215,,3040,200,-1,71101550,71100277,1,0,3,-1,-,1
1100216,,3530,80,-1,-1,6021,-1,0,3,-1,-,1
1100217,,3450,300,-1,-1,6021,-1,0,3,-1,-,1
1100218,,3230,50,-1,-1,6021,-1,0,3,-1,-,1
1100250,,9701,2700,-1,71101400,-1,1,0,3,-1,-,1
1100251,,3500,18,-1,71101410,-1,8,0,3,-1,-,1
1100252,,3510,27,-1,71101420,-1,6,0,3,-1,-,1
1100253,,3020,45,-1,71101430,-1,2,0,3,-1,-,1
1100254,,3700,100,-1,71101440,-1,5,0,3,-1,-,1
1100255,,6000,135,-1,-1,9041,-1,0,3,-1,-,1
1100256,,6100,135,-1,-1,9041,-1,0,3,-1,-,1
1100257,,3410,117,-1,71101470,71100253,2,0,3,-1,-,1
1100258,,3430,72,-1,71101480,71100253,5,0,3,-1,-,1
1100259,,3704,500,-1,71101490,71100253,2,0,3,-1,-,1
1100260,,6010,270,-1,71101500,71100254,4,0,3,-1,-,1
1100261,,6200,270,-1,71101510,71100254,3,0,3,-1,-,1
1100262,,6300,270,-1,71101520,71100254,3,0,3,-1,-,1
1100263,,3708,1000,-1,71101530,71100254,2,0,3,-1,-,1
1100264,,3400,108,-1,-1,71100254,-1,0,3,-1,-,1
1100265,,3040,180,-1,71101550,71100277,1,0,3,-1,-,1
1100266,,3530,72,-1,-1,6021,-1,0,3,-1,-,1
1100267,,3450,270,-1,-1,6021,-1,0,3,-1,-,1
1100268,,3230,45,-1,-1,6021,-1,0,3,-1,-,1
1100300,,9061,-1,-1,71101800,-1,1,0,3,-1,-,1
1100400,,4400,2000,-1,71102000,-1,1,0,3,-1,-,1
1100401,,3020,80,-1,71102010,-1,8,0,3,-1,-,1
1100402,,3200,100,-1,-1,-1,-1,0,3,-1,-,1
1100403,,3210,100,-1,-1,-1,-1,0,3,-1,-,1
1100404,,3220,100,-1,-1,-1,-1,0,3,-1,-,1
1100405,,3420,120,-1,-1,-1,-1,0,3,-1,-,1
1100406,,9221,500,-1,71102050,-1,1,0,3,-1,-,1
1100407,,9223,800,-1,71102060,8307,1,0,3,-1,-,1
1100408,,9225,500,-1,71102070,-1,1,0,3,-1,-,1
1100409,,3700,110,-1,71102080,-1,3,0,3,-1,-,1
1100410,,3704,550,-1,71102090,-1,3,0,3,-1,-,1
1100411,,5600,180,-1,71102100,9091,2,0,3,-1,-,1
1100412,,3530,80,-1,-1,6021,-1,0,3,-1,-,1
1100413,,3450,300,-1,-1,6021,-1,0,3,-1,-,1
1100414,,3230,50,-1,-1,6021,-1,0,3,-1,-,1
1100415,,6000,150,-1,-1,6021,-1,0,3,-1,-,1
1100416,,6100,150,-1,-1,6021,-1,0,3,-1,-,1
1100417,,5600,240,-1,71102160,9096,1,0,3,-1,-,1
1100450,,4400,1800,-1,71102000,-1,1,0,3,-1,-,1
1100451,,3020,72,-1,71102010,-1,8,0,3,-1,-,1
1100452,,3200,90,-1,-1,-1,-1,0,3,-1,-,1
1100453,,3210,90,-1,-1,-1,-1,0,3,-1,-,1
1100454,,3220,90,-1,-1,-1,-1,0,3,-1,-,1
1100455,,3420,108,-1,-1,-1,-1,0,3,-1,-,1
1100456,,9221,450,-1,71102050,-1,1,0,3,-1,-,1
1100457,,9223,720,-1,71102060,8307,1,0,3,-1,-,1
1100458,,9225,450,-1,71102070,-1,1,0,3,-1,-,1
1100459,,3700,100,-1,71102080,-1,3,0,3,-1,-,1
1100460,,3704,500,-1,71102090,-1,3,0,3,-1,-,1
1100461,,5600,162,-1,71102100,9091,2,0,3,-1,-,1
1100462,,3530,72,-1,-1,6021,-1,0,3,-1,-,1
1100463,,3450,270,-1,-1,6021,-1,0,3,-1,-,1
1100464,,3230,45,-1,-1,6021,-1,0,3,-1,-,1
1100465,,6000,135,-1,-1,6021,-1,0,3,-1,-,1
1100466,,6100,135,-1,-1,6021,-1,0,3,-1,-,1
1100467,,5600,216,-1,71102160,9096,1,0,3,-1,-,1
1100500,,2450,2200,-1,71102200,9020,1,0,3,-1,-,1
1100501,,4000,1500,-1,71102210,9021,1,0,3,-1,-,1
1100502,,4000,1500,-1,71102220,9022,1,0,3,-1,-,1
1100503,,9700,2800,-1,71102230,9023,1,0,3,-1,-,1
1100504,,9780,2800,-1,71102240,9024,1,0,3,-1,-,1
1100505,,4400,2400,-1,71102250,9025,1,0,3,-1,-,1
1100506,,9701,4500,-1,71102260,9026,1,0,3,-1,-,1
1100507,,4000,2200,-1,71102270,9027,1,0,3,-1,-,1
1100508,,4000,2200,-1,71102280,9028,1,0,3,-1,-,1
1100509,,4000,2200,-1,71102290,9029,1,0,3,-1,-,1
1100510,,9710,2400,-1,71102300,9030,1,0,3,-1,-,1
1100511,,4400,2400,-1,71102310,9031,1,0,3,-1,-,1
1100512,,4000,2200,-1,71102320,9032,1,0,3,-1,-,1
1100513,,5502,7500,-1,71102330,9033,1,0,3,-1,-,1
1100514,,9760,2400,-1,71102340,9034,1,0,3,-1,-,1
1100515,,4000,2200,-1,71102350,9035,1,0,3,-1,-,1
1101000,,70000,0,100000,71101600,6500,1,0,0,-1,-,1
1101001,,71000,0,100010,71101610,6501,1,0,0,-1,-,1
1101002,,72000,0,100020,71101620,6502,1,0,0,-1,-,1
1101003,,73000,0,100030,71101630,6503,1,0,0,-1,-,1
1101004,,74000,0,100040,71101640,6504,1,0,0,-1,-,1
1101005,,75000,0,100050,71101650,6505,1,0,0,-1,-,1
1101006,,76000,0,100060,71101660,6506,1,0,0,-1,-,1
1101007,,77000,0,100070,71101670,6507,1,0,0,-1,-,1
1101008,,78000,0,100080,71101680,6508,1,0,0,-1,-,1
1101009,,79000,0,100090,71101690,6509,1,0,0,-1,-,1
1110000,,4000,1400,-1,71111000,-1,1,0,3,-1,-,1
