#SkillParam=SKILL_PARAM_ST
ID,Name,SkilLDescriptionId - SkilLDescriptionId - s32,EventFlagId - EventFlagId - s32,SkillParamId1_Group1 - SkillParamId1_Group1 - s32,SkillParamId2_Group1 - SkillParamId2_Group1 - s32,SkillParamId3_Group1 - SkillParamId3_Group1 - s32,Unk1 - Unk1 - s32,ReinforceWeaponParamId - ReinforceWeaponParamId - s32,Unk2 - Unk2 - s32,Unk3 - Unk3 - s32,Unk4 - Unk4 - s32,MenuDisplayPositionIndexY - MenuDisplayPositionIndexY - s16,MenuDisplayPositionIndexXZ - MenuDisplayPositionIndexXZ - s16,Unk5 - Unk5 - s32,Unk6 - Unk6 - s32,Unk7 - Unk7 - u8,Unk8 - Unk8 - u8,Unk9 - Unk9 - u8,Unk10 - Unk10 - u8,SkillParamId1_Group2 - SkillParamId1_Group2 - s32,SkillParamId2_Group2 - SkillParamId2_Group2 - s32,SkillParamId3_Group2 - SkillParamId3_Group2 - s32,SkillParamId4_Group2 - SkillParamId4_Group2 - s32,SkillParamId5_Group2 - SkillParamId5_Group2 - s32,SkillParamId6_Group2 - SkillParamId6_Group2 - s32,SkillParamId7_Group2 - SkillParamId7_Group2 - s32,SkillParamId8_Group2 - SkillParamId8_Group2 - s32,pad1 - pad1 - dummy8
2,,200100,-1,10,-1,-1,-1,-1,-1,-1,-1,2,1,690200,699000,0,0,0,0,10,4,-1,-1,-1,-1,-1,-1,-
4,,200300,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,690200,699000,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
5,,200400,-1,4,-1,-1,-1,-1,-1,-1,-1,4,1,690200,699000,0,0,0,0,10,4,-1,-1,-1,-1,-1,-1,-
6,,200500,-1,75,2,-1,-1,-1,-1,-1,-1,2,2,690200,699000,0,0,0,0,75,2,5,60,-1,-1,-1,-1,-
7,,200600,-1,60,-1,-1,-1,-1,-1,-1,-1,6,2,690200,699000,0,0,0,0,75,2,5,60,-1,-1,-1,-1,-
10,,210000,-1,-1,-1,-1,5100,-1,-1,-1,-1,2,0,690000,699000,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
20,,211000,-1,6,70,-1,6000,-1,-1,-1,-1,2,3,690000,699000,0,0,0,0,80,76,6,70,61,7,-1,-1,-
60,,620000,-1,4,-1,-1,-1,-1,150000,-1,-1,5,1,690300,699000,0,0,0,0,10,4,-1,-1,-1,-1,-1,-1,-
61,,620100,-1,60,-1,-1,-1,-1,150010,-1,-1,5,2,690300,699000,0,0,0,0,75,2,5,60,-1,-1,-1,-1,-
70,,660400,-1,5,60,-1,-1,-1,150400,-1,-1,4,2,690300,699000,0,0,0,0,75,2,5,60,-1,-1,-1,-1,-
75,,650000,-1,10,-1,-1,-1,-1,-1,-1,-1,1,1,690300,699000,0,0,0,1,10,4,-1,-1,-1,-1,-1,-1,-
76,,650100,-1,75,-1,-1,-1,-1,-1,-1,-1,1,2,690300,699000,0,0,0,1,75,2,5,60,-1,-1,-1,-1,-
80,,660000,-1,75,-1,-1,-1,-1,150300,-1,-1,0,2,690300,699000,0,0,0,0,75,2,5,60,-1,-1,-1,-1,-
100,,301000,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,690200,699000,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
101,,301100,-1,100,-1,-1,-1,-1,-1,-1,-1,2,1,690200,699000,1,0,0,0,100,104,-1,-1,-1,-1,-1,-1,-
102,,301200,-1,105,101,-1,-1,-1,-1,-1,-1,2,2,690200,699000,1,0,0,0,105,101,110,170,-1,-1,-1,-1,-
103,,301300,-1,102,111,-1,-1,-1,-1,-1,-1,2,3,690200,699000,1,0,0,0,175,176,102,111,171,-1,-1,-1,-
104,,200000,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,690200,699000,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-
105,,200200,-1,100,-1,-1,-1,-1,-1,-1,-1,1,1,690200,699000,1,0,0,0,100,104,-1,-1,-1,-1,-1,-1,-
110,,310000,-1,104,-1,-1,5200,-1,-1,-1,-1,4,1,690000,699000,1,0,0,0,100,104,-1,-1,-1,-1,-1,-1,-
111,,310100,-1,110,170,-1,7000,-1,-1,-1,-1,4,2,690100,699000,1,0,0,0,105,101,110,170,-1,-1,-1,-1,-
