#SpEffectVfxParam=SP_EFFECT_VFX_PARAM_ST
ID,Name,midstSfxId - midstSfxId - s32,midstSeId - midstSeId - s32,InitSfxId - InitSfxId - s32,InitSeId - InitSeId - s32,finishSfxId - finishSfxId - s32,finishSeId - finishSeId - s32,camouflageBeginDist - camouflageBeginDist - f32,camouflageEndDist - camouflageEndDist - f32,transformProtectorId - transformProtectorId - s32,midstDmyId - midstDmyId - s16,initDmyId - initDmyId - s16,finishDmyId - finishDmyId - s16,effectType - effectType - u8,soulParamIdForWepEnchant1 - soulParamIdForWepEnchant1 - u8,playCategory - playCategory - u8,playPriority - playPriority - u8,existEffectForLarge - existEffectForLarge - u8,existEffectForSoul - existEffectForSoul - u8,existInvisibleAtCamouflage - existInvisibleAtCamouflage - u8,useCamouflage - useCamouflage - u8,invisibleAtFriendCamouflage - invisibleAtFriendCamouflage - u8,addMapAreaBlockOffset - addMapAreaBlockOffset - u8,halfCamouflage - halfCamouflage - u8,isFullBodyProtectorId - isFullBodyProtectorId - u8,isInvisibleWeapon - isInvisibleWeapon - u8,isSilence - isSilence - u8,isGauntletProtectorId - isGauntletProtectorId - u8,Unk1 - Unk1 - u8,Unk2 - Unk2 - u8,Unk3 - Unk3 - u8,Unk4 - Unk4 - u8,Unk5 - Unk5 - u8,DecalId0 - DecalId0 - s32,DecalId1 - DecalId1 - s32,soulParamIdForWepEnchant2 - soulParamIdForWepEnchant2 - u8,SpEffectSp0 - SpEffectSp0 - u8,SpEffectSp1 - SpEffectSp1 - u8,bodyProtectorType - bodyProtectorType - u8,SpSfxId0 - SpSfxId0 - s32,SpSfxId1 - SpSfxId1 - s32,SpSfxId2 - SpSfxId2 - s32,SpSfxId3 - SpSfxId3 - s32,SpSfxId4 - SpSfxId4 - s32,SpSfxId5 - SpSfxId5 - s32,SpSfxId6 - SpSfxId6 - s32,SpSfxId7 - SpSfxId7 - s32,SpSfxId8 - SpSfxId8 - s32,SpSfxId9 - SpSfxId9 - s32,SpSfxId10 - SpSfxId10 - s32,SpSfxId11 - SpSfxId11 - s32,SpSfxId12 - SpSfxId12 - s32,SpSfxId13 - SpSfxId13 - s32,SpSfxId14 - SpSfxId14 - s32,SpSfxId15 - SpSfxId15 - s32,Unk10 - Unk10 - u8,PhantomType - PhantomType - u8,CamouflageGhost - CamouflageGhost - u8,Unk12 - Unk12 - u8,PhantomParamId - PhantomParamId - s32,EmissiveIntensityScale [ArmorGlow] - EmissiveIntensityScale [ArmorGlow] - f32,Unk13 - Unk13 - f32,bodyProtectorVal - bodyProtectorVal - s16,Unk14 - Unk14 - s16,CinderIntensityScale [Ember Effect Glow] - CinderIntensityScale [Ember Effect Glow] - f32,MenuOrb - MenuOrb - u8,Unk15 - Unk15 - u8,MenuOrb_DummyPolyId - MenuOrb_DummyPolyId - s16,BodyProtectorValue1 - BodyProtectorValue1 - u16,BodyProtectorValue2 - BodyProtectorValue2 - u16,MaterialExParamId - MaterialExParamId - s32,MaterialExSpeed - MaterialExSpeed - f32,MaterialExMax - MaterialExMax - f32,MaterialExMin - MaterialExMin - f32,Unk16 - Unk16 - u16,Unk17 - Unk17 - u16,pad1 - pad1 - dummy8
0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,65535,65535,-1,0,0,0,67,67,-
2,,4010,999999996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4,41,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,65535,65535,-1,0,0,0,67,67,-
3,,890,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,65535,65535,-1,0,0,0,67,67,-
4,,815,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,65535,65535,-1,0,0,0,67,67,-
5,,4010,999999995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,65535,65535,-1,0,0,0,67,67,-
6,,840,999999994,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,0,0,4,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,65535,65535,-1,0,0,0,67,67,-
8,,24027,-1,-1,-1,-1,-1,17,12,-1,220,-1,-1,0,0,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,65535,65535,-1,0,0,0,67,67,-
9,,20228,-1,-1,-1,-1,-1,-1,-1,-1,236,-1,-1,0,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,65535,65535,-1,0,0,0,67,67,-
10,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,65535,65535,-1,0,0,0,67,67,-
11,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,65535,65535,-1,0,0,0,67,67,-
