#StaminaControlParam=STAMINA_CONTROL_PARAM_ST
ID,Name,StaminaRecoveryRate0 - StaminaRecoveryRate0 - s32,StaminaUpperLimit0 - StaminaUpperLimit0 - s16,StaminaLowerLimit0 - StaminaLowerLimit0 - s16,StaminaRecoveryRate1 - StaminaRecoveryRate1 - s32,StaminaUpperLimit1 - StaminaUpperLimit1 - s16,StaminaLowerLimit1 - StaminaLowerLimit1 - s16,StaminaRecoveryRate2 - StaminaRecoveryRate2 - s32,StaminaUpperLimit2 - StaminaUpperLimit2 - s16,StaminaLowerLimit2 - StaminaLowerLimit2 - s16,StaminaRecoveryRate3 - StaminaRecoveryRate3 - s32,StaminaUpperLimit3 - StaminaUpperLimit3 - s16,StaminaLowerLimit3 - StaminaLowerLimit3 - s16,StaminaRecoveryRate4 - StaminaRecoveryRate4 - s32,StaminaUpperLimit4 - StaminaUpperLimit4 - s16,StaminaLowerLimit4 - StaminaLowerLimit4 - s16,StaminaRecoveryRate5 - StaminaRecoveryRate5 - s32,StaminaUpperLimit5 - StaminaUpperLimit5 - s16,StaminaLowerLimit5 - StaminaLowerLimit5 - s16,StaminaRecoveryRate6 - StaminaRecoveryRate6 - s32,StaminaUpperLimit6 - StaminaUpperLimit6 - s16,StaminaLowerLimit6 - StaminaLowerLimit6 - s16,StaminaRecoveryRate7 - StaminaRecoveryRate7 - s32,StaminaUpperLimit7 - StaminaUpperLimit7 - s16,StaminaLowerLimit7 - StaminaLowerLimit7 - s16,StaminaRecoveryRate8 - StaminaRecoveryRate8 - s32,StaminaUpperLimit8 - StaminaUpperLimit8 - s16,StaminaLowerLimit8 - StaminaLowerLimit8 - s16,StaminaRecoveryRate9 - StaminaRecoveryRate9 - s32,StaminaUpperLimit9 - StaminaUpperLimit9 - s16,StaminaLowerLimit9 - StaminaLowerLimit9 - s16,StaminaRecoveryRate10 - StaminaRecoveryRate10 - s32,StaminaUpperLimit10 - StaminaUpperLimit10 - s16,StaminaLowerLimit10 - StaminaLowerLimit10 - s16,StaminaRecoveryRate11 - StaminaRecoveryRate11 - s32,StaminaUpperLimit11 - StaminaUpperLimit11 - s16,StaminaLowerLimit11 - StaminaLowerLimit11 - s16,StaminaRecoveryRate12 - StaminaRecoveryRate12 - s32,StaminaUpperLimit12 - StaminaUpperLimit12 - s16,StaminaLowerLimit12 - StaminaLowerLimit12 - s16,StaminaRecoveryRate13 - StaminaRecoveryRate13 - s32,StaminaUpperLimit13 - StaminaUpperLimit13 - s16,StaminaLowerLimit13 - StaminaLowerLimit13 - s16,StaminaRecoveryRate14 - StaminaRecoveryRate14 - s32,StaminaUpperLimit14 - StaminaUpperLimit14 - s16,StaminaLowerLimit14 - StaminaLowerLimit14 - s16,StaminaRecoveryRate15 - StaminaRecoveryRate15 - s32,StaminaUpperLimit15 - StaminaUpperLimit15 - s16,StaminaLowerLimit15 - StaminaLowerLimit15 - s16
0,,0,100,0,67,100,0,100,100,0,100,100,0,100,100,0,0,100,100,100,100,0,100,100,0,100,100,0,100,100,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
1000000,,0,100,0,67,100,0,33,100,0,150,100,0,200,100,0,0,0,0,100,30,30,100,100,100,100,100,0,100,100,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
1000001,,0,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,100,100,100,100,100,100,0,100,100,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
1000100,,0,100,0,67,100,0,33,100,0,150,100,0,200,100,0,0,0,0,1100,30,30,2200,100,100,600,40,0,3200,80,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
1000200,,0,100,0,67,100,0,33,100,0,150,100,0,200,100,0,0,0,0,4050,30,30,8100,100,100,900,40,0,4800,80,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
1012000,,0,100,0,67,100,0,0,100,0,150,100,0,200,100,0,0,0,0,900,30,30,2200,100,100,600,40,0,3200,80,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
1040000,,0,100,0,67,100,0,33,100,0,150,100,0,200,100,0,0,0,0,6300,30,30,10000,100,100,1100,40,0,6000,80,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
1060000,,0,100,0,67,100,0,33,100,0,150,100,0,200,100,0,0,0,0,3600,30,30,10000,100,100,600,40,0,6000,80,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
1070000,,0,100,0,67,100,0,33,100,0,150,100,0,200,100,0,0,0,0,9600,30,30,19200,100,100,800,40,0,4800,80,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
1130000,,0,100,0,67,100,0,33,100,0,150,100,0,200,100,0,0,0,0,9600,30,30,19200,50,50,800,40,0,4800,80,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
5000000,,0,100,0,67,100,0,33,100,0,150,100,0,200,100,0,0,0,0,10800,30,30,10800,100,100,100,100,0,100,100,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
5060000,,0,100,0,67,100,0,33,100,0,150,100,0,200,100,0,0,0,0,10800,30,30,10800,100,100,500,100,0,2000,100,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
5080000,,0,100,0,40,100,0,33,100,0,150,100,0,200,100,0,0,0,0,3600,30,30,4800,100,100,100,100,0,100,100,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
5100000,,0,100,0,67,100,0,33,100,0,150,100,0,200,100,0,0,0,0,3600,30,30,9600,100,100,100,100,0,100,100,0,200,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0
