#SwordArtsParam=SWORD_ARTS_PARAM_ST
ID,Name,ActionId [0-36] - ActionId [0-36] - u8,ActionCorrection - ActionCorrection - u8,ReserveArtPointType [0-3] - ReserveArtPointType [0-3] - u8,UnusedField - UnusedField - u8,reserveArtsPoint0 - reserveArtsPoint0 - s8,reserveArtsPoint1 - reserveArtsPoint1 - s8,reserveArtsPoint2 - reserveArtsPoint2 - s8,reserveArtsPoint3 - reserveArtsPoint3 - s8,DebugTextId - DebugTextId - s32,subFPCost - subFPCost - s16,FPCost - FPCost - s16,FPCostLight - FPCostLight - s16,FpCostStrong - FpCostStrong - s16,ShieldCategory [0-4] - ShieldCategory [0-4] - u8,pad1 - pad1 - dummy8
0,,0,0,1,0,0,0,0,0,70000,0,0,0,0,0,-
1,,0,0,1,0,-1,-1,-1,-1,70000,0,0,0,0,0,-
10,,0,1,1,0,-1,-1,-1,-1,70006,-1,-1,-1,-1,0,-
60,,0,1,1,0,-1,-1,-1,-1,70006,-1,-1,-1,-1,0,-
70,,0,1,1,0,-1,-1,-1,-1,70006,-1,-1,-1,-1,0,-
80,,0,1,1,0,-1,-1,-1,-1,70006,-1,-1,-1,-1,0,-
90,,1,2,1,0,-1,-1,-1,-1,70001,-1,0,-1,-1,0,-
91,,1,2,1,0,-1,-1,-1,-1,70001,-1,0,-1,-1,0,-
92,,1,2,1,0,-1,-1,-1,-1,70028,-1,0,-1,-1,0,-
93,,1,2,1,0,-1,-1,-1,-1,70028,-1,0,-1,-1,0,-
99,,1,2,1,0,-1,-1,-1,-1,70001,-1,0,-1,-1,0,-
100,,18,1,1,2,-1,-1,-1,-1,70011,-1,5,-1,-1,0,-
101,,24,2,1,2,-1,-1,-1,-1,70023,-1,10,-1,-1,0,-
102,,22,2,1,2,-1,-1,-1,-1,70030,-1,25,-1,-1,0,-
103,,24,2,1,2,-1,-1,-1,-1,70026,-1,5,-1,-1,0,-
104,,22,2,1,2,-1,-1,-1,-1,70023,-1,25,-1,-1,0,-
105,,24,2,1,2,-1,-1,-1,-1,70014,-1,12,-1,-1,0,-
200,,4,2,1,2,-1,-1,-1,-1,70002,-1,0,17,20,0,-
201,,2,2,1,2,-1,-1,-1,-1,70010,-1,13,-1,13,0,-
202,,24,2,1,2,-1,-1,-1,-1,70026,-1,5,-1,-1,0,-
203,,24,2,1,2,-1,-1,-1,-1,70061,-1,40,-1,-1,0,-
204,,4,2,1,2,-1,-1,-1,-1,70038,-1,0,17,22,0,-
205,,4,2,1,2,-1,-1,-1,-1,70002,-1,0,17,20,0,-
300,,4,2,1,2,-1,-1,-1,-1,70002,-1,0,17,20,0,-
301,,22,2,1,2,-1,-1,-1,-1,70059,-1,30,-1,-1,0,-
302,,22,2,1,2,-1,-1,-1,-1,70056,-1,25,-1,-1,0,-
303,,22,2,1,2,-1,-1,-1,-1,70053,-1,18,-1,-1,0,-
304,,4,2,1,2,-1,-1,-1,-1,70054,-1,0,19,22,0,-
305,,4,2,1,2,-1,-1,-1,-1,70060,-1,0,22,22,0,-
306,,4,2,1,2,-1,-1,-1,-1,70073,-1,0,19,23,0,-
307,,2,2,1,2,-1,-1,-1,-1,70010,-1,12,-1,17,0,-
308,,2,2,1,2,-1,-1,-1,-1,70010,-1,12,-1,15,0,-
309,,25,2,1,2,-1,-1,-1,-1,70069,-1,0,20,20,0,-
310,,14,2,1,2,-1,-1,-1,-1,70009,-1,10,-1,-1,0,-
