#ThrowDirectionSfxParam=THROW_DIRECTION_SFX_PARAM_ST
ID,Name,ThrowFFXId1 - ThrowFFXId1 - s32,ThrowFFXId2 - ThrowFFXId2 - s32,ThrowFFXId3 - ThrowFFXId3 - s32,ThrowFFXId4 - ThrowFFXId4 - s32,ThrowFFXId5 - ThrowFFXId5 - s32,ThrowFFXId6 - ThrowFFXId6 - s32,ThrowFFXId7 - ThrowFFXId7 - s32,ThrowFFXId8 - ThrowFFXId8 - s32,ThrowFFXId9 - ThrowFFXId9 - s32,ThrowFFXId10 - ThrowFFXId10 - s32,ThrowFFXId11 - ThrowFFXId11 - s32,ThrowFFXId12 - ThrowFFXId12 - s32,ThrowFFXId13 - ThrowFFXId13 - s32,ThrowFFXId14 - ThrowFFXId14 - s32,ThrowFFXId15 - ThrowFFXId15 - s32,ThrowFFXId16 - ThrowFFXId16 - s32,ThrowFFXId17 - ThrowFFXId17 - s32,ThrowFFXId18 - ThrowFFXId18 - s32,ThrowFFXId19 - ThrowFFXId19 - s32,ThrowFFXId20 - ThrowFFXId20 - s32,ThrowFFXId21 - ThrowFFXId21 - s32,ThrowFFXId22 - ThrowFFXId22 - s32,ThrowFFXId23 - ThrowFFXId23 - s32,ThrowFFXId24 - ThrowFFXId24 - s32,ThrowFFXId25 - ThrowFFXId25 - s32,ThrowFFXId26 - ThrowFFXId26 - s32,ThrowFFXId27 - ThrowFFXId27 - s32,ThrowFFXId28 - ThrowFFXId28 - s32,ThrowFFXId29 - ThrowFFXId29 - s32,ThrowFFXId30 - ThrowFFXId30 - s32,ThrowFFXId31 - ThrowFFXId31 - s32,ThrowFFXId32 - ThrowFFXId32 - s32,ThrowFFXId33 - ThrowFFXId33 - s32,ThrowFFXId34 - ThrowFFXId34 - s32,ThrowFFXId35 - ThrowFFXId35 - s32,ThrowFFXId36 - ThrowFFXId36 - s32,ThrowFFXId37 - ThrowFFXId37 - s32,ThrowFFXId38 - ThrowFFXId38 - s32,ThrowFFXId39 - ThrowFFXId39 - s32,ThrowFFXId40 - ThrowFFXId40 - s32,ThrowFFXId41 - ThrowFFXId41 - s32,ThrowFFXId42 - ThrowFFXId42 - s32,ThrowFFXId43 - ThrowFFXId43 - s32,ThrowFFXId44 - ThrowFFXId44 - s32,ThrowFFXId45 - ThrowFFXId45 - s32,ThrowFFXId46 - ThrowFFXId46 - s32,ThrowFFXId47 - ThrowFFXId47 - s32,ThrowFFXId48 - ThrowFFXId48 - s32,ThrowFFXId49 - ThrowFFXId49 - s32,ThrowFFXId50 - ThrowFFXId50 - s32,ThrowFFXId51 - ThrowFFXId51 - s32,ThrowFFXId52 - ThrowFFXId52 - s32,ThrowFFXId53 - ThrowFFXId53 - s32,ThrowFFXId54 - ThrowFFXId54 - s32,ThrowFFXId55 - ThrowFFXId55 - s32,ThrowFFXId56 - ThrowFFXId56 - s32,ThrowFFXId57 - ThrowFFXId57 - s32,ThrowFFXId58 - ThrowFFXId58 - s32,ThrowFFXId59 - ThrowFFXId59 - s32,ThrowFFXId60 - ThrowFFXId60 - s32,ThrowFFXId61 - ThrowFFXId61 - s32,ThrowFFXId62 - ThrowFFXId62 - s32,ThrowFFXId63 - ThrowFFXId63 - s32,ThrowFFXId64 - ThrowFFXId64 - s32,ThrowFFXId65 - ThrowFFXId65 - s32,ThrowFFXId66 - ThrowFFXId66 - s32,ThrowFFXId67 - ThrowFFXId67 - s32,ThrowFFXId68 - ThrowFFXId68 - s32,ThrowFFXId69 - ThrowFFXId69 - s32,ThrowFFXId70 - ThrowFFXId70 - s32,ThrowFFXId71 - ThrowFFXId71 - s32,ThrowFFXId72 - ThrowFFXId72 - s32,ThrowFFXId73 - ThrowFFXId73 - s32,ThrowFFXId74 - ThrowFFXId74 - s32,ThrowFFXId75 - ThrowFFXId75 - s32,ThrowFFXId76 - ThrowFFXId76 - s32,ThrowFFXId77 - ThrowFFXId77 - s32,ThrowFFXId78 - ThrowFFXId78 - s32,ThrowFFXId79 - ThrowFFXId79 - s32,ThrowFFXId80 - ThrowFFXId80 - s32,ThrowFFXId81 - ThrowFFXId81 - s32,ThrowFFXId82 - ThrowFFXId82 - s32,ThrowFFXId83 - ThrowFFXId83 - s32,ThrowFFXId84 - ThrowFFXId84 - s32,ThrowFFXId85 - ThrowFFXId85 - s32,ThrowFFXId86 - ThrowFFXId86 - s32,ThrowFFXId87 - ThrowFFXId87 - s32,ThrowFFXId88 - ThrowFFXId88 - s32,ThrowFFXId89 - ThrowFFXId89 - s32,ThrowFFXId90 - ThrowFFXId90 - s32
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
101,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
102,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
103,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
104,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
105,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
106,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
107,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
108,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
109,,0,0,0,0,0,0,0,0,0,0,220500,220501,0,0,220502,220503,220504,0,0,0,300001,300002,300021,0,0,0,0,0,0,0,303010,303011,303013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
110,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
111,,0,0,0,0,0,0,0,0,0,0,222500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248004
