#ThrowKindParam=THROW_KIND_PARAM_ST
ID,Name,Unk1 - Unk1 - s32,Unk2 - Unk2 - s32,Unk3 - Unk3 - s32,ThrowState - ThrowState - u8,Unk4 - Unk4 - u8,Unk5 - Unk5 - u8,State1 - State1 - u8,State2 - State2 - u8,Unk6 - Unk6 - u8,DisableArmStyleCheck [ON_OFF] - DisableArmStyleCheck [ON_OFF] - u8,Unk7 - Unk7 - u8,Mask1 - Mask1 - u8,Mask2 - Mask2 - u8,Mask3 - Mask3 - u8,Mask4 - Mask4 - u8,GoodsParamId - GoodsParamId - s32,Mask5 - Mask5 - u8,Mask6 - Mask6 - u8,Mask7 - Mask7 - u8,Mask8 - Mask8 - u8
0,,0,800000,100000000,0,0,0,0,0,10,0,0,1,0,5,255,-1,255,0,0,0
100,,0,-1,0,0,1,255,1,0,10,0,0,0,0,5,255,-1,255,0,0,0
201,,0,800010,100,0,0,0,1,0,10,0,0,0,2,5,255,2100,255,0,0,0
202,,0,800010,100,0,0,0,1,0,10,0,0,0,2,5,255,2110,255,0,0,0
203,,0,800010,100,0,0,0,1,0,10,0,0,0,2,5,255,2120,255,0,0,0
10000,,0,800000,100000000,0,0,0,0,1,0,0,0,1,0,5,255,-1,255,0,0,0
10100,,0,-1,10000,0,1,255,1,1,0,0,0,0,0,5,255,-1,255,0,0,0
20000,,0,-1,100000000,0,2,255,0,2,0,0,0,0,0,5,255,-1,255,0,0,0
20100,,0,800000,20000,0,0,0,1,2,0,0,0,0,0,5,255,-1,255,0,0,0
20110,,0,-1,20000,0,0,1,1,2,0,0,0,0,0,5,13,-1,255,0,0,0
20900,,0,800000,20100,0,0,0,1,2,0,0,0,0,2,5,255,-1,255,0,0,0
30000,,0,-1,100000000,0,3,255,0,3,0,0,0,0,0,5,255,-1,255,0,0,0
30100,,0,800000,30000,0,0,0,1,3,0,0,0,0,0,5,255,-1,255,0,0,0
30110,,0,-1,30000,0,0,1,1,3,0,0,0,0,0,5,13,-1,255,0,0,0
40000,,0,800000,100000000,0,0,0,0,4,2,0,0,1,0,5,255,-1,255,0,0,0
40100,,0,-1,40000,0,1,255,1,4,2,0,0,0,0,5,255,-1,255,0,0,0
40900,,0,800000,40100,0,0,0,1,4,2,0,0,0,2,5,255,-1,255,0,0,0
41000,,0,800000,100000000,0,0,0,0,4,0,0,0,1,0,5,255,-1,255,0,0,0
41100,,0,-1,41000,0,1,255,1,4,0,0,0,0,0,5,255,-1,255,0,0,0
41201,,0,800010,41100,0,0,0,1,4,0,0,0,0,2,5,255,2100,255,0,0,0
41202,,0,800010,41100,0,0,0,1,4,0,0,0,0,2,5,255,2110,255,0,0,0
41203,,0,800010,41100,0,0,0,1,4,0,0,0,0,2,5,255,2120,255,0,0,0
41900,,0,800000,41100,0,0,0,1,4,0,0,0,0,0,5,255,-1,255,0,0,0
50000,,0,800000,100000000,0,0,0,0,5,1,0,0,0,0,5,255,-1,255,0,0,0
50100,,0,800000,50000,0,0,0,1,5,1,0,0,0,0,5,255,-1,255,0,0,0
60000,,0,800000,100000000,0,0,0,0,7,4,0,1,0,0,5,255,-1,255,0,0,0
60100,,0,-1,60000,0,1,255,1,7,4,0,0,0,0,5,255,-1,255,0,0,0
70000,,0,800000,100000000,0,0,0,0,6,3,0,1,0,0,5,255,-1,255,0,0,0
70100,,0,-1,70000,0,1,255,1,6,3,0,0,0,0,5,255,-1,255,0,0,0
70900,,0,800000,70100,0,0,0,1,6,3,0,0,0,0,5,255,-1,255,0,0,0
80000,,0,800000,100000000,0,0,0,0,8,2,0,1,0,0,5,18,-1,255,0,0,0
80100,,0,-1,80000,0,1,255,1,8,2,0,0,0,0,5,255,-1,255,0,0,0
90000,,0,800000,100000000,0,0,0,0,9,0,0,0,1,0,5,255,-1,255,0,0,0
90010,,0,-1,90000,0,1,255,1,9,0,0,0,0,0,5,255,-1,255,0,0,0
100000,,0,800000,100000000,0,0,0,0,10,0,0,0,1,0,5,255,-1,255,0,0,0
100010,,0,-1,100000,0,1,255,1,10,0,0,0,0,0,5,255,-1,255,0,0,0
110000,,0,800000,100000000,0,0,0,0,11,0,0,0,1,0,5,255,-1,255,0,0,0
110010,,0,-1,110000,0,1,255,1,11,0,0,0,0,0,5,255,-1,255,0,0,0
