#ThrowParam=THROW_INFO_BANK
ID,Name,AtkChrId - AtkChrId - s32,DefChrId - DefChrId - s32,Dist - Dist - f32,DiffAngMin - DiffAngMin - f32,DiffAngMax - DiffAngMax - f32,UpperYrange - UpperYrange - f32,LowerYrange - LowerYrange - f32,DiffAngMyToDef - DiffAngMyToDef - f32,throwTypeId - throwTypeId - s32,atkAnimid - atkAnimid - s32,defAnimId - defAnimId - s32,escHp - escHp - s16,selfEscCycleTime - selfEscCycleTime - s16,SphereCastRadiusRateTop - SphereCastRadiusRateTop - s16,SphereCastRadiusRateLow - SphereCastRadiusRateLow - s16,PadType - PadType - u8,AtkEnableState - AtkEnableState - u8,AtkSorbDmyId - AtkSorbDmyId - u8,DefSorbDmyId - DefSorbDmyId - u8,ThrowType - ThrowType - u8,SelfEscCycleInt - SelfEscCycleInt - u8,DmyHasChrDirType - DmyHasChrDirType - u8,isTurnAtker - isTurnAtker - u8,isSkipWepCate - isSkipWepCate - u8,isSkipSphereCast - isSkipSphereCast - u8,Unk1 - Unk1 - u8,Unk2 - Unk2 - u8,Unk3 - Unk3 - u8,Unk4 - Unk4 - u8,Unk5 - Unk5 - u8,subAtkSorbDmyId - subAtkSorbDmyId - s16,subDefSorbDmyId - subDefSorbDmyId - s16,Dist2 - Dist2 - f32,DiffAngMin2 - DiffAngMin2 - f32,DiffAngMax2 - DiffAngMax2 - f32,UpperYrange2 - UpperYrange2 - f32,LowerYrange2 - LowerYrange2 - f32,DiffAngMyToDef2 - DiffAngMyToDef2 - f32,performDmyId0 - performDmyId0 - s32,performDmyId1 - performDmyId1 - s32,ThrowKindParamID0 - ThrowKindParamID0 - s32,Unk6 - Unk6 - s32,Unk7 - Unk7 - s32,ThrowKindParamID1 - ThrowKindParamID1 - s32,ThrowKindParamID2 - ThrowKindParamID2 - s32,Unk8 - Unk8 - s16,Unk9 - Unk9 - s16,Unk10 - Unk10 - s16,Unk11 - Unk11 - s16,Unk12 - Unk12 - s32,Unk13 - Unk13 - s32,Unk14 - Unk14 - f32
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11010000,,0,1010,3,90,180,1.8025819,1.8025819,35,0,500000,0,0,0,50,50,0,0,231,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,40000,0,0,-1,-1,0,200,0,256,0,1,0.5
11011000,,0,1011,3,90,180,1.8025819,1.8025819,35,0,500000,0,0,0,50,50,0,0,231,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,40000,0,0,-1,-1,0,200,0,256,0,1,0.5
11012000,,0,1012,3,90,180,1.8025819,1.8025819,35,0,500000,0,0,0,50,50,0,0,231,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,40000,0,0,-1,-1,0,200,0,256,0,1,0.5
11020000,,0,1020,2.1,90,180,1.2618073,1.2618073,35,0,500000,0,0,0,40,40,0,0,231,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,40000,0,0,-1,-1,0,201,0,256,0,1,0.5
11021000,,0,1021,2.1,90,180,1.2618073,1.2618073,35,0,500000,0,0,0,40,40,0,0,231,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,40000,0,0,-1,-1,0,201,0,256,0,1,0.5
11030000,,0,1030,2.2,90,180,1.3218933,1.3218933,35,0,500000,0,0,0,50,50,0,0,231,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,40000,0,0,-1,-1,0,200,0,256,0,1,0.5
11040000,,0,1040,2.6,90,180,1.5622376,1.5622376,35,0,500000,0,0,0,20,20,0,0,231,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,40000,0,0,-1,-1,0,215,0,256,0,1,0.5
11050000,,0,1050,3,90,180,1.8025819,1.8025819,35,0,500000,0,0,0,50,50,0,0,231,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,40000,0,0,-1,-1,0,200,0,256,0,1,0.5
11060000,,0,1060,3,90,180,1.8025819,1.8025819,35,0,500000,0,0,0,50,50,0,0,231,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,40000,0,0,-1,-1,0,200,0,256,0,1,0.5
