#ToughnessParam=TOUGHNESS_PARAM_ST
ID,Name,Toughness - Toughness - f32,DamageLvlThreshold - DamageLvlThreshold - s16,IsToughnessEffective - IsToughnessEffective - u8,pad1 - pad1 - dummy8,SpEffectId - SpEffectId - s32,pad2 - pad2 - dummy8
1,,1,0,0,-,-1,-
10,,1,0,0,-,6350,-
15,,1.5,0,0,-,6351,-
20,,2,0,0,-,6352,-
25,,2.5,0,0,-,6353,-
30,,3,0,0,-,6354,-
50,,0.25,0,0,-,6360,-
100,,1,0,0,-,6352,-
101,,1,20,0,-,6352,-
110,,1,0,0,-,6352,-
111,,1,20,0,-,6352,-
120,,1.5,0,0,-,6353,-
121,,1.5,20,0,-,6353,-
