#WetAspectParam=WET_ASPECT_PARAM_ST
ID,Name,R1 - R1 - u8,G1 - G1 - u8,B1 - B1 - u8,pad1 - pad1 - dummy8,Alpha1 - Alpha1 - f32,R2 - R2 - u8,G2 - G2 - u8,B2 - B2 - u8,pad2 - pad2 - dummy8,Alpha2 - Alpha2 - f32,WetRate - WetRate - f32,WetCorrection - WetCorrection - u8,pad3 - pad3 - dummy8
1,,30,30,30,-,0.6,30,30,30,-,0.6,0.8,150,-
2,,28,20,5,-,0.85,28,22,15,-,0.7,0.8,140,-
3,,30,25,20,-,0.75,80,40,20,-,0.75,0.9,150,-
4,,70,40,30,-,0.4,40,30,20,-,0.6,0.8,130,-
5,,60,55,50,-,0.25,50,40,30,-,0.25,0.8,30,-
6,,200,210,230,-,0.03,160,180,190,-,0.1,0.8,20,-
7,,200,200,200,-,0.1,225,225,225,-,0.5,0.7,50,-
8,,200,210,230,-,0.02,160,180,190,-,0.05,0.6,30,-
9,,28,20,5,-,0.85,28,22,15,-,0.7,0.8,140,-
10,,30,35,40,-,0.7,90,90,100,-,0.6,0.7,150,-
11,,50,50,50,-,0.1,60,60,60,-,0,0.9,0,-
12,,0,0,0,-,0,0,0,0,-,0,0,0,-
13,,0,0,0,-,0,0,0,0,-,0,0,0,-
14,,0,0,0,-,0,0,0,0,-,0,0,0,-
15,,0,0,0,-,0,0,0,0,-,0,0,0,-
16,,0,0,0,-,0,0,0,0,-,0,0,0,-
17,,0,0,0,-,0,0,0,0,-,0,0,0,-
