#WireSetParam=WIRE_SET_PARAM_ST
ID,Name,WirePointSearchParamId1 - WirePointSearchParamId1 - s32,WirePointSearchParamId2 - WirePointSearchParamId2 - s32,WirePointSearchParamId3 - WirePointSearchParamId3 - s32,pad1 - pad1 - dummy8
0,,0,100,10100,-
9620000,,0,100,10100,-
9620010,,0,100,10100,-
1000200,,10200,0,0,-
1100200,,19920,0,0,-
1100210,,11100,0,0,-
1100220,,11110,0,0,-
1101200,,11500,0,0,-
1101210,,11510,0,0,-
1101220,,11520,0,0,-
1102200,,11010,0,0,-
1102210,,11020,0,0,-
1300200,,13000,0,0,-
1700100,,17000,0,0,-
1700110,,17010,0,0,-
1700120,,17020,0,0,-
2000200,,19920,0,0,-
2000201,,19921,0,0,-
2500100,,25000,0,0,-
2500110,,25010,0,0,-
2500200,,25020,0,0,-
9990200,,19920,0,0,-
9990201,,19921,0,0,-
9990210,,11100,0,0,-
