#WireVariationParam=WIRE_VARIATION_ST
ID,Name,WireType - WireType - s8,ComprasionValue - ComprasionValue - u8,pad1 - pad1 - dummy8,InitHomingAngle1 - InitHomingAngle1 - f32,InitHomingAngle2 - InitHomingAngle2 - f32,InitHomingAngle3 - InitHomingAngle3 - f32,InitHomingAngle4 - InitHomingAngle4 - f32,ChrPhysicsHomingParamSubId - ChrPhysicsHomingParamSubId - s32,pad2 - pad2 - dummy8
0,,0,0,-,90,90,180,180,0,-
1,,0,0,-,90,90,90,90,0,-
2,,0,0,-,90,90,90,90,0,-
3,,0,0,-,90,90,180,180,0,-
5,,0,10,-,90,90,90,90,0,-
20,,1,0,-,90,90,180,180,20,-
21,,1,0,-,90,90,90,90,0,-
22,,1,0,-,90,90,90,90,0,-
23,,1,0,-,90,90,180,180,0,-
24,,1,0,-,90,90,180,180,24,-
40,,1,30,-,90,90,180,180,40,-
41,,1,30,-,90,50,30,10,41,-
45,,0,0,-,90,90,180,180,53105,-
10700,,1,0,-,90,90,180,180,10700,-
10701,,1,0,-,90,90,180,180,10701,-
10702,,1,0,-,90,90,180,180,10702,-
10800,,1,0,-,90,90,180,180,10800,-
10801,,1,0,-,90,90,180,180,10801,-
10802,,1,0,-,90,90,180,180,10802,-
11800,,1,0,-,90,90,180,180,11800,-
13700,,1,0,-,90,90,180,180,13700,-
13701,,1,0,-,90,90,180,180,13701,-
50200,,1,0,-,90,50,80,80,50200,-
50201,,1,0,-,90,50,80,80,50201,-
50202,,1,0,-,90,50,80,80,50202,-
50600,,1,0,-,90,90,180,180,50600,-
50601,,1,0,-,90,90,180,180,50601,-
50602,,1,0,-,90,90,180,180,50602,-
50800,,1,10,-,90,90,180,180,50800,-
50801,,1,10,-,90,90,180,180,50801,-
50802,,1,10,-,90,90,180,180,50802,-
50803,,1,10,-,90,90,180,180,50803,-
50804,,1,10,-,90,90,180,180,50804,-
51000,,1,0,-,90,90,180,180,51000,-
52000,,0,0,-,90,90,180,180,52000,-
52001,,0,0,-,90,90,180,180,52001,-
52005,,1,0,-,90,90,180,180,52005,-
52006,,1,0,-,90,90,180,180,52006,-
53100,,0,0,-,90,90,180,180,53100,-
53200,,1,0,-,90,90,180,180,53200,-
53201,,1,0,-,90,90,180,180,53201,-
53202,,1,0,-,90,90,180,180,53201,-
70200,,1,15,-,90,90,180,180,70200,-
70201,,1,30,-,90,90,180,180,70201,-
70210,,1,0,-,90,90,180,180,70210,-
